Comp-FITC-A,Comp-Texas Red-A,
239,236,1.012711864
1018,861,1.182346109
265,244,1.086065574
340,278,1.223021583
568,668,0.850299401
557,526,1.058935361
936,794,1.17884131
245,237,1.033755274
383,465,0.823655914
354,624,0.567307692
1023,929,1.101184069
251,239,1.050209205
1023,833,1.228091236
858,722,1.188365651
244,238,1.025210084
272,256,1.0625
947,738,1.283197832
285,247,1.153846154
280,244,1.147540984
307,454,0.676211454
858,709,1.210155148
773,722,1.070637119
267,249,1.072289157
248,239,1.037656904
259,393,0.659033079
270,244,1.106557377
263,247,1.064777328
261,243,1.074074074
244,239,1.020920502
320,270,1.185185185
1023,933,1.096463023
444,685,0.648175182
296,260,1.138461538
250,240,1.041666667
698,444,1.572072072
673,651,1.033794163
247,244,1.012295082
252,250,1.008
665,764,0.870418848
255,349,0.730659026
994,804,1.236318408
323,284,1.137323944
791,566,1.397526502
897,744,1.205645161
241,230,1.047826087
290,272,1.066176471
286,248,1.153225806
295,384,0.768229167
272,275,0.989090909
1023,647,1.58114374
267,496,0.538306452
342,589,0.580645161
928,751,1.235685752
630,722,0.872576177
323,605,0.533884298
303,254,1.192913386
326,329,0.990881459
294,252,1.166666667
622,349,1.782234957
441,303,1.455445545
497,421,1.180522565
270,252,1.071428571
802,583,1.375643225
254,233,1.090128755
253,237,1.067510549
278,253,1.098814229
488,702,0.695156695
249,243,1.024691358
247,236,1.046610169
1007,871,1.156142365
272,517,0.526112186
290,266,1.090225564
327,289,1.131487889
300,535,0.560747664
253,239,1.058577406
309,269,1.148698885
312,257,1.214007782
957,814,1.175675676
247,234,1.055555556
1012,843,1.200474496
848,780,1.087179487
272,251,1.083665339
262,244,1.073770492
278,263,1.057034221
267,256,1.04296875
259,246,1.052845528
455,613,0.742251223
270,307,0.879478827
248,245,1.012244898
741,569,1.30228471
1023,768,1.33203125
367,536,0.684701493
255,242,1.053719008
806,637,1.265306122
267,258,1.034883721
290,460,0.630434783
419,542,0.773062731
249,238,1.046218487
978,702,1.393162393
576,300,1.92
349,362,0.964088398
812,547,1.484460695
252,243,1.037037037
274,495,0.553535354
1023,870,1.175862069
851,674,1.262611276
823,613,1.342577488
637,538,1.18401487
298,267,1.116104869
277,541,0.512014787
253,260,0.973076923
891,765,1.164705882
246,239,1.029288703
255,248,1.028225806
331,435,0.76091954
345,261,1.32183908
276,261,1.057471264
575,473,1.21564482
390,283,1.378091873
435,500,0.87
1023,916,1.116812227
252,242,1.041322314
899,685,1.312408759
286,262,1.091603053
255,245,1.040816327
260,246,1.056910569
714,675,1.057777778
1023,932,1.097639485
612,288,2.125
436,380,1.147368421
279,448,0.622767857
969,701,1.382310984
899,760,1.182894737
580,442,1.312217195
551,783,0.703703704
528,437,1.208237986
302,580,0.520689655
260,249,1.044176707
302,520,0.580769231
261,542,0.481549815
464,365,1.271232877
279,261,1.068965517
595,377,1.578249337
268,257,1.042801556
727,663,1.09653092
306,264,1.159090909
277,251,1.103585657
254,242,1.049586777
252,245,1.028571429
274,259,1.057915058
472,428,1.102803738
530,503,1.053677932
303,251,1.207171315
259,252,1.027777778
326,317,1.028391167
273,253,1.079051383
678,424,1.599056604
518,631,0.820919176
248,242,1.024793388
359,567,0.633156966
1023,869,1.17721519
793,692,1.145953757
293,261,1.122605364
899,754,1.192307692
479,553,0.866184448
260,253,1.027667984
263,260,1.011538462
263,249,1.0562249
859,726,1.183195592
250,244,1.024590164
271,243,1.115226337
794,693,1.145743146
384,281,1.366548043
272,252,1.079365079
273,254,1.07480315
251,246,1.020325203
317,287,1.104529617
500,590,0.847457627
323,504,0.640873016
273,272,1.003676471
431,285,1.512280702
247,243,1.016460905
1002,860,1.165116279
256,248,1.032258065
255,242,1.053719008
252,241,1.045643154
262,265,0.988679245
784,665,1.178947368
259,262,0.988549618
898,819,1.096459096
264,343,0.7696793
970,810,1.197530864
757,603,1.255389718
267,244,1.094262295
691,342,2.020467836
457,676,0.676035503
259,248,1.044354839
263,264,0.996212121
285,265,1.075471698
521,362,1.439226519
255,261,0.977011494
271,262,1.034351145
755,550,1.372727273
1008,867,1.162629758
261,247,1.056680162
1023,864,1.184027778
278,254,1.094488189
285,266,1.071428571
251,243,1.032921811
470,261,1.800766284
341,317,1.075709779
722,748,0.965240642
306,244,1.254098361
291,522,0.557471264
243,232,1.047413793
712,584,1.219178082
614,406,1.512315271
324,289,1.121107266
265,252,1.051587302
283,558,0.507168459
742,619,1.198707593
242,234,1.034188034
332,512,0.6484375
278,278,1
256,246,1.040650407
285,324,0.87962963
1023,910,1.124175824
670,537,1.247672253
279,249,1.120481928
463,471,0.983014862
970,797,1.21706399
655,611,1.072013093
1022,1012,1.009881423
428,544,0.786764706
1023,878,1.165148064
846,613,1.380097879
269,259,1.038610039
260,298,0.872483221
295,413,0.714285714
287,359,0.799442897
1023,911,1.122941822
245,239,1.025104603
612,435,1.406896552
389,306,1.27124183
1023,903,1.132890365
261,246,1.06097561
245,238,1.029411765
452,367,1.231607629
317,606,0.52310231
304,296,1.027027027
312,277,1.126353791
260,249,1.044176707
245,256,0.95703125
808,512,1.578125
335,372,0.900537634
258,251,1.027888446
261,247,1.056680162
277,256,1.08203125
256,243,1.053497942
410,443,0.925507901
254,247,1.028340081
260,246,1.056910569
282,262,1.076335878
994,745,1.334228188
252,294,0.857142857
1013,810,1.250617284
248,250,0.992
274,252,1.087301587
633,421,1.503562945
464,687,0.675400291
490,396,1.237373737
245,239,1.025104603
974,834,1.167865707
353,598,0.590301003
805,734,1.096730245
258,249,1.036144578
271,246,1.101626016
950,808,1.175742574
657,388,1.693298969
711,642,1.107476636
255,244,1.045081967
255,242,1.053719008
321,289,1.110726644
790,728,1.085164835
789,787,1.002541296
239,237,1.008438819
323,297,1.087542088
285,267,1.06741573
830,736,1.127717391
259,346,0.748554913
247,265,0.932075472
971,775,1.252903226
263,255,1.031372549
468,591,0.791878173
933,758,1.230870712
321,529,0.606805293
790,675,1.17037037
471,568,0.829225352
307,569,0.539543058
272,260,1.046153846
561,418,1.342105263
268,251,1.067729084
406,290,1.4
257,309,0.83171521
683,680,1.004411765
264,251,1.051792829
256,246,1.040650407
704,652,1.079754601
920,759,1.212121212
269,259,1.038610039
422,673,0.627043091
289,259,1.115830116
307,248,1.237903226
648,593,1.092748735
373,708,0.526836158
257,246,1.044715447
290,265,1.094339623
824,772,1.067357513
802,731,1.097127223
900,743,1.211305518
277,262,1.057251908
255,270,0.944444444
288,276,1.043478261
249,245,1.016326531
255,246,1.036585366
325,628,0.517515924
922,744,1.239247312
247,321,0.769470405
312,316,0.987341772
424,519,0.816955684
490,687,0.713245997
880,737,1.194029851
275,402,0.684079602
298,566,0.526501767
278,263,1.057034221
256,245,1.044897959
301,270,1.114814815
266,251,1.059760956
262,250,1.048
1023,911,1.122941822
403,619,0.651050081
363,665,0.545864662
272,257,1.058365759
255,248,1.028225806
324,261,1.24137931
815,741,1.099865047
886,729,1.215363512
591,435,1.35862069
849,610,1.391803279
259,250,1.036
270,251,1.075697211
702,463,1.516198704
257,247,1.04048583
401,659,0.608497724
315,608,0.518092105
473,285,1.659649123
255,238,1.071428571
251,240,1.045833333
256,246,1.040650407
313,280,1.117857143
508,446,1.139013453
913,704,1.296875
305,545,0.559633028
248,240,1.033333333
284,512,0.5546875
283,249,1.136546185
272,250,1.088
1014,888,1.141891892
1000,857,1.166861144
283,333,0.84984985
1023,912,1.121710526
839,808,1.038366337
288,295,0.976271186
280,280,1
663,661,1.003025719
320,584,0.547945205
248,237,1.046413502
603,350,1.722857143
876,527,1.662239089
255,266,0.958646617
267,246,1.085365854
254,240,1.058333333
262,251,1.043824701
255,239,1.066945607
1023,839,1.219308701
403,388,1.038659794
283,276,1.025362319
317,558,0.568100358
293,270,1.085185185
296,269,1.100371747
244,241,1.012448133
293,398,0.736180905
276,249,1.108433735
314,262,1.198473282
384,333,1.153153153
708,304,2.328947368
268,475,0.564210526
719,784,0.917091837
539,542,0.994464945
266,245,1.085714286
970,832,1.165865385
250,245,1.020408163
270,273,0.989010989
238,238,1
253,332,0.762048193
985,814,1.21007371
1023,891,1.148148148
245,241,1.01659751
269,256,1.05078125
840,752,1.117021277
370,273,1.355311355
520,287,1.81184669
815,639,1.27543036
325,264,1.231060606
296,402,0.736318408
325,268,1.212686567
266,250,1.064
252,249,1.012048193
262,248,1.056451613
249,239,1.041841004
259,244,1.06147541
783,310,2.525806452
488,266,1.834586466
331,304,1.088815789
247,284,0.86971831
854,800,1.0675
955,773,1.235446313
261,357,0.731092437
537,579,0.92746114
902,730,1.235616438
266,254,1.047244094
240,236,1.016949153
525,277,1.895306859
254,241,1.053941909
248,237,1.046413502
916,684,1.339181287
620,492,1.260162602
269,250,1.076
259,242,1.070247934
275,483,0.569358178
712,280,2.542857143
269,256,1.05078125
257,250,1.028
839,670,1.252238806
261,247,1.056680162
1023,933,1.096463023
714,657,1.086757991
262,248,1.056451613
266,436,0.610091743
443,313,1.415335463
377,647,0.582689335
252,242,1.041322314
295,463,0.637149028
262,243,1.0781893
254,245,1.036734694
392,378,1.037037037
283,322,0.878881988
1022,961,1.063475546
1023,845,1.210650888
844,604,1.397350993
406,254,1.598425197
828,620,1.335483871
305,269,1.133828996
568,564,1.007092199
243,235,1.034042553
271,249,1.088353414
248,246,1.008130081
802,703,1.140825036
283,528,0.535984848
1023,935,1.094117647
243,238,1.021008403
866,685,1.264233577
794,575,1.380869565
796,557,1.429084381
434,545,0.796330275
351,307,1.143322476
266,250,1.064
262,250,1.048
281,438,0.641552511
657,537,1.223463687
275,255,1.078431373
258,247,1.044534413
355,506,0.701581028
405,240,1.6875
812,715,1.135664336
261,248,1.052419355
324,278,1.165467626
269,258,1.042635659
292,329,0.887537994
261,259,1.007722008
365,309,1.181229773
481,664,0.72439759
712,759,0.938076416
239,230,1.039130435
252,240,1.05
612,413,1.481840194
257,241,1.066390041
686,428,1.602803738
240,236,1.016949153
269,259,1.038610039
372,536,0.694029851
748,427,1.75175644
1023,920,1.111956522
683,710,0.961971831
242,440,0.55
1023,916,1.116812227
543,359,1.512534819
354,477,0.742138365
885,719,1.230876217
256,250,1.024
258,244,1.057377049
515,706,0.729461756
297,263,1.129277567
245,238,1.029411765
742,646,1.148606811
243,241,1.008298755
244,542,0.450184502
685,634,1.08044164
389,262,1.484732824
273,259,1.054054054
697,489,1.425357873
260,252,1.031746032
528,319,1.655172414
297,257,1.155642023
636,663,0.959276018
272,258,1.054263566
261,246,1.06097561
248,303,0.818481848
1023,890,1.149438202
1023,875,1.169142857
275,250,1.1
325,279,1.164874552
329,345,0.953623188
416,349,1.191977077
267,250,1.068
440,441,0.997732426
327,478,0.684100418
511,630,0.811111111
306,261,1.172413793
249,244,1.020491803
968,803,1.205479452
262,248,1.056451613
255,243,1.049382716
287,494,0.58097166
424,365,1.161643836
300,397,0.755667506
258,242,1.066115702
608,584,1.04109589
881,670,1.314925373
315,274,1.149635036
245,240,1.020833333
266,259,1.027027027
825,709,1.163610719
859,723,1.188105118
238,238,1
286,291,0.982817869
250,241,1.037344398
376,558,0.673835125
253,240,1.054166667
333,285,1.168421053
290,257,1.128404669
258,242,1.066115702
253,246,1.028455285
604,723,0.835408022
265,245,1.081632653
251,239,1.050209205
264,254,1.039370079
996,825,1.207272727
1023,894,1.144295302
271,267,1.014981273
253,267,0.947565543
413,628,0.657643312
266,274,0.97080292
255,248,1.028225806
547,493,1.109533469
264,247,1.068825911
834,689,1.210449927
292,277,1.054151625
438,395,1.108860759
378,444,0.851351351
290,264,1.098484848
254,241,1.053941909
392,434,0.903225806
286,259,1.104247104
256,254,1.007874016
298,289,1.031141869
245,238,1.029411765
247,243,1.016460905
702,750,0.936
668,544,1.227941176
381,417,0.913669065
898,726,1.236914601
246,241,1.020746888
842,652,1.291411043
392,336,1.166666667
249,241,1.033195021
268,251,1.067729084
260,249,1.044176707
782,695,1.125179856
273,254,1.07480315
840,617,1.361426256
277,411,0.673965937
320,276,1.15942029
302,662,0.456193353
458,673,0.680534918
981,788,1.244923858
323,277,1.166064982
464,440,1.054545455
1023,844,1.212085308
262,247,1.060728745
273,498,0.548192771
263,249,1.0562249
337,572,0.589160839
268,247,1.085020243
293,259,1.131274131
270,248,1.088709677
260,250,1.04
453,570,0.794736842
301,308,0.977272727
353,309,1.142394822
272,256,1.0625
930,784,1.18622449
687,624,1.100961538
311,271,1.147601476
297,435,0.682758621
246,244,1.008196721
256,260,0.984615385
277,433,0.639722864
469,573,0.818499127
253,248,1.02016129
758,593,1.278246206
925,765,1.209150327
254,245,1.036734694
433,676,0.640532544
578,311,1.8585209
280,274,1.02189781
996,821,1.213154689
808,662,1.220543807
712,616,1.155844156
326,489,0.666666667
1023,867,1.179930796
244,239,1.020920502
865,690,1.253623188
298,516,0.57751938
1000,827,1.209189843
248,240,1.033333333
249,237,1.050632911
252,250,1.008
300,472,0.63559322
1009,834,1.209832134
1023,943,1.084835631
271,248,1.092741935
279,256,1.08984375
253,240,1.054166667
489,583,0.838765009
1023,831,1.231046931
239,232,1.030172414
247,244,1.012295082
253,245,1.032653061
398,606,0.656765677
429,575,0.746086957
883,639,1.381846635
270,253,1.067193676
295,262,1.125954198
293,256,1.14453125
