"Comp-FITC-A","Comp-Texas Red-A"
978,810
239,236
625,731
1018,861
265,244
322,263
789,721
340,278
672,600
688,363
568,668
289,269
557,526
936,794
279,261
245,237
616,646
383,465
354,624
1023,929
375,548
251,239
1023,833
858,722
244,238
298,317
272,256
381,647
947,738
285,247
613,521
288,260
280,244
349,533
307,454
858,709
773,722
267,249
248,239
259,242
303,273
259,393
550,795
270,244
263,247
379,440
437,645
261,243
361,298
1022,1009
244,239
320,270
1023,933
444,685
296,260
250,240
698,444
673,651
247,244
252,250
665,764
255,349
617,557
994,804
323,284
791,566
897,744
568,777
241,230
290,272
286,248
295,384
272,275
232,235
488,491
1023,647
267,496
342,589
928,751
991,791
436,382
293,261
630,722
323,605
303,254
360,273
276,255
326,329
294,252
538,397
622,349
441,303
497,421
270,252
802,583
966,895
254,233
253,237
278,253
488,702
249,243
247,236
1007,871
272,517
290,266
327,289
300,535
253,239
309,269
239,239
312,257
957,814
247,234
1012,843
848,780
369,427
323,265
272,251
262,244
278,263
1022,968
663,321
532,576
267,256
259,246
525,656
455,613
270,307
248,245
741,569
320,281
540,576
1023,768
299,265
367,536
375,300
712,709
255,242
739,559
806,637
442,736
828,693
267,258
290,460
419,542
302,291
249,238
559,355
423,399
634,706
978,702
350,291
576,300
349,362
581,743
812,547
252,243
274,495
573,669
1023,870
851,674
423,625
823,613
465,754
637,538
298,267
346,297
1014,884
289,282
277,541
253,260
891,765
246,239
255,248
331,435
345,261
276,261
575,473
390,283
435,500
1023,903
327,292
389,551
1023,916
252,242
899,685
286,262
233,232
255,245
260,246
405,647
714,675
435,354
1023,932
1018,773
612,288
436,380
326,289
279,448
969,701
899,760
580,442
551,783
528,437
302,580
260,249
302,520
261,542
340,471
464,365
279,261
292,256
595,377
268,257
727,663
306,264
277,251
346,298
286,286
813,708
254,242
392,685
252,245
274,259
337,293
472,428
530,503
405,321
303,251
259,252
326,317
273,253
378,277
678,424
518,631
296,268
261,236
248,242
1023,903
238,305
359,567
286,269
1023,869
793,692
293,261
899,754
282,262
285,263
479,553
260,253
263,260
263,249
859,726
250,244
617,644
271,243
794,693
323,466
384,281
272,252
238,236
296,265
273,254
251,246
317,287
237,238
500,590
323,504
273,272
431,285
247,243
899,769
1002,860
256,248
641,639
255,242
252,241
262,265
784,665
259,262
898,819
264,343
970,810
655,373
757,603
569,698
554,789
607,744
267,244
238,237
691,342
457,676
259,248
263,264
285,265
521,362
255,261
271,262
755,550
925,828
1008,867
261,247
1023,864
278,254
285,266
340,267
251,243
748,875
470,261
341,317
722,748
306,244
291,522
243,232
