"Comp-FITC-A","Comp-Texas Red-A"
456,668
647,662
305,509
247,241
444,673
366,244
240,239
245,242
278,477
799,765
248,266
247,240
254,244
716,781
253,246
293,264
250,238
632,723
247,235
256,251
544,392
260,249
251,242
250,243
252,239
296,260
279,258
252,241
276,251
290,314
557,611
409,681
277,266
259,243
266,292
250,241
589,594
628,728
767,752
259,256
250,253
245,239
789,641
483,691
296,462
255,245
253,240
249,240
255,242
246,239
394,583
344,623
253,243
258,243
244,237
441,588
412,474
250,239
270,279
564,631
351,599
288,485
251,239
582,674
302,425
336,378
625,762
345,627
253,245
303,559
255,241
331,432
313,535
272,362
310,262
486,425
378,377
271,248
246,244
235,234
261,275
1023,889
249,245
401,664
404,541
452,454
243,237
249,246
259,248
445,614
264,253
425,561
245,237
269,256
244,243
248,243
453,693
241,242
688,671
317,445
253,239
316,283
245,236
258,244
284,488
253,240
268,256
245,240
247,240
256,401
251,246
313,532
252,240
255,243
312,553
794,716
487,596
260,248
255,239
278,499
273,410
263,246
238,299
605,635
266,249
283,248
282,337
309,277
267,254
508,607
256,239
346,653
392,607
258,244
252,245
389,588
258,250
751,484
261,251
248,241
291,259
732,567
245,236
297,577
263,249
402,440
353,586
258,245
319,675
529,438
255,248
295,385
244,240
258,247
339,617
770,684
251,243
267,248
296,285
274,430
762,531
252,245
293,265
248,242
276,318
243,240
278,362
565,504
409,359
260,249
324,351
262,252
259,250
299,547
253,247
261,243
249,245
360,626
307,274
253,246
317,465
331,516
257,252
245,242
257,240
266,253
394,656
263,247
385,513
459,633
277,536
290,510
272,253
246,241
248,237
262,405
281,259
249,244
837,455
641,529
366,290
248,244
779,791
782,685
343,547
754,663
333,413
262,250
452,691
248,242
278,247
286,250
339,544
610,651
420,563
250,242
381,386
252,242
370,568
262,245
354,575
253,237
248,245
263,247
260,250
270,476
262,251
238,232
852,732
256,245
258,246
341,293
243,237
256,241
328,379
263,247
586,667
250,241
266,250
243,235
346,316
258,244
685,574
720,817
249,243
253,245
259,240
254,250
592,423
246,239
292,514
326,313
250,237
243,237
354,619
249,241
447,443
308,335
540,559
255,240
261,242
258,243
251,242
277,380
256,264
263,248
256,248
462,603
250,241
249,248
245,235
246,238
519,669
669,623
286,250
379,620
264,248
264,357
992,844
809,760
677,777
305,417
249,237
240,234
436,581
257,241
294,264
268,253
256,242
285,247
320,477
352,638
961,779
246,236
292,254
243,235
245,239
853,691
237,234
244,238
895,804
565,685
466,431
225,228
452,440
711,885
243,238
243,236
266,246
458,535
247,237
270,246
281,335
284,284
343,451
250,242
235,235
247,239
272,277
277,534
321,507
767,535
266,311
269,257
402,614
254,240
246,239
677,509
241,239
369,293
253,245
250,244
253,366
311,271
728,648
249,243
297,283
249,264
256,252
273,248
266,256
258,244
337,526
283,404
540,639
329,498
273,254
267,468
517,459
407,308
749,681
310,275
827,767
254,239
249,241
496,528
417,613
397,502
248,240
384,646
262,246
256,244
247,240
264,257
253,247
277,259
256,263
898,722
247,237
250,242
369,513
248,239
242,238
248,238
257,245
658,494
247,247
267,252
258,247
401,677
380,594
402,446
254,240
267,250
256,259
253,272
626,533
253,253
256,244
699,738
252,239
256,241
250,239
276,325
232,231
234,234
318,533
618,711
264,247
271,256
276,255
252,244
285,426
479,511
441,556
250,240
259,253
365,644
242,237
319,543
263,256
263,249
388,362
253,251
403,643
234,234
356,579
261,244
370,619
1023,878
253,247
256,257
249,237
247,240
382,604
255,244
401,676
246,244
259,247
878,712
329,416
541,706
255,244
253,238
316,294
415,742
266,247
395,616
747,787
828,719
404,625
258,242
308,294
330,601
262,299
280,463
261,435
253,242
290,462
265,266
382,281
248,241
414,606
252,240
276,324
723,640
257,250
653,695
895,827
257,240
334,475
254,240
259,244
506,678
451,622
851,709
249,239
359,549
456,456
240,235
248,247
522,709
356,535
250,239
246,242
242,237
467,689
345,490
298,521
459,341
252,241
245,234
334,487
259,243
270,247
243,241
272,246
778,644
931,751
254,241
287,386
248,250
332,318
241,241
288,375
300,270
251,242
250,243
264,246
259,280
260,249
605,332
249,240
248,237
255,246
343,600
358,462
258,251
251,243
253,246
255,244
252,242
242,239
256,253
250,340
274,251
845,719
326,285
248,238
326,495
804,708
295,493
243,236
300,265
243,233
251,240
246,235
625,602
419,556
270,252
260,243
687,730
248,237
270,247
849,734
315,599
248,293
249,241
249,236
271,242
253,241
250,240
343,297
256,245
240,239
305,420
304,283
270,249
267,252
256,251
846,770
268,249
732,501
294,486
282,415
442,652
346,432
440,534
247,244
596,809
249,240
258,248
269,245
388,618
250,241
254,243
249,239
485,494
877,787
384,595
248,238
249,237
508,611
267,248
548,667
354,367
258,242
776,742
245,236
523,630
254,241
249,240
364,530
267,256
348,511
261,245
263,254
267,321
264,250
263,250
254,247
353,588
646,629
245,243
253,243
251,235
246,238
273,408
256,243
724,759
340,260
259,246
247,243
522,686
320,571
724,595
249,239
233,263
400,661
603,743
250,237
246,239
244,245
403,645
265,248
253,239
255,247
375,461
277,254
555,613
281,253
253,243
260,250
244,235
252,242
744,699
754,736
568,684
255,244
299,393
854,784
316,560
853,647
237,235
232,232
242,239
320,625
250,241
252,244
328,527
273,253
360,275
252,243
246,237
270,251
247,241
273,419
266,246
254,290
260,475
267,251
257,245
291,268
260,247
253,244
273,255
440,710
325,424
340,569
686,763
274,246
241,243
274,242
461,556
349,244
302,438
472,661
258,246
252,243
248,241
278,488
258,245
251,240
272,248
251,245
243,236
249,240
577,601
254,241
261,277
256,244
932,752
254,237
266,249
233,235
290,394
249,242
288,473
241,267
247,247
355,589
253,245
255,248
256,270
249,242
361,603
279,460
269,255
258,362
248,244
256,243
252,243
294,520
730,745
262,247
246,241
262,245
251,254
365,575
482,683
267,331
252,244
257,275
254,259
254,248
250,241
248,238
595,632
271,419
245,241
736,626
252,247
355,539
523,393
258,241
312,506
254,239
302,371
328,382
759,700
250,245
245,239
261,324
267,246
254,322
450,639
269,476
246,239
260,246
251,248
701,606
301,311
1022,956
695,762
321,472
248,235
365,573
331,509
769,688
252,242
772,801
285,272
503,690
350,405
250,238
251,249
324,278
247,241
250,241
263,254
264,253
258,241
251,242
368,555
234,232
828,664
268,471
243,240
286,381
298,388
350,596
255,248
250,240
253,248
717,656
559,599
399,597
257,273
542,755
262,247
675,381
420,711
255,242
244,237
426,545
249,240
268,253
267,245
354,534
255,244
600,630
236,235
266,249
286,277
247,242
250,245
522,683
298,445
797,717
379,453
290,257
339,630
619,724
334,552
299,477
400,619
340,500
257,242
246,239
609,498
342,536
253,247
255,243
261,249
444,657
264,247
519,616
756,868
420,521
251,243
312,277
267,245
242,237
254,241
236,233
260,248
250,236
295,570
267,247
261,245
255,248
807,726
271,417
277,279
238,261
250,244
499,634
264,309
335,253
309,265
252,241
253,240
264,268
343,636
249,276
395,554
404,349
264,244
257,246
254,246
240,243
260,245
252,243
254,251
258,332
252,239
305,379
354,567
246,238
251,242
981,855
586,796
273,244
249,239
251,238
358,446
394,470
318,521
248,237
253,239
256,241
767,735
590,449
267,405
254,278
291,483
520,618
446,528
795,719
241,235
257,243
255,247
257,246
379,519
245,235
810,751
272,250
251,242
244,237
246,237
260,244
397,622
257,247
252,246
279,264
266,265
303,574
248,262
247,241
286,261
267,261
300,495
428,689
249,241
256,240
253,236
325,538
260,241
253,355
245,237
291,367
256,246
271,252
271,255
260,245
876,871
254,274
260,250
358,588
637,531
250,235
786,797
247,238
723,779
249,236
465,499
251,240
252,247
429,270
318,548
254,249
439,512
306,463
261,248
693,691
316,616
288,259
280,261
636,308
244,238
667,311
362,382
261,252
248,242
270,258
261,247
284,247
250,247
411,608
325,448
249,242
245,244
256,243
529,774
245,238
252,247
378,581
786,694
268,252
700,710
306,252
732,762
255,243
