"Comp-FITC-A","Comp-Texas Red-A"
647,662
305,509
247,241
366,244
245,242
278,477
799,765
248,266
247,240
254,244
716,781
253,246
250,238
632,723
247,235
256,251
260,249
251,242
250,243
252,239
279,258
252,241
557,611
409,681
277,266
259,243
266,292
250,241
589,594
628,728
259,256
250,253
245,239
789,641
483,691
255,245
253,240
249,240
255,242
246,239
344,623
253,243
258,243
441,588
412,474
250,239
270,279
351,599
251,239
582,674
336,378
625,762
345,627
253,245
303,559
255,241
331,432
313,535
486,425
378,377
271,248
246,244
261,275
1023,889
249,245
401,664
243,237
249,246
259,248
245,237
269,256
244,243
248,243
453,693
688,671
317,445
253,239
245,236
258,244
284,488
253,240
268,256
245,240
247,240
256,401
251,246
313,532
252,240
255,243
312,553
794,716
487,596
260,248
255,239
278,499
273,410
283,248
508,607
256,239
258,244
252,245
389,588
258,250
751,484
261,251
248,241
732,567
245,236
297,577
353,586
258,245
319,675
529,438
255,248
295,385
244,240
258,247
339,617
770,684
251,243
296,285
274,430
762,531
252,245
248,242
276,318
243,240
278,362
565,504
262,252
259,250
299,547
253,247
261,243
249,245
360,626
253,246
317,465
257,252
245,242
257,240
394,656
263,247
385,513
459,633
277,536
290,510
248,237
262,405
281,259
641,529
248,244
779,791
343,547
754,663
333,413
262,250
248,242
278,247
286,250
339,544
420,563
250,242
381,386
252,242
354,575
253,237
248,245
263,247
260,250
270,476
262,251
852,732
256,245
258,246
243,237
256,241
263,247
586,667
250,241
266,250
243,235
346,316
258,244
685,574
720,817
249,243
253,245
259,240
254,250
246,239
292,514
326,313
250,237
243,237
354,619
249,241
447,443
308,335
255,240
261,242
258,243
251,242
277,380
256,264
263,248
462,603
250,241
249,248
245,235
246,238
519,669
669,623
379,620
264,248
264,357
992,844
809,760
249,237
240,234
436,581
257,241
294,264
268,253
256,242
285,247
320,477
961,779
246,236
243,235
245,239
237,234
244,238
466,431
452,440
243,238
243,236
266,246
458,535
247,237
281,335
284,284
250,242
247,239
272,277
277,534
321,507
767,535
402,614
254,240
246,239
241,239
253,245
250,244
253,366
728,648
249,243
249,264
256,252
337,526
283,404
540,639
329,498
267,468
517,459
254,239
249,241
496,528
417,613
397,502
248,240
262,246
256,244
247,240
264,257
253,247
256,263
898,722
247,237
250,242
369,513
248,239
248,238
658,494
247,247
267,252
258,247
401,677
380,594
402,446
254,240
256,259
253,272
626,533
253,253
256,244
699,738
252,239
256,241
250,239
276,325
618,711
264,247
276,255
252,244
285,426
479,511
441,556
259,253
365,644
242,237
319,543
263,256
263,249
388,362
253,251
403,643
356,579
261,244
370,619
1023,878
253,247
256,257
249,237
247,240
382,604
255,244
401,676
246,244
255,244
253,238
316,294
266,247
395,616
828,719
258,242
330,601
262,299
261,435
253,242
290,462
265,266
248,241
276,324
723,640
257,250
653,695
257,240
254,240
506,678
249,239
359,549
456,456
240,235
248,247
250,239
246,242
467,689
298,521
459,341
252,241
245,234
334,487
259,243
243,241
272,246
778,644
248,250
241,241
288,375
251,242
250,243
259,280
249,240
248,237
255,246
258,251
251,243
253,246
255,244
252,242
242,239
256,253
250,340
845,719
248,238
326,495
804,708
295,493
243,236
243,233
251,240
246,235
419,556
270,252
248,237
248,293
249,241
253,241
250,240
256,245
305,420
267,252
256,251
294,486
282,415
442,652
346,432
440,534
247,244
249,240
258,248
269,245
250,241
254,243
877,787
248,238
249,237
267,248
548,667
258,242
245,236
523,630
254,241
249,240
267,256
263,254
263,250
254,247
353,588
646,629
253,243
251,235
246,238
256,243
724,759
340,260
259,246
247,243
320,571
724,595
249,239
603,743
250,237
246,239
244,245
403,645
265,248
253,239
255,247
253,243
260,250
244,235
754,736
255,244
299,393
854,784
316,560
853,647
237,235
242,239
320,625
250,241
252,244
328,527
246,237
247,241
273,419
266,246
254,290
267,251
257,245
260,247
253,244
440,710
340,569
686,763
274,246
274,242
461,556
349,244
302,438
258,246
252,243
248,241
278,488
251,240
251,245
243,236
577,601
254,241
261,277
256,244
290,394
249,242
247,247
355,589
253,245
256,270
279,460
269,255
258,362
248,244
256,243
252,243
294,520
730,745
262,247
246,241
262,245
251,254
365,575
482,683
252,244
257,275
254,259
254,248
250,241
248,238
595,632
271,419
245,241
252,247
355,539
523,393
258,241
312,506
254,239
302,371
328,382
250,245
245,239
