"counts","density","mids"
2,0.00590127172405653,0.365
2,0.00590127172405653,0.375
1,0.00295063586202826,0.385
3,0.00885190758608484,0.395
1,0.00295063586202826,0.405
3,0.00885190758608479,0.415
10,0.0295063586202826,0.425
6,0.0177038151721696,0.435
9,0.0265557227582545,0.445
13,0.0383582662063674,0.455
17,0.0501608096544805,0.465
23,0.0678646248266501,0.475
28,0.0826178041367914,0.485
72,0.212445782066035,0.495
86,0.253754684134431,0.505
122,0.359977575167448,0.515
150,0.44259537930424,0.525
177,0.522262547579003,0.535
180,0.531114455165088,0.545
160,0.472101737924522,0.555
184,0.542916998613207,0.565
208,0.613732259301879,0.575
207,0.610781623439851,0.585
194,0.572423357233483,0.595
210,0.619633531025936,0.605
194,0.572423357233483,0.615
183,0.539966362751172,0.625
200,0.590127172405653,0.635
181,0.534065091027122,0.645
182,0.537015726889144,0.655
178,0.525213183441031,0.665
191,0.563571449647398,0.675
145,0.427842199994098,0.685
183,0.539966362751172,0.695
150,0.44259537930424,0.705
155,0.457348558614381,0.715
129,0.380632026201646,0.725
147,0.433743471718155,0.735
154,0.454397922752353,0.745
147,0.433743471718155,0.755
123,0.362928211029477,0.765
128,0.377681390339618,0.775
137,0.404237113097872,0.785
131,0.386533297925703,0.795
139,0.410138384821929,0.805
129,0.380632026201646,0.815
127,0.37473075447759,0.825
111,0.327520580685141,0.835
132,0.389483933787731,0.845
142,0.418990292408014,0.855
138,0.407187748959901,0.865
154,0.454397922752353,0.875
123,0.362928211029477,0.885
148,0.436694107580183,0.895
139,0.410138384821929,0.905
137,0.404237113097872,0.915
153,0.451447286890324,0.925
160,0.472101737924528,0.935
186,0.548818270337257,0.945
182,0.537015726889144,0.955
205,0.604880351715794,0.965
220,0.649139889646218,0.975
321,0.947154111711073,0.985
534,1.57563955032309,0.995
604,1.78218406066507,1.005
1046,3.08636511168156,1.015
1656,4.88625298751881,1.025
1706,5.03378478062022,1.035
1994,5.88356790888436,1.045
1731,5.10755067717093,1.055
1468,4.33153344545759,1.065
1310,3.86533297925694,1.075
1049,3.09521701926772,1.085
896,2.64376973237727,1.095
647,1.90906140273233,1.105
