"counts","density","mids"
2,0.004,0.365
3,0.00599999999999999,0.375
1,0.002,0.385
3,0.00600000000000003,0.395
1,0.002,0.405
7,0.014,0.415
13,0.026,0.425
8,0.016,0.435
9,0.0180000000000001,0.445
14,0.028,0.455
19,0.038,0.465
32,0.0639999999999999,0.475
35,0.0699999999999999,0.485
81,0.162,0.495
96,0.192,0.505
140,0.28,0.515
172,0.344,0.525
195,0.39,0.535
218,0.436,0.545
191,0.382,0.555
226,0.452000000000005,0.565
260,0.52,0.575
263,0.525999999999999,0.585
255,0.51,0.595
265,0.529999999999999,0.605
266,0.531999999999999,0.615
257,0.514,0.625
277,0.553999999999999,0.635
268,0.536000000000005,0.645
268,0.535999999999999,0.655
273,0.545999999999999,0.665
285,0.57,0.675
234,0.468,0.685
282,0.564,0.695
241,0.482,0.705
278,0.555999999999999,0.715
221,0.442,0.725
233,0.466,0.735
249,0.498,0.745
259,0.518,0.755
233,0.466,0.765
242,0.484,0.775
239,0.478,0.785
244,0.488,0.795
227,0.454,0.805
236,0.472,0.815
226,0.452,0.825
209,0.418000000000004,0.835
227,0.454,0.845
247,0.494,0.855
241,0.482,0.865
241,0.482,0.875
225,0.45,0.885
272,0.543999999999999,0.895
242,0.484,0.905
231,0.462,0.915
254,0.508,0.925
273,0.546000000000006,0.935
310,0.619999999999999,0.945
296,0.591999999999999,0.955
311,0.621999999999999,0.965
392,0.783999999999999,0.975
539,1.078,0.985
1048,2.096,0.995
1188,2.376,1.005
1470,2.94,1.015
2027,4.054,1.025
2023,4.046,1.035
2318,4.636,1.045
2094,4.188,1.055
1854,3.70800000000008,1.065
1746,3.49199999999992,1.075
1507,3.01400000000006,1.085
1360,2.71999999999994,1.095
1075,2.15000000000005,1.105
1078,2.15599999999995,1.115
1018,2.03600000000004,1.125
952,1.90399999999996,1.135
908,1.81600000000004,1.145
846,1.69199999999996,1.155
837,1.67400000000004,1.165
849,1.69799999999996,1.175
841,1.68200000000004,1.185
794,1.588,1.195
