"counts","density","mids"
0,0,0.365
1,0.002,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
1,0.002,0.425
0,0,0.435
2,0.00400000000000002,0.445
2,0.004,0.455
7,0.014,0.465
15,0.03,0.475
20,0.04,0.485
23,0.046,0.495
46,0.0919999999999999,0.505
92,0.184,0.515
141,0.282,0.525
200,0.4,0.535
274,0.547999999999999,0.545
360,0.719999999999999,0.555
407,0.814000000000008,0.565
479,0.957999999999999,0.575
534,1.068,0.585
566,1.132,0.595
571,1.142,0.605
564,1.128,0.615
517,1.034,0.625
582,1.164,0.635
532,1.06400000000001,0.645
504,1.008,0.655
493,0.985999999999999,0.665
464,0.927999999999999,0.675
446,0.891999999999999,0.685
442,0.883999999999999,0.695
367,0.733999999999999,0.705
386,0.771999999999999,0.715
350,0.699999999999999,0.725
377,0.753999999999999,0.735
326,0.651999999999999,0.745
305,0.609999999999999,0.755
324,0.647999999999999,0.765
320,0.639999999999999,0.775
306,0.611999999999999,0.785
284,0.568,0.795
284,0.568,0.805
274,0.547999999999999,0.815
281,0.561999999999999,0.825
274,0.548000000000006,0.835
263,0.525999999999999,0.845
253,0.506,0.855
268,0.535999999999999,0.865
260,0.52,0.875
237,0.474,0.885
283,0.566,0.895
237,0.474,0.905
260,0.52,0.915
250,0.5,0.925
249,0.498000000000005,0.935
276,0.551999999999999,0.945
256,0.512,0.955
295,0.589999999999999,0.965
311,0.621999999999999,0.975
441,0.881999999999999,0.985
983,1.966,0.995
1255,2.51,1.005
2179,4.358,1.015
4251,8.50199999999999,1.025
3976,7.95199999999999,1.035
4608,9.21599999999999,1.045
3314,6.62799999999999,1.055
2503,5.00600000000011,1.065
1619,3.23799999999993,1.075
1053,2.10600000000005,1.085
870,1.73999999999996,1.095
601,1.20200000000003,1.105
554,1.10799999999997,1.115
452,0.904000000000019,1.125
415,0.829999999999981,1.135
343,0.686000000000015,1.145
335,0.669999999999984,1.155
283,0.566000000000012,1.165
251,0.501999999999988,1.175
273,0.546000000000012,1.185
227,0.454,1.195
186,0.372,1.205
174,0.348,1.215
182,0.364,1.225
140,0.28,1.235
104,0.208,1.245
119,0.238,1.255
114,0.228,1.265
84,0.168,1.275
90,0.18,1.285
89,0.178,1.295
63,0.126,1.305
76,0.152000000000003,1.315
58,0.115999999999997,1.325
69,0.138000000000003,1.335
57,0.113999999999997,1.345
45,0.0900000000000019,1.355
52,0.103999999999998,1.365
50,0.100000000000002,1.375
41,0.0819999999999981,1.385
43,0.0860000000000018,1.395
26,0.0519999999999988,1.405
33,0.0660000000000014,1.415
29,0.0579999999999987,1.425
37,0.0740000000000016,1.435
38,0.0759999999999982,1.445
29,0.0580000000000012,1.455
26,0.0519999999999988,1.465
31,0.0620000000000013,1.475
27,0.0539999999999988,1.485
31,0.0620000000000013,1.495
17,0.0339999999999992,1.505
19,0.0380000000000008,1.515
17,0.0340000000000007,1.525
21,0.041999999999999,1.535
17,0.0340000000000007,1.545
25,0.0499999999999988,1.555
26,0.0520000000000011,1.565
17,0.0339999999999992,1.575
18,0.0360000000000008,1.585
21,0.041999999999999,1.595
