"counts","density","mids"
0,0,0.365
0,0,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
1,0.00278326699880319,0.425
0,0,0.435
0,0,0.445
2,0.00556653399760639,0.455
5,0.013916334994016,0.465
13,0.0361824709844415,0.475
14,0.0389657379832447,0.485
20,0.0556653399760639,0.495
34,0.0946310779593086,0.505
71,0.197611956915027,0.515
113,0.314509170864761,0.525
144,0.40079044782766,0.535
205,0.570569734754655,0.545
263,0.73199922068524,0.555
311,0.865596036627803,0.565
356,0.990843051573937,0.575
385,1.07155779453923,0.585
399,1.11052353252247,0.595
417,1.16062233850093,0.605
405,1.12722313451529,0.615
354,0.98527651757633,0.625
396,1.10217373152606,0.635
358,0.996409585571554,0.645
332,0.92404464360266,0.655
315,0.876729104623006,0.665
307,0.85446296863258,0.675
285,0.79323109465891,0.685
264,0.734782487684043,0.695
227,0.631801608728325,0.705
246,0.684683681705585,0.715
214,0.595619137743883,0.725
219,0.609535472737899,0.735
219,0.609535472737899,0.745
189,0.526037462773803,0.755
189,0.526037462773803,0.765
207,0.576136268752261,0.775
211,0.587269336747474,0.785
174,0.484288457791756,0.795
177,0.492638258788165,0.805
185,0.514904394778591,0.815
187,0.520470928776197,0.825
172,0.478721923794154,0.835
180,0.500988059784575,0.845
150,0.417490049820479,0.855
178,0.495421525786968,0.865
173,0.481505190792952,0.875
155,0.431406384814495,0.885
181,0.503771326783378,0.895
156,0.434189651813298,0.905
172,0.478721923794149,0.915
166,0.46202232180133,0.925
173,0.481505190792958,0.935
199,0.553870132761835,0.945
175,0.487071724790559,0.955
204,0.567786467755851,0.965
218,0.606752205739096,0.975
287,0.798797628656516,0.985
557,1.55027971833338,0.995
774,2.15424865707367,1.005
1680,4.67588855798936,1.015
3693,10.2786050265802,1.025
3419,9.51598986890812,1.035
4031,11.2193492721757,1.045
2710,7.54265356675665,1.055
1819,5.06276267082312,1.065
1010,2.81109966879116,1.075
553,1.5391466503382,1.085
420,1.16897213949731,1.095
276,0.768181691669698,1.105
266,0.740349021681633,1.115
234,0.651284477719962,1.125
223,0.620668540733098,1.135
189,0.526037462773815,1.145
186,0.517687661777382,1.155
168,0.467588855798947,1.165
151,0.420273316819273,1.175
192,0.534387263770225,1.185
151,0.420273316819282,1.195
128,0.356258175846809,1.205
120,0.333992039856383,1.215
130,0.361824709844415,1.225
97,0.26997689888391,1.235
66,0.183695621921011,1.245
83,0.231011160900665,1.255
82,0.228227893901862,1.265
52,0.144729883937766,1.275
67,0.186478888919814,1.285
52,0.144729883937766,1.295
29,0.0807147429652926,1.305
53,0.147513150936572,1.315
42,0.116897213949731,1.325
46,0.12803028194495,1.335
41,0.114113946950928,1.345
26,0.0723649419688846,1.355
39,0.108547412953322,1.365
36,0.100197611956917,1.375
22,0.0612318739736689,1.385
30,0.0834980099640976,1.395
15,0.041749004982047,1.405
21,0.0584486069748683,1.415
22,0.0612318739736689,1.425
28,0.0779314759664911,1.435
27,0.0751482089676845,1.445
21,0.0584486069748683,1.455
19,0.0528820729772595,1.465
18,0.0500988059784586,1.475
16,0.0445322719808501,1.485
25,0.0695816749700814,1.495
12,0.0333992039856376,1.505
13,0.0361824709844423,1.515
5,0.0139163349940163,1.525
15,0.041749004982047,1.535
13,0.0361824709844423,1.545
21,0.0584486069748657,1.555
14,0.0389657379832456,1.565
11,0.0306159369868344,1.575
12,0.0333992039856391,1.585
10,0.0278326699880313,1.595
12,0.0333992039856391,1.605
11,0.0306159369868344,1.615
4,0.011133067995213,1.625
9,0.0250494029892282,1.635
8,0.022266135990426,1.645
6,0.0166996019928188,1.655
7,0.0194828689916228,1.665
4,0.0111330679952125,1.675
4,0.011133067995213,1.685
12,0.0333992039856376,1.695
14,0.0389657379832456,1.705
8,0.022266135990425,1.715
7,0.0194828689916228,1.725
7,0.0194828689916219,1.735
7,0.0194828689916228,1.745
9,0.0250494029892282,1.755
2,0.00556653399760651,1.765
7,0.0194828689916228,1.775
4,0.0111330679952125,1.785
7,0.0194828689916228,1.795
4,0.0111330679952125,1.805
5,0.0139163349940163,1.815
6,0.0166996019928188,1.825
4,0.011133067995213,1.835
3,0.00834980099640939,1.845
0,0,1.855
3,0.00834980099640939,1.865
4,0.011133067995213,1.875
4,0.0111330679952125,1.885
4,0.011133067995213,1.895
5,0.0139163349940157,1.905
1,0.00278326699880325,1.915
3,0.00834980099640939,1.925
5,0.0139163349940163,1.935
1,0.00278326699880313,1.945
2,0.00556653399760651,1.955
3,0.00834980099640939,1.965
5,0.0139163349940163,1.975
0,0,1.985
3,0.00834980099640976,1.995
4,0.0111330679952125,2.005
3,0.00834980099640976,2.015
5,0.0139163349940163,2.025
3,0.00834980099640939,2.035
1,0.00278326699880325,2.045
1,0.00278326699880313,2.055
4,0.011133067995213,2.065
4,0.0111330679952125,2.075
2,0.00556653399760651,2.085
2,0.00556653399760626,2.095
4,0.011133067995213,2.105
0,0,2.115
4,0.011133067995213,2.125
2,0.00556653399760626,2.135
5,0.0139163349940163,2.145
2,0.00556653399760626,2.155
3,0.00834980099640976,2.165
0,0,2.175
2,0.00556653399760651,2.185
2,0.00556653399760626,2.195
0,0,2.205
1,0.00278326699880313,2.215
1,0.00278326699880325,2.225
1,0.00278326699880313,2.235
1,0.00278326699880325,2.245
3,0.00834980099640939,2.255
1,0.00278326699880325,2.265
2,0.00556653399760651,2.275
0,0,2.285
1,0.00278326699880325,2.295
2,0.00556653399760626,2.305
1,0.00278326699880325,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
1,0.00278326699880325,2.375
0,0,2.385
1,0.00278326699880325,2.395
1,0.00278326699880325,2.405
1,0.00278326699880313,2.415
0,0,2.425
0,0,2.435
3,0.00834980099640976,2.445
0,0,2.455
0,0,2.465
1,0.00278326699880313,2.475
0,0,2.485
2,0.00556653399760626,2.495
0,0,2.505
0,0,2.515
1,0.00278326699880325,2.525
1,0.00278326699880313,2.535
0,0,2.545
1,0.00278326699880313,2.555
0,0,2.565
0,0,2.575
0,0,2.585
0,0,2.595
0,0,2.605
0,0,2.615
