"Comp-FITC-A","Comp-Texas Red-A"
464,428
269,249
790,704
273,248
821,755
264,251
258,249
925,775
288,263
243,236
884,784
237,229
1006,859
262,306
346,502
248,232
374,591
257,243
256,237
266,241
255,246
315,269
256,263
366,641
292,270
311,501
265,243
253,279
279,245
259,241
256,255
1023,886
254,241
272,241
250,236
784,719
422,692
249,237
270,255
257,245
256,245
270,240
692,658
871,695
599,709
491,675
605,735
266,244
290,294
262,236
251,444
252,242
263,245
270,247
248,239
491,641
989,824
272,254
270,249
742,757
265,253
678,695
264,267
1022,970
270,313
263,243
723,670
260,244
316,591
246,233
259,247
409,375
247,236
251,234
278,256
391,583
269,248
823,508
269,252
274,256
257,250
257,250
265,254
274,266
252,240
262,283
280,275
266,247
265,249
323,255
274,258
926,745
992,799
641,636
793,686
371,455
257,366
1001,821
249,238
940,809
354,605
239,240
809,646
267,251
255,252
700,539
246,240
252,243
244,241
690,578
258,245
1022,961
253,238
1023,890
241,234
259,240
252,250
263,247
788,480
244,251
288,284
336,404
758,745
942,822
271,243
271,460
801,647
358,671
243,237
376,637
734,679
254,252
260,322
310,541
302,337
440,510
249,236
1023,870
1012,870
778,779
309,294
735,581
246,242
308,255
671,398
829,731
625,645
265,255
789,707
252,249
241,245
237,237
246,238
261,248
560,295
270,255
275,262
267,249
277,545
252,254
247,320
787,485
561,667
785,625
1022,976
941,820
711,642
254,244
275,249
243,239
282,552
249,265
1007,822
1023,940
240,240
267,247
976,826
606,645
704,468
254,245
253,247
906,707
446,293
247,246
267,241
257,241
282,483
266,240
255,321
637,748
411,672
262,241
258,245
267,642
294,266
263,243
629,415
923,819
330,258
255,238
289,287
257,242
1023,830
286,254
251,238
250,240
280,257
496,397
613,744
255,269
434,429
255,244
305,275
262,251
785,548
251,243
788,719
248,240
243,241
249,234
272,251
269,256
253,246
257,240
256,241
261,246
279,250
931,775
255,240
826,633
524,640
1007,822
248,237
1023,874
379,301
244,238
347,361
255,251
259,246
590,549
868,626
247,245
861,804
750,625
257,251
253,238
1023,914
257,257
396,602
247,236
723,574
261,262
276,273
322,643
268,253
291,267
263,561
244,237
262,239
265,243
249,238
248,238
1001,836
263,252
258,249
257,241
304,374
302,266
249,238
247,235
317,575
277,268
272,255
263,244
250,237
249,237
377,641
304,319
247,234
261,245
238,236
394,598
244,236
255,244
503,720
259,240
570,479
804,672
250,235
453,274
275,256
248,237
503,618
261,244
281,559
523,352
944,813
259,243
306,292
624,497
251,237
984,827
405,460
419,429
290,266
269,470
656,622
1023,945
586,711
787,711
249,238
249,239
245,238
245,244
262,244
839,589
1022,954
243,240
256,238
243,231
242,237
258,264
637,311
281,265
382,300
243,240
403,449
261,248
641,720
274,259
771,673
439,303
257,244
249,240
253,245
256,246
283,393
275,266
829,643
254,247
237,239
250,242
250,244
1023,923
247,242
473,665
253,250
948,767
251,246
308,292
259,288
704,332
246,248
249,243
271,257
267,384
989,849
260,250
740,500
406,518
258,246
664,567
246,240
257,245
330,611
304,258
359,317
453,269
278,261
559,530
306,259
638,261
690,402
748,672
244,239
245,237
246,238
248,241
932,668
911,686
316,403
307,242
962,821
243,237
246,237
775,722
784,771
393,355
468,335
298,262
258,241
249,238
753,562
257,241
409,250
270,248
258,249
878,694
366,601
257,245
255,247
1023,914
937,830
247,245
791,495
262,245
629,376
248,243
252,243
251,238
299,251
261,438
746,699
255,243
263,261
249,242
941,772
739,417
995,846
290,256
300,254
245,236
269,255
265,254
261,243
241,235
1005,906
258,243
535,696
254,249
293,273
262,250
937,814
235,232
259,242
247,289
574,631
321,284
240,235
273,248
258,245
254,242
255,240
276,248
247,236
261,244
283,253
865,718
689,483
253,241
354,481
395,705
340,383
242,240
303,280
913,757
526,573
946,755
254,246
539,585
266,249
268,237
256,240
253,257
378,311
282,260
243,234
263,239
245,236
726,710
303,540
251,243
403,550
658,583
474,717
251,292
933,696
289,563
280,279
333,520
505,615
299,244
244,234
545,630
271,419
243,238
252,250
427,597
700,286
285,267
250,239
566,510
871,764
255,244
248,242
300,273
344,473
292,237
237,238
847,638
710,768
248,242
781,654
285,258
1023,899
264,242
1023,875
837,703
287,420
881,629
239,229
868,732
612,300
262,301
312,597
255,241
805,753
246,245
256,444
237,239
267,252
865,688
245,245
245,243
1023,911
834,633
298,352
768,749
245,239
258,242
247,256
444,663
277,328
593,665
262,246
821,667
433,279
247,237
259,249
305,381
252,250
768,544
253,251
255,247
280,461
1023,899
747,567
250,277
247,260
559,620
353,422
609,701
263,247
262,252
459,725
980,846
236,235
263,253
453,421
896,728
265,238
259,244
283,278
271,254
260,246
1022,991
272,250
260,246
249,236
249,241
250,245
250,248
725,706
302,266
342,517
1023,938
954,802
245,243
746,517
1008,865
258,241
280,284
275,252
248,235
1023,881
273,249
281,234
304,544
299,483
386,299
1023,856
249,257
300,315
245,239
251,239
475,424
800,642
719,483
553,480
894,783
850,758
239,234
471,264
258,260
473,496
321,273
259,380
263,245
769,666
259,237
268,428
248,242
250,236
887,785
278,247
914,720
484,372
249,239
1016,873
870,773
787,568
866,785
264,253
742,540
323,449
239,231
326,619
503,578
258,244
565,284
677,275
266,248
264,247
256,239
266,251
263,247
1022,979
390,624
252,242
388,320
247,268
262,244
251,237
249,236
1023,946
398,296
252,246
551,569
891,716
266,250
278,278
569,726
921,798
255,241
726,726
896,701
818,729
376,674
242,238
270,251
256,238
259,244
288,245
334,403
252,244
257,240
250,243
722,675
245,233
403,392
253,245
265,253
548,286
940,756
733,719
285,412
759,671
760,560
245,238
265,246
250,244
951,774
274,247
368,302
245,239
263,248
856,702
366,698
825,751
998,845
280,252
311,257
443,644
308,240
280,299
269,250
975,823
263,265
599,494
285,530
246,234
270,265
259,240
246,238
244,234
288,299
249,242
265,270
564,708
371,529
262,279
258,240
808,711
283,249
1022,970
250,240
295,397
266,248
1023,946
247,236
286,520
246,240
989,823
241,240
868,615
267,240
249,237
343,370
497,649
242,237
254,278
854,666
576,431
1023,927
673,274
260,242
259,249
264,257
401,659
1006,815
260,246
914,762
422,342
262,290
260,243
254,247
713,696
803,664
256,246
256,247
871,750
273,251
294,374
300,465
275,264
254,246
255,246
250,241
414,293
252,248
264,246
247,244
257,243
255,246
282,254
465,445
282,530
281,250
277,248
270,280
1023,857
797,774
876,829
503,374
260,245
551,683
262,247
388,618
254,243
247,236
529,257
262,386
274,281
556,409
491,544
481,335
727,708
819,687
270,255
266,266
257,246
263,339
310,376
243,313
290,240
766,647
887,751
471,574
335,612
257,248
244,244
329,285
1023,919
334,418
431,393
605,683
604,441
254,294
276,260
257,240
642,605
1022,979
845,733
259,243
270,251
236,233
250,237
269,255
1023,926
649,320
241,244
909,794
1015,903
282,267
251,236
704,428
252,234
238,244
470,675
875,736
256,245
261,443
303,474
245,237
844,672
257,304
248,245
256,245
536,669
293,436
246,240
276,543
994,827
245,237
341,266
247,243
245,237
995,850
249,243
756,729
472,523
1023,847
245,264
291,536
655,597
261,249
241,243
315,268
529,299
817,802
234,241
248,285
251,249
257,248
884,740
360,268
378,689
250,276
396,562
1016,879
578,549
789,755
331,316
1023,885
251,288
958,727
999,885
308,633
459,525
410,646
826,667
705,702
252,244
250,236
1022,964
249,243
278,256
384,618
398,267
272,265
1023,887
246,236
271,250
455,474
351,246
1023,883
535,360
256,243
275,253
258,249
255,247
270,258
320,282
254,243
251,243
275,421
262,243
342,300
257,244
446,449
387,657
272,247
466,392
272,307
266,239
330,510
403,363
947,772
251,240
436,673
374,338
272,251
252,243
299,266
253,241
287,265
262,253
504,725
787,636
252,239
291,668
379,392
956,807
912,787
255,240
260,247
252,241
289,246
305,244
398,517
250,242
246,240
1023,911
249,244
252,240
247,243
896,729
491,616
268,253
256,251
270,247
413,555
458,691
266,250
254,253
253,241
242,240
966,839
251,240
304,407
262,244
439,512
256,245
717,483
1006,859
263,248
331,395
247,238
259,252
265,240
261,244
631,449
263,242
405,498
880,741
857,701
271,248
257,239
1022,967
673,729
251,241
1022,976
268,449
515,656
281,369
259,243
608,726
298,272
280,251
367,248
365,446
263,250
271,255
1022,953
367,688
590,686
1023,910
425,323
253,242
782,771
256,236
332,530
247,243
237,237
814,635
251,242
456,613
255,256
289,382
251,240
304,344
262,245
694,437
497,494
1023,937
249,249
253,240
776,716
702,617
241,318
257,247
1016,863
805,772
275,627
249,240
250,238
492,665
256,242
278,278
273,252
459,351
242,239
1010,833
329,247
243,238
251,237
285,244
527,662
253,243
1022,952
255,243
456,684
239,237
568,396
746,600
857,718
636,734
251,238
282,253
326,569
247,239
261,249
915,754
1023,935
1023,913
250,242
247,231
259,240
278,255
240,237
743,717
476,293
356,639
1000,860
326,700
663,577
243,236
245,232
288,261
261,244
291,324
457,566
272,245
263,246
796,560
243,237
247,242
295,351
563,665
918,837
258,244
275,264
640,650
863,683
249,240
935,722
967,823
246,240
262,251
278,278
244,233
975,809
807,561
244,239
258,259
257,246
262,411
270,251
262,289
268,254
285,458
1023,884
268,254
758,317
248,252
1014,854
268,338
573,631
1023,909
258,247
1023,775
245,247
246,239
810,695
243,257
1023,917
267,253
254,245
255,244
241,242
231,236
240,254
496,559
255,253
316,540
408,595
293,259
271,252
841,700
269,262
311,483
251,248
250,247
250,242
275,260
267,255
254,241
322,534
369,592
322,539
274,269
250,241
277,262
763,634
264,262
249,243
984,767
262,252
244,456
257,246
262,251
376,556
267,395
256,255
249,236
304,402
274,247
267,246
923,709
249,239
257,248
739,706
832,727
951,805
847,532
801,727
711,598
1022,855
529,746
263,245
256,242
716,685
892,680
254,247
967,797
240,238
245,233
720,663
254,245
309,569
251,316
228,728
335,385
274,238
255,251
648,630
253,251
248,241
247,242
265,248
644,642
1023,902
248,249
254,245
275,254
260,248
639,632
267,255
1023,908
260,245
848,632
314,514
250,391
575,664
268,269
263,247
783,672
253,281
274,257
248,242
415,323
1022,977
257,287
254,240
710,427
297,268
257,245
283,248
263,248
278,307
263,254
296,258
418,581
911,655
770,503
253,246
905,705
267,251
546,615
1022,987
244,237
256,247
442,433
270,256
1022,985
561,437
1017,880
657,824
408,277
271,244
554,380
268,248
268,246
252,472
970,835
270,266
734,639
1012,846
238,230
240,239
251,238
254,236
1022,960
250,237
423,401
251,241
397,396
248,236
310,259
827,701
239,235
234,242
251,237
293,260
234,237
234,259
312,549
661,664
559,748
327,324
871,657
243,240
245,240
255,246
251,250
252,238
246,250
250,240
