"Comp-FITC-A","Comp-Texas Red-A"
464,428
269,249
790,704
786,727
273,248
821,755
264,251
258,249
925,775
288,263
613,736
243,236
884,784
1023,587
237,229
1006,859
334,564
262,306
346,502
249,234
496,705
444,709
278,250
248,232
374,591
232,233
235,230
612,479
257,243
256,237
265,243
266,241
255,246
514,645
315,269
241,235
1022,1018
474,403
1022,1018
255,293
256,263
388,661
796,644
366,641
337,277
292,270
311,501
265,243
253,279
279,245
259,241
358,639
456,310
978,861
281,252
402,746
256,255
573,753
1023,886
254,241
1022,1008
858,324
272,241
250,236
784,719
236,233
422,692
370,725
249,237
270,255
288,252
257,245
309,501
256,245
270,240
256,244
692,658
360,492
664,682
318,413
871,695
599,709
502,279
491,675
605,735
937,856
266,244
290,294
262,236
300,268
251,444
252,242
247,234
263,245
234,231
270,247
248,239
491,641
989,824
313,268
1023,945
240,295
545,444
272,254
336,281
329,485
270,249
742,757
374,316
265,253
678,695
967,708
264,267
404,340
299,272
1022,970
270,313
263,243
723,670
260,244
358,292
316,591
837,702
850,737
292,261
597,767
876,822
718,520
278,263
246,233
472,438
259,247
409,375
306,350
247,236
251,234
278,256
454,483
391,583
269,248
823,508
302,274
269,252
274,256
284,533
257,250
672,621
257,250
265,254
274,266
370,296
252,240
262,283
280,275
266,247
265,249
730,802
323,255
366,314
707,873
274,258
926,745
992,799
286,266
641,636
691,585
902,669
793,686
627,575
303,262
371,455
257,366
710,701
759,597
1001,821
292,268
249,238
940,809
354,605
239,240
809,646
267,251
335,415
362,543
335,296
255,252
700,539
246,240
252,243
791,858
499,656
435,627
403,703
795,630
244,241
690,578
258,245
673,734
301,252
643,507
1022,961
253,238
269,259
487,402
1023,890
1023,889
241,234
259,240
287,255
659,661
252,250
624,631
263,247
788,480
843,692
349,307
342,294
244,251
770,687
383,660
288,284
336,404
758,745
942,822
271,243
271,460
801,647
758,723
358,671
995,591
286,261
997,890
363,439
243,237
376,637
1023,949
734,679
254,252
360,649
432,378
260,322
310,541
302,337
440,510
249,236
1023,870
1012,870
778,779
309,294
735,581
371,570
1022,1018
246,242
941,762
848,811
308,255
671,398
230,233
829,731
244,237
625,645
230,232
656,637
521,558
265,255
868,781
789,707
236,230
309,450
235,239
252,249
365,397
241,245
237,237
246,238
292,256
275,254
261,248
560,295
270,255
275,262
371,553
267,249
793,794
277,545
252,254
247,320
584,554
787,485
268,248
561,667
278,505
785,625
1023,945
1022,976
327,295
990,618
283,264
941,820
317,260
390,494
711,642
254,244
275,249
243,239
282,552
958,781
935,824
249,265
1007,822
1023,940
240,240
267,247
976,826
275,253
771,745
556,658
606,645
358,275
262,245
414,633
704,468
254,245
253,247
906,707
446,293
247,246
524,679
267,241
712,807
590,667
257,241
875,759
258,419
601,604
282,483
266,240
922,747
255,321
282,273
273,252
637,748
244,240
411,672
262,241
258,245
267,642
294,266
263,243
629,415
923,819
330,258
255,238
851,875
289,287
257,242
408,452
1023,830
423,687
286,254
251,238
1023,912
250,240
280,257
496,397
613,744
255,269
255,242
434,429
1022,975
255,244
280,250
305,275
386,338
262,251
785,548
251,243
788,719
240,238
248,240
243,241
1009,846
306,301
393,401
1022,997
472,253
269,245
249,234
272,251
269,256
253,246
298,268
502,422
582,677
729,698
257,240
256,241
285,257
267,253
261,246
1022,1009
258,242
279,250
931,775
550,546
255,240
254,240
826,633
295,487
524,640
300,262
1007,822
300,294
248,237
1023,874
379,301
244,238
264,248
347,361
255,251
259,246
245,296
590,549
868,626
247,245
861,804
273,239
750,625
567,803
237,236
257,251
348,437
253,238
1023,914
638,740
277,252
257,257
396,602
274,253
247,236
723,574
261,262
276,273
284,258
233,230
297,283
322,643
268,253
303,266
875,705
291,267
263,561
971,870
244,237
262,239
278,252
265,243
314,301
271,250
249,238
248,238
1001,836
405,271
263,252
317,407
554,769
258,249
717,634
289,549
257,241
262,251
299,262
304,374
302,266
720,725
266,244
249,238
335,278
247,235
317,575
277,268
862,746
305,269
786,671
272,255
964,837
263,244
250,237
710,762
249,237
377,641
304,319
247,234
261,245
238,236
431,593
394,598
301,269
244,236
399,315
1020,852
255,244
392,304
330,309
831,658
648,462
470,506
410,683
503,720
257,245
259,240
242,240
570,479
804,672
250,235
388,269
323,363
582,676
453,274
275,256
248,237
773,772
850,728
255,321
503,618
261,244
301,288
336,277
921,832
773,483
436,438
281,559
523,352
944,813
408,307
378,309
481,685
259,243
639,869
306,292
624,497
251,237
984,827
742,548
405,460
419,429
462,566
290,266
236,231
565,509
269,470
320,261
245,235
1017,822
312,255
703,584
656,622
1023,945
759,748
586,711
437,609
240,230
787,711
249,238
578,349
249,239
245,238
549,376
245,244
262,244
839,589
1022,954
243,240
256,238
260,245
1023,891
243,231
242,237
258,264
389,661
637,311
281,265
799,747
382,300
288,381
243,240
1006,841
381,315
403,449
261,248
320,314
641,720
274,259
771,673
346,287
439,303
257,244
249,240
253,245
256,246
283,393
275,266
363,284
829,643
407,473
254,247
237,239
250,242
338,271
250,244
657,420
1023,923
247,242
316,268
473,665
244,235
253,250
419,343
948,767
251,246
308,292
259,288
461,566
248,236
492,639
704,332
246,248
357,333
249,243
878,700
452,591
271,257
267,384
989,849
260,250
740,500
406,518
258,246
664,567
246,240
257,245
330,611
304,258
359,317
453,269
278,261
313,282
559,530
257,243
306,259
882,903
233,231
470,422
638,261
690,402
232,233
748,672
1007,853
244,239
772,742
495,420
245,237
412,426
246,238
243,234
248,241
932,668
911,686
316,403
307,242
962,821
243,237
246,237
775,722
518,634
240,232
781,616
308,611
784,771
393,355
650,788
468,335
298,262
258,241
249,238
753,562
257,241
409,250
809,627
578,660
265,248
270,248
258,249
878,694
829,786
366,601
483,442
257,245
670,729
619,501
372,322
255,247
638,704
1023,914
937,830
247,245
540,325
274,247
791,495
262,245
629,376
248,243
893,693
252,243
251,238
299,251
261,438
746,699
255,243
234,235
629,501
517,450
263,261
249,242
676,608
941,772
630,762
739,417
397,317
995,846
290,256
648,738
300,254
300,301
268,346
245,236
269,255
265,254
261,243
608,473
241,235
375,310
1005,906
258,243
371,293
535,696
419,583
254,249
300,266
293,273
235,230
1022,1018
262,250
937,814
235,232
855,744
1023,875
259,242
247,289
574,631
321,284
240,235
617,458
493,643
273,248
258,245
254,242
375,346
255,240
777,814
276,248
247,236
261,244
283,253
865,718
689,483
253,241
354,481
395,705
975,838
330,265
234,230
872,739
273,252
928,815
1022,972
340,383
256,236
242,240
894,770
406,308
303,280
913,757
526,573
946,755
254,246
234,231
271,241
539,585
371,585
321,303
312,278
328,327
266,249
268,237
256,240
279,502
698,841
253,257
378,311
1022,971
921,775
282,260
747,578
243,234
263,239
520,592
245,236
726,710
303,540
251,243
493,441
403,550
393,581
658,583
474,717
987,830
251,292
999,859
933,696
289,563
280,279
333,520
425,393
505,615
299,244
244,234
453,579
303,270
545,630
271,419
1022,1008
278,253
245,234
243,238
252,250
984,741
901,764
427,597
700,286
920,679
590,754
285,267
1023,869
250,239
471,391
1023,901
566,510
871,764
681,650
255,244
354,532
1022,1018
248,242
300,273
344,473
630,642
292,237
237,238
847,638
710,768
248,242
781,654
335,277
285,258
631,696
1023,899
264,242
228,228
1023,875
837,703
287,420
649,701
881,629
239,229
868,732
286,293
855,710
612,300
233,235
262,301
312,597
255,241
805,753
246,245
721,620
256,444
237,239
267,252
261,248
794,630
739,596
489,649
865,688
245,245
245,243
262,252
1023,911
834,633
298,352
581,609
236,235
322,290
676,504
768,749
245,239
835,777
992,784
258,242
247,256
394,268
444,663
267,258
277,328
593,665
262,246
656,689
821,667
848,736
433,279
1023,890
247,237
286,276
259,249
305,381
252,250
576,361
768,544
253,251
279,264
255,247
280,461
462,447
1023,899
747,567
363,289
250,277
247,260
559,620
353,422
504,436
609,701
263,247
810,559
1022,987
290,248
262,252
459,725
710,437
999,838
980,846
941,862
236,235
263,253
453,421
896,728
318,267
1017,594
265,238
297,264
236,234
239,238
259,244
380,332
599,534
279,247
283,278
450,609
1023,881
253,243
271,254
247,245
388,536
260,246
376,312
1022,991
272,250
260,246
249,236
249,241
606,375
250,245
237,236
718,647
795,718
357,291
250,248
282,260
267,351
725,706
302,266
350,644
342,517
303,268
847,725
557,796
296,263
1023,938
235,234
490,493
954,802
318,264
299,570
494,529
245,243
325,469
451,737
232,228
746,517
1008,865
344,302
258,241
280,284
275,252
1012,812
450,634
879,744
315,273
284,259
248,235
473,435
320,275
340,662
1023,881
277,247
273,249
674,760
313,277
281,234
231,230
304,544
953,776
484,319
299,483
386,299
233,232
659,487
1023,856
313,564
249,257
300,315
245,239
551,594
368,552
251,239
533,467
705,624
475,424
800,642
340,291
868,730
231,233
719,483
553,480
716,765
894,783
361,449
850,758
239,234
471,264
937,735
258,260
709,798
473,496
321,273
372,442
593,713
979,840
1023,937
259,380
737,501
268,254
263,245
354,298
769,666
259,237
398,434
268,428
448,351
647,771
248,242
283,253
250,236
887,785
278,247
1022,1018
398,657
482,657
336,407
914,720
484,372
249,239
1016,873
870,773
787,568
347,287
287,293
866,785
539,467
264,253
742,540
397,637
323,449
239,231
326,619
503,578
258,244
565,284
890,761
677,275
495,615
266,248
264,247
285,350
423,694
285,260
256,239
1022,969
239,234
266,251
263,247
980,792
1022,979
390,624
252,242
329,278
388,320
247,268
262,244
251,237
244,235
249,236
1023,946
398,296
295,275
866,686
252,242
252,246
237,232
551,569
309,261
891,716
466,566
1022,967
266,250
278,278
569,726
355,321
921,798
263,250
572,398
255,241
726,726
448,317
735,639
733,813
896,701
818,729
469,667
376,674
242,238
768,712
270,251
299,268
770,820
256,238
679,293
901,907
259,244
288,245
334,403
252,244
257,240
249,234
250,243
722,675
354,395
281,370
245,233
409,575
367,294
403,392
253,245
265,253
1022,988
388,513
260,259
713,765
548,286
940,756
733,719
822,739
241,234
805,736
285,412
759,671
760,560
245,238
1022,1018
265,246
250,244
951,774
274,247
759,672
452,625
368,302
668,530
290,257
245,239
263,248
518,615
856,702
366,698
899,798
272,262
400,323
825,751
998,845
286,270
319,322
280,252
311,257
443,644
308,240
280,299
235,232
269,250
975,823
263,265
599,494
362,271
285,530
432,595
246,234
326,602
728,850
412,490
270,265
259,240
246,238
244,234
288,299
354,312
249,242
265,270
564,708
279,251
371,529
240,235
1022,973
262,279
258,240
1023,902
808,711
283,249
576,705
660,784
1022,970
250,240
1019,901
279,328
267,253
295,261
295,397
239,233
266,248
