"Comp-FITC-A","Comp-Texas Red-A"
245,240
245,248
262,788
248,236
245,403
246,410
254,368
277,399
194,804
249,249
268,247
238,721
171,818
248,250
266,472
253,349
215,764
259,246
250,244
223,732
380,277
240,237
233,548
244,253
268,377
246,261
267,273
248,251
258,279
233,570
231,663
252,357
257,247
269,478
270,288
252,245
237,508
164,815
251,253
254,465
241,344
240,466
267,253
263,264
248,271
259,493
248,250
257,262
281,316
244,549
248,418
239,518
259,244
216,753
258,440
248,253
255,248
255,676
250,244
194,808
254,526
259,406
250,255
247,623
248,246
254,249
13,947
251,244
246,492
252,269
244,257
269,309
243,333
266,511
248,272
252,304
262,249
261,719
243,236
252,258
274,267
249,264
245,257
251,258
257,252
247,261
251,715
241,540
247,257
256,268
349,281
244,259
249,272
259,512
241,238
244,278
265,372
251,419
268,250
248,244
249,397
256,245
245,452
254,537
249,295
255,264
308,652
245,247
106,890
243,549
247,242
252,323
242,640
251,252
250,320
203,720
268,527
241,269
247,321
245,245
244,353
243,243
257,350
247,258
250,581
248,246
255,412
247,250
247,380
257,341
264,261
287,308
341,295
236,628
276,383
239,257
94,884
258,255
253,536
249,230
256,289
284,286
247,251
290,257
249,283
325,305
226,648
134,864
247,541
248,273
244,287
248,627
207,759
226,672
245,561
270,245
255,242
243,328
243,592
251,307
250,264
249,398
202,776
253,656
244,278
256,248
220,751
237,646
278,361
209,725
263,264
251,289
228,746
217,670
256,312
254,263
247,337
250,255
251,346
269,380
261,266
257,247
246,261
245,553
248,409
254,367
246,268
263,455
258,319
238,585
233,724
450,454
251,443
253,272
253,378
269,315
260,284
249,457
265,263
248,251
260,274
262,266
230,672
290,280
252,262
255,431
241,252
286,568
248,319
243,244
194,778
246,450
220,698
245,431
258,672
271,380
258,260
251,298
287,605
260,264
250,242
254,268
231,614
247,347
245,253
250,547
249,296
250,447
255,253
248,268
299,272
322,570
195,755
252,243
303,298
193,771
263,304
273,264
157,837
251,645
282,261
244,597
245,263
252,285
250,264
240,506
255,572
194,830
258,253
282,283
239,241
221,715
242,284
249,318
253,329
244,392
254,275
245,246
262,256
212,725
255,244
264,247
243,451
24,949
255,310
241,564
224,708
242,593
250,252
250,253
314,279
256,317
249,266
264,609
261,250
248,481
248,239
247,242
228,836
239,259
253,278
245,288
129,841
258,255
241,281
215,765
259,257
255,467
241,302
258,311
271,258
259,252
226,679
271,274
244,605
232,684
240,376
259,290
250,664
268,251
246,537
247,257
258,320
250,244
253,287
282,667
259,251
265,312
248,669
253,292
249,243
250,248
262,288
211,743
252,246
263,303
252,244
250,240
257,508
257,250
255,630
242,644
255,255
189,784
261,273
243,259
249,245
242,372
258,260
279,358
225,718
240,520
239,421
270,297
253,301
260,539
247,597
249,339
265,256
288,288
250,262
218,674
245,255
253,479
202,778
139,889
247,240
245,240
257,413
253,467
259,262
258,243
243,603
244,640
256,241
269,296
263,254
247,250
249,352
259,288
183,792
254,258
248,386
249,243
241,243
249,549
108,877
258,241
276,285
230,714
253,241
254,261
242,262
248,240
256,307
236,666
258,496
256,637
250,403
266,275
264,263
257,276
260,551
269,247
248,250
260,415
190,772
243,237
256,262
251,243
244,258
251,316
263,630
258,408
274,263
257,259
248,360
248,307
261,267
272,447
258,257
248,357
257,257
220,698
264,255
246,237
230,619
265,281
242,537
255,244
230,652
261,277
324,772
241,338
245,248
243,529
238,610
253,252
