"Comp-FITC-A","Comp-Texas Red-A"
250,242
286,297
626,769
690,319
237,232
243,237
250,241
262,465
247,236
612,690
822,898
247,242
321,448
255,244
399,628
935,889
536,717
466,312
478,673
706,555
274,276
329,256
236,232
267,299
252,243
252,242
249,242
291,254
517,728
253,243
742,702
489,704
249,244
251,241
298,386
552,645
278,264
636,671
349,307
250,242
811,732
253,241
256,245
314,368
402,623
843,712
265,247
235,234
247,237
254,244
753,655
245,234
230,233
241,236
257,243
733,625
287,494
418,618
347,319
300,345
251,236
325,545
247,238
251,240
774,749
273,329
658,754
260,263
264,245
256,250
302,251
231,231
779,639
251,316
250,250
607,600
250,241
263,254
427,584
250,255
244,239
274,259
247,242
296,268
255,242
675,540
253,245
263,245
270,250
252,249
257,259
603,674
293,262
311,515
331,599
566,500
265,267
274,244
279,318
903,827
253,245
306,514
252,243
252,249
403,544
241,241
405,568
350,591
248,238
795,745
254,247
774,464
1023,877
257,241
250,239
243,239
246,239
264,251
245,243
272,254
251,242
257,249
351,295
341,596
244,237
238,240
242,239
254,246
267,249
252,247
256,240
257,261
244,240
680,283
332,445
257,245
361,651
248,243
245,242
459,681
951,798
843,590
272,423
288,288
251,250
268,249
649,720
278,259
257,247
243,236
745,555
328,472
706,703
804,785
237,234
777,558
441,501
451,651
947,707
1013,875
798,620
242,238
287,469
333,414
494,736
344,567
740,643
812,749
238,236
373,539
234,235
225,224
257,369
620,595
732,700
256,241
310,434
234,237
239,235
920,781
340,295
266,307
460,631
366,530
235,237
613,742
338,532
253,247
244,237
615,703
380,391
475,673
252,246
236,233
264,295
278,250
238,235
257,243
230,231
248,238
247,238
253,239
249,242
509,621
234,230
261,260
429,616
242,236
324,566
618,337
664,469
253,246
514,378
270,256
327,512
422,619
1002,857
259,235
247,241
260,248
410,661
369,594
265,253
250,240
249,240
395,601
250,241
386,509
259,250
263,269
235,236
299,263
866,660
446,660
254,244
253,240
331,310
542,734
315,407
255,247
355,603
350,400
440,720
238,231
268,246
258,241
256,240
248,239
263,242
249,244
247,251
422,625
243,236
247,239
250,237
353,552
251,244
233,231
513,493
841,716
766,553
276,247
252,246
286,257
244,242
256,238
292,257
267,251
252,241
351,566
258,245
255,242
279,264
343,453
329,487
263,246
320,503
252,243
385,575
389,489
457,386
1022,961
251,241
260,244
239,240
297,285
324,280
294,398
243,238
252,239
609,724
245,236
251,243
454,628
834,762
255,242
283,266
251,255
319,586
470,598
249,238
308,482
246,237
594,709
267,260
559,669
269,244
277,253
318,264
244,239
337,573
552,713
480,326
267,253
252,265
525,351
270,520
235,230
282,265
799,462
725,689
775,624
233,238
254,263
838,680
381,662
716,755
258,306
287,272
249,240
401,512
319,555
485,696
650,312
701,739
480,608
390,620
344,362
249,239
244,234
268,248
274,284
410,533
1023,907
741,592
253,247
240,238
687,315
239,239
248,244
250,334
250,239
241,232
229,231
242,232
413,607
565,569
622,734
261,242
287,424
421,586
295,488
241,235
275,300
936,798
265,251
480,703
307,297
732,641
243,237
321,502
249,237
286,242
320,519
644,329
249,242
1019,871
252,262
376,549
270,261
330,586
558,330
242,238
266,241
256,245
237,234
249,301
250,240
567,375
249,293
258,249
252,263
251,242
574,674
370,606
248,236
268,244
731,466
252,245
256,240
242,238
436,695
280,308
254,243
291,483
399,613
259,382
258,247
409,598
263,244
292,269
244,237
272,249
322,275
622,842
816,556
281,263
265,251
472,344
259,333
250,235
264,255
240,239
266,251
544,654
400,647
520,686
254,234
655,515
374,537
235,232
318,534
384,564
271,241
365,537
246,237
