"Comp-FITC-A","Comp-Texas Red-A"
238,241
227,687
236,612
246,268
254,249
244,238
258,277
247,248
243,238
238,241
86,890
236,246
238,392
258,487
246,239
250,260
252,247
249,250
160,833
248,395
249,248
247,247
292,266
242,240
247,239
246,241
250,255
234,592
243,240
243,428
240,238
260,251
248,241
242,242
247,239
247,274
249,244
238,581
249,243
245,236
243,239
250,239
263,259
244,370
244,371
93,895
239,236
248,241
247,238
245,242
246,238
247,348
254,245
36,937
246,517
231,624
261,275
243,244
242,236
243,483
243,319
240,416
241,290
254,254
254,252
257,425
242,255
229,703
251,239
255,284
254,300
243,234
242,240
265,426
252,246
245,265
264,458
242,248
247,239
249,253
244,247
252,243
241,251
212,794
244,237
246,505
256,290
246,235
248,243
249,235
246,246
243,240
253,246
249,242
240,310
250,248
245,295
245,238
251,240
288,275
245,237
244,265
239,246
251,237
247,289
254,245
245,240
258,250
257,243
241,252
266,618
255,268
248,242
270,244
245,243
248,245
252,254
252,252
251,261
254,278
246,242
252,271
245,417
217,775
236,236
240,483
260,420
269,273
254,263
242,240
246,327
250,262
243,506
227,639
231,641
243,245
256,277
248,249
241,241
267,317
243,254
243,239
245,242
248,267
244,271
239,620
248,319
250,242
250,428
248,261
248,244
297,277
249,252
245,240
254,267
240,230
253,448
246,241
236,410
240,246
250,489
241,238
352,377
239,238
239,284
245,312
221,687
244,257
245,241
246,263
249,245
238,253
246,266
260,266
272,274
245,405
250,309
238,618
258,251
254,302
240,233
249,409
240,242
283,273
247,245
248,248
251,244
254,387
240,235
239,256
246,243
238,648
244,241
252,289
248,240
260,249
247,246
246,273
248,241
249,267
249,248
240,252
263,309
255,244
236,599
243,241
240,365
253,249
234,604
245,273
240,234
255,254
247,253
248,258
243,236
256,246
251,247
248,257
242,306
247,272
245,483
243,234
229,662
245,238
250,280
254,276
253,251
248,242
255,247
251,263
241,272
244,282
246,241
245,273
242,242
258,426
243,438
243,244
239,236
256,254
271,254
256,314
257,245
252,247
249,252
245,249
256,273
243,237
221,665
246,241
251,283
257,245
248,277
254,243
260,262
254,249
244,248
244,238
237,238
238,232
238,232
247,267
265,276
249,246
260,268
256,249
250,244
251,390
252,308
244,249
260,246
245,243
263,435
248,242
247,237
247,245
249,283
242,238
256,244
209,721
250,256
251,239
239,237
251,348
253,241
251,237
249,241
263,249
246,238
255,244
247,239
239,247
250,273
247,252
244,284
244,239
249,239
246,266
247,252
260,265
251,256
243,238
241,234
257,256
250,243
244,343
253,277
256,267
248,261
246,252
249,262
241,232
249,263
245,242
256,271
251,237
243,240
246,239
246,334
243,477
250,244
242,252
247,245
249,238
248,252
249,236
263,357
245,280
246,239
251,309
243,241
249,269
235,398
245,363
183,776
238,236
252,251
257,343
254,252
252,242
226,653
253,235
251,242
247,236
247,274
244,439
245,284
297,271
18,952
247,234
256,343
251,249
245,243
253,258
253,241
258,270
250,258
244,254
260,351
250,252
241,249
242,241
251,251
242,240
282,639
247,294
257,245
241,242
244,244
277,263
259,247
241,454
235,635
245,270
254,249
256,250
255,244
246,281
247,260
241,252
229,640
242,277
248,328
238,238
243,304
247,263
256,440
243,235
252,253
247,244
246,242
250,245
253,250
243,239
251,292
247,250
243,247
245,241
257,240
253,247
239,345
243,234
255,268
245,242
244,245
249,258
246,247
249,242
247,368
258,353
256,288
238,272
243,236
266,303
255,248
242,236
243,237
248,243
244,263
237,586
246,254
245,252
262,328
242,260
253,246
248,246
242,594
256,242
246,244
262,266
268,242
266,406
256,244
239,263
252,246
262,340
260,245
248,249
245,239
236,468
259,248
264,679
242,235
250,268
249,241
251,255
251,232
251,239
244,237
247,271
243,234
231,711
244,241
252,236
243,232
256,266
252,287
254,338
254,284
249,244
234,507
254,252
233,575
247,242
249,256
244,239
252,253
248,523
250,312
251,240
248,240
246,251
258,255
251,447
240,237
245,241
237,475
246,245
247,241
240,242
249,241
251,436
249,248
244,241
243,242
260,363
246,251
290,342
254,290
229,601
242,252
248,241
249,242
249,326
245,250
250,250
244,237
250,250
251,259
254,263
258,250
247,241
252,240
240,239
244,249
251,284
243,325
247,234
226,623
251,251
248,241
244,459
249,323
237,461
251,264
133,871
249,238
254,245
255,243
258,255
236,569
246,241
241,244
226,687
247,239
249,246
241,240
243,237
238,244
233,633
256,263
257,252
261,249
243,239
249,250
245,350
255,288
251,241
249,250
244,258
243,241
253,519
242,242
251,244
245,285
237,305
246,245
247,235
246,250
244,568
248,237
248,250
261,404
239,252
254,250
261,249
258,286
253,391
248,313
265,278
252,244
244,252
257,404
253,267
229,601
240,238
247,448
134,853
246,252
242,238
253,251
241,252
242,238
242,547
247,254
244,481
247,239
251,351
249,251
242,234
245,253
247,236
240,240
249,258
239,237
242,233
245,601
262,247
250,256
240,377
257,243
129,883
245,240
251,243
262,244
249,245
239,257
243,240
251,522
246,246
247,237
244,263
245,241
235,543
259,279
251,253
264,380
243,254
244,381
252,260
244,236
245,253
206,758
253,247
240,540
252,340
246,235
246,236
250,241
243,400
246,276
244,246
243,237
263,252
245,252
280,256
259,245
250,240
246,244
240,239
259,250
245,255
260,255
246,287
244,235
248,266
252,243
246,242
255,244
246,241
253,298
224,648
250,246
220,666
243,330
255,369
242,241
220,644
255,261
271,260
262,376
246,338
253,240
251,247
263,378
245,447
257,249
94,897
254,248
292,261
248,248
247,239
252,248
247,240
252,318
250,242
242,260
236,238
241,239
244,241
237,544
244,236
233,599
244,255
249,246
248,259
248,350
243,248
246,307
236,499
255,322
245,245
228,655
248,236
249,254
239,235
241,278
241,238
238,562
242,248
257,392
277,252
239,249
246,243
245,587
241,246
246,239
250,248
248,246
245,237
242,238
243,235
248,260
246,235
76,897
256,238
247,258
241,247
231,675
243,234
270,247
244,236
245,252
230,696
247,241
239,252
231,540
248,251
252,272
257,300
239,245
247,269
264,279
254,253
250,239
258,248
243,235
243,235
246,237
249,241
256,253
245,243
245,253
247,241
249,520
248,239
