"counts","density","mids"
0,0,0.01
0,0,0.03
0,0,0.05
0,0,0.07
0,0,0.09
0,0,0.11
0,0,0.13
0,0,0.15
0,0,0.17
0,0,0.19
0,0,0.21
0,0,0.23
0,0,0.25
0,0,0.27
0,0,0.29
1,0.00178699070764832,0.31
3,0.00536097212294496,0.33
6,0.0107219442458899,0.35
11,0.0196568977841315,0.37
6,0.0107219442458899,0.39
23,0.0411007862759114,0.41
34,0.0607576840600428,0.43
41,0.0732666190135811,0.45
52,0.0929235167977128,0.47
97,0.173338098641887,0.49
162,0.289492494639028,0.51
216,0.385989992852037,0.53
220,0.39313795568263,0.55
285,0.509292351679774,0.57
281,0.502144388849178,0.59
277,0.494996426018584,0.61
272,0.486061472480343,0.63
242,0.432451751250893,0.65
217,0.387776983559685,0.67
258,0.461043602573266,0.69
216,0.385989992852039,0.71
220,0.39313795568263,0.73
226,0.40385989992852,0.75
247,0.441386704789135,0.77
228,0.407433881343817,0.79
246,0.439599714081486,0.81
242,0.432451751250896,0.83
244,0.43602573266619,0.85
253,0.452108649035025,0.87
244,0.43602573266619,0.89
266,0.475339528234453,0.91
250,0.44674767691208,0.93
308,0.550393137955685,0.95
393,0.702287348105789,0.97
915,1.63509649749821,0.99
1740,3.10936383130807,1.01
3378,6.03645461043602,1.03
3558,6.35811293781272,1.05
2484,4.43888491779842,1.07
1502,2.68406004288777,1.09
1027,1.83523945675482,1.11
843,1.50643316654753,1.13
778,1.39027877055041,1.15
835,1.49213724088635,1.17
830,1.4832022873481,1.19
610,1.09006433166547,1.21
468,0.836311651179413,1.23
333,0.59506790564689,1.25
284,0.507505360972123,1.27
238,0.4253037884203,1.29
196,0.35025017869907,1.31
161,0.287705503931379,1.33
149,0.266261615439599,1.35
124,0.221586847748392,1.37
116,0.207290922087205,1.39
112,0.200142959256614,1.41
92,0.164403145103645,1.43
69,0.123302358827734,1.45
60,0.107219442458899,1.47
80,0.142959256611866,1.49
42,0.0750536097212294,1.51
47,0.083988563259471,1.53
41,0.0732666190135811,1.55
40,0.0714796283059328,1.57
38,0.0679056468906361,1.59
36,0.0643316654753395,1.61
45,0.0804145818441743,1.63
31,0.0553967119370979,1.65
21,0.0375268048606151,1.67
27,0.0482487491065046,1.69
21,0.0375268048606147,1.71
27,0.0482487491065046,1.73
19,0.0339528234453181,1.75
25,0.044674767691208,1.77
17,0.0303788420300214,1.79
10,0.0178699070764832,1.81
11,0.0196568977841315,1.83
17,0.0303788420300214,1.85
13,0.0232308791994281,1.87
14,0.0250178699070765,1.89
17,0.0303788420300218,1.91
9,0.0160829163688349,1.93
5,0.00893495353824159,1.95
17,0.0303788420300214,1.97
15,0.0268048606147248,1.99
11,0.0196568977841315,2.01
13,0.0232308791994281,2.03
6,0.0107219442458899,2.05
6,0.0107219442458899,2.07
5,0.00893495353824159,2.09
7,0.0125089349535382,2.11
5,0.00893495353824159,2.13
2,0.00357398141529664,2.15
5,0.00893495353824159,2.17
5,0.00893495353824159,2.19
6,0.0107219442458899,2.21
3,0.00536097212294496,2.23
2,0.00357398141529664,2.25
3,0.00536097212294496,2.27
1,0.00178699070764832,2.29
0,0,2.31
1,0.00178699070764832,2.33
1,0.00178699070764832,2.35
1,0.00178699070764832,2.37
3,0.00536097212294496,2.39
3,0.00536097212294496,2.41
0,0,2.43
3,0.00536097212294496,2.45
1,0.00178699070764832,2.47
1,0.00178699070764832,2.49
2,0.00357398141529664,2.51
3,0.00536097212294496,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
2,0.00357398141529664,2.63
1,0.00178699070764832,2.65
2,0.00357398141529664,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
1,0.00178699070764832,2.85
1,0.00178699070764832,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
