"counts","density","mids"
312,0.60406582768635,0.01
86,0.166505324298161,0.03
71,0.137463697967086,0.05
81,0.156824782187802,0.07
84,0.162633107454017,0.09
93,0.180058083252662,0.11
87,0.168441432720232,0.13
109,0.211035818005808,0.15
106,0.205227492739594,0.17
112,0.216844143272023,0.19
145,0.280735721200387,0.21
173,0.334946757018393,0.23
175,0.338818973862536,0.25
202,0.39109390125847,0.27
218,0.422071636011618,0.29
275,0.532429816069699,0.31
294,0.56921587608906,0.33
333,0.644724104549856,0.35
333,0.644724104549854,0.37
332,0.642787996127783,0.39
346,0.669893514036787,0.41
407,0.787996127783155,0.43
355,0.68731848983543,0.45
334,0.646660212971928,0.47
331,0.640851887705711,0.49
338,0.654404646660212,0.51
348,0.673765730880929,0.53
310,0.600193610842207,0.55
303,0.586640851887708,0.57
303,0.586640851887705,0.59
283,0.547918683446272,0.61
307,0.594385285575992,0.63
335,0.648596321393997,0.65
299,0.578896418199419,0.67
305,0.590513068731849,0.69
329,0.636979670861571,0.71
357,0.691190706679573,0.73
312,0.60406582768635,0.75
335,0.648596321393997,0.77
419,0.811229428848015,0.79
396,0.766698935140367,0.81
460,0.890609874152957,0.83
475,0.919651500484026,0.85
569,1.10164569215876,0.87
607,1.17521781219748,0.89
733,1.41916747337851,0.91
874,1.69215876089061,0.93
1099,2.12778315585674,0.95
1394,2.69893514036786,0.97
2108,4.081316553727,0.99
2152,4.16650532429816,1.01
2176,4.21297192642788,1.03
1368,2.648596321394,1.05
609,1.17909002904163,1.07
239,0.462729912875121,1.09
116,0.22458857696031,1.11
65,0.125847047434656,1.13
36,0.0696999031945796,1.15
26,0.0503388189738625,1.17
16,0.0309777347531461,1.19
10,0.0193610842207163,1.21
6,0.0116166505324298,1.23
4,0.00774443368828654,1.25
3,0.0058083252662149,1.27
0,0,1.29
1,0.00193610842207163,1.31
2,0.00387221684414327,1.33
0,0,1.35
2,0.00387221684414327,1.37
1,0.00193610842207163,1.39
1,0.00193610842207166,1.41
0,0,1.43
0,0,1.45
0,0,1.47
0,0,1.49
0,0,1.51
0,0,1.53
0,0,1.55
0,0,1.57
0,0,1.59
0,0,1.61
0,0,1.63
0,0,1.65
0,0,1.67
0,0,1.69
0,0,1.71
0,0,1.73
0,0,1.75
0,0,1.77
0,0,1.79
0,0,1.81
0,0,1.83
0,0,1.85
0,0,1.87
0,0,1.89
0,0,1.91
0,0,1.93
0,0,1.95
0,0,1.97
0,0,1.99
0,0,2.01
0,0,2.03
0,0,2.05
0,0,2.07
0,0,2.09
0,0,2.11
0,0,2.13
0,0,2.15
0,0,2.17
0,0,2.19
0,0,2.21
0,0,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
0,0,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
