"counts","density","mids"
633,0.633,0.01
163,0.163,0.03
123,0.123,0.05
158,0.158,0.07
173,0.173,0.09
167,0.167,0.11
169,0.169,0.13
199,0.199,0.15
202,0.202,0.17
228,0.228,0.19
283,0.283,0.21
329,0.329,0.23
399,0.399,0.25
449,0.449,0.27
527,0.527000000000001,0.29
659,0.658999999999999,0.31
696,0.695999999999999,0.33
798,0.798000000000002,0.35
843,0.842999999999999,0.37
857,0.856999999999999,0.39
908,0.908000000000002,0.41
920,0.919999999999999,0.43
859,0.858999999999999,0.45
826,0.826000000000002,0.47
834,0.833999999999999,0.49
775,0.774999999999999,0.51
801,0.800999999999999,0.53
763,0.762999999999999,0.55
705,0.705000000000003,0.57
696,0.695999999999999,0.59
654,0.653999999999999,0.61
655,0.654999999999999,0.63
682,0.681999999999999,0.65
688,0.687999999999999,0.67
624,0.624,0.69
652,0.652000000000003,0.71
700,0.699999999999999,0.73
591,0.590999999999999,0.75
634,0.634,0.77
743,0.742999999999999,0.79
717,0.716999999999999,0.81
812,0.812000000000004,0.83
819,0.818999999999999,0.85
944,0.943999999999999,0.87
1033,1.033,0.89
1128,1.128,0.91
1337,1.337,0.93
1669,1.66900000000001,0.95
2195,2.195,0.97
3506,3.506,0.99
3778,3.778,1.01
3588,3.588,1.03
2333,2.333,1.05
1286,1.286,1.07
745,0.744999999999999,1.09
424,0.424,1.11
287,0.287,1.13
188,0.188000000000002,1.15
144,0.144,1.17
87,0.0869999999999999,1.19
61,0.0609999999999999,1.21
50,0.05,1.23
38,0.038,1.25
29,0.029,1.27
14,0.014,1.29
5,0.005,1.31
7,0.00699999999999999,1.33
4,0.004,1.35
3,0.003,1.37
1,0.000999999999999999,1.39
1,0.00100000000000001,1.41
0,0,1.43
0,0,1.45
0,0,1.47
1,0.000999999999999999,1.49
0,0,1.51
0,0,1.53
0,0,1.55
0,0,1.57
0,0,1.59
0,0,1.61
0,0,1.63
0,0,1.65
0,0,1.67
0,0,1.69
0,0,1.71
0,0,1.73
0,0,1.75
0,0,1.77
0,0,1.79
0,0,1.81
0,0,1.83
0,0,1.85
0,0,1.87
0,0,1.89
0,0,1.91
0,0,1.93
0,0,1.95
0,0,1.97
0,0,1.99
0,0,2.01
0,0,2.03
0,0,2.05
0,0,2.07
0,0,2.09
0,0,2.11
0,0,2.13
0,0,2.15
0,0,2.17
0,0,2.19
0,0,2.21
0,0,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
1,0.000999999999999999,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
