"counts","density","mids"
0,0,0.01
0,0,0.03
0,0,0.05
0,0,0.07
0,0,0.09
0,0,0.11
0,0,0.13
0,0,0.15
0,0,0.17
0,0,0.19
0,0,0.21
0,0,0.23
0,0,0.25
0,0,0.27
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
1,0.000999999999999999,0.37
2,0.002,0.39
1,0.001,0.41
3,0.003,0.43
8,0.00799999999999999,0.45
14,0.014,0.47
49,0.049,0.49
97,0.0969999999999999,0.51
239,0.239,0.53
476,0.476,0.55
739,0.739000000000003,0.57
945,0.944999999999999,0.59
1024,1.024,0.61
985,0.984999999999999,0.63
1049,1.049,0.65
944,0.943999999999999,0.67
876,0.875999999999999,0.69
752,0.752000000000004,0.71
767,0.766999999999999,0.73
687,0.686999999999999,0.75
642,0.642,0.77
570,0.57,0.79
578,0.578,0.81
520,0.520000000000002,0.83
486,0.486,0.85
470,0.47,0.87
489,0.489,0.89
501,0.501,0.91
496,0.496,0.93
504,0.504000000000002,0.95
639,0.639,0.97
1741,1.741,0.99
3879,3.879,1.01
7756,7.75599999999999,1.03
6697,6.69699999999999,1.05
3993,3.993,1.07
2219,2.219,1.09
1528,1.528,1.11
1111,1.111,1.13
825,0.825000000000008,1.15
711,0.710999999999999,1.17
625,0.625,1.19
472,0.472,1.21
338,0.338,1.23
275,0.275,1.25
212,0.212,1.27
192,0.192,1.29
187,0.187,1.31
161,0.161,1.33
119,0.119,1.35
123,0.123,1.37
112,0.112,1.39
72,0.0720000000000007,1.41
73,0.0729999999999999,1.43
61,0.0609999999999999,1.45
60,0.0599999999999999,1.47
64,0.064,1.49
36,0.036,1.51
43,0.043,1.53
57,0.057,1.55
47,0.047,1.57
37,0.037,1.59
27,0.027,1.61
42,0.042,1.63
27,0.027,1.65
34,0.0340000000000003,1.67
20,0.02,1.69
25,0.025,1.71
30,0.03,1.73
29,0.029,1.75
31,0.031,1.77
23,0.023,1.79
23,0.023,1.81
17,0.017,1.83
20,0.02,1.85
18,0.018,1.87
16,0.016,1.89
11,0.0110000000000001,1.91
14,0.014,1.93
15,0.015,1.95
15,0.015,1.97
10,0.00999999999999999,1.99
9,0.00899999999999999,2.01
12,0.012,2.03
15,0.015,2.05
9,0.00899999999999999,2.07
14,0.014,2.09
7,0.00699999999999999,2.11
8,0.00799999999999999,2.13
4,0.004,2.15
8,0.00799999999999999,2.17
11,0.011,2.19
7,0.00699999999999999,2.21
4,0.004,2.23
5,0.005,2.25
6,0.006,2.27
3,0.003,2.29
4,0.00400000000000009,2.31
6,0.006,2.33
4,0.004,2.35
4,0.004,2.37
2,0.002,2.39
6,0.006,2.41
3,0.003,2.43
3,0.003,2.45
1,0.000999999999999999,2.47
2,0.002,2.49
1,0.000999999999999999,2.51
3,0.003,2.53
3,0.003,2.55
0,0,2.57
2,0.002,2.59
1,0.000999999999999999,2.61
0,0,2.63
0,0,2.65
1,0.000999999999999999,2.67
0,0,2.69
0,0,2.71
1,0.000999999999999999,2.73
0,0,2.75
0,0,2.77
1,0.000999999999999999,2.79
0,0,2.81
1,0.000999999999999999,2.83
2,0.002,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
1,0.000999999999999999,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
