"counts","density","mids"
23,0.0365183703280302,0.01
17,0.0269918389381093,0.03
21,0.0333428598647233,0.05
21,0.0333428598647232,0.07
23,0.0365183703280302,0.09
38,0.0603346988028326,0.11
31,0.0492204121812581,0.13
43,0.0682734749611,0.15
50,0.0793877615826745,0.17
56,0.0889142929725953,0.19
57,0.0905020482042489,0.21
85,0.134959194690547,0.23
92,0.146073481312121,0.25
101,0.160363278397002,0.27
143,0.227048998126449,0.29
168,0.266742878917786,0.31
237,0.376297989901876,0.33
276,0.438220443936364,0.35
330,0.523959226445651,0.37
323,0.512844939824076,0.39
352,0.558889841542029,0.41
316,0.501730653202502,0.43
305,0.484265345654314,0.45
274,0.435044933473057,0.47
265,0.420755136388174,0.49
239,0.379473500365183,0.51
200,0.317551046330697,0.53
204,0.323902067257311,0.55
226,0.35883268235369,0.57
230,0.365183703280302,0.59
202,0.320726556794004,0.61
222,0.352481661427074,0.63
206,0.327077577720618,0.65
233,0.369946968975262,0.67
216,0.342955130037153,0.69
234,0.371534724206918,0.71
248,0.393763297450065,0.73
244,0.387412276523451,0.75
327,0.51919596075069,0.77
285,0.452510241021244,0.79
323,0.512844939824076,0.81
370,0.587469435711793,0.83
442,0.701787812390841,0.85
509,0.808167412911625,0.87
618,0.981232733161855,0.89
763,1.21145724175161,0.91
991,1.57346543456861,0.93
1322,2.09901241624592,0.95
2060,3.27077577720618,0.97
3673,5.83182496586326,0.99
4385,6.96230669080054,1.01
5389,8.55641294338064,1.03
2601,4.12975135753072,1.05
668,1.06062049474453,1.07
137,0.217522466736528,1.09
38,0.0603346988028325,1.11
18,0.0285795941697628,1.13
11,0.0174653075481885,1.15
4,0.00635102092661395,1.17
3,0.00476326569496046,1.19
1,0.00158775523165349,1.21
1,0.00158775523165349,1.23
0,0,1.25
1,0.00158775523165349,1.27
0,0,1.29
0,0,1.31
0,0,1.33
0,0,1.35
0,0,1.37
0,0,1.39
0,0,1.41
0,0,1.43
0,0,1.45
0,0,1.47
0,0,1.49
0,0,1.51
0,0,1.53
0,0,1.55
0,0,1.57
0,0,1.59
0,0,1.61
0,0,1.63
0,0,1.65
0,0,1.67
0,0,1.69
0,0,1.71
0,0,1.73
0,0,1.75
0,0,1.77
0,0,1.79
0,0,1.81
0,0,1.83
0,0,1.85
0,0,1.87
0,0,1.89
0,0,1.91
0,0,1.93
0,0,1.95
0,0,1.97
0,0,1.99
0,0,2.01
0,0,2.03
0,0,2.05
0,0,2.07
0,0,2.09
0,0,2.11
0,0,2.13
0,0,2.15
0,0,2.17
0,0,2.19
0,0,2.21
0,0,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
0,0,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
