"counts","density","mids"
46,0.046,0.01
29,0.029,0.03
31,0.031,0.05
33,0.033,0.07
38,0.038,0.09
52,0.052,0.11
46,0.046,0.13
64,0.064,0.15
66,0.066,0.17
80,0.0799999999999999,0.19
84,0.084,0.21
125,0.125,0.23
140,0.14,0.25
183,0.183,0.27
275,0.275000000000001,0.29
366,0.366,0.31
501,0.501,0.33
599,0.599000000000001,0.35
689,0.688999999999999,0.37
687,0.686999999999999,0.39
740,0.740000000000001,0.41
701,0.700999999999999,0.43
686,0.685999999999999,0.45
600,0.600000000000001,0.47
583,0.583,0.49
513,0.513,0.51
443,0.443,0.53
479,0.479,0.55
486,0.486000000000002,0.57
474,0.474,0.59
441,0.441,0.61
439,0.439,0.63
417,0.417,0.65
415,0.415,0.67
439,0.439,0.69
449,0.449000000000002,0.71
467,0.467,0.73
449,0.449,0.75
529,0.529,0.77
517,0.517,0.79
564,0.564,0.81
617,0.617000000000003,0.83
717,0.716999999999999,0.85
782,0.781999999999999,0.87
903,0.902999999999999,0.89
1116,1.116,0.91
1394,1.394,0.93
1840,1.84000000000001,0.95
2737,2.737,0.97
5059,5.059,0.99
6248,6.24799999999999,1.01
6917,6.91699999999999,1.03
3799,3.799,1.05
1527,1.527,1.07
622,0.622,1.09
327,0.327,1.11
178,0.178,1.13
95,0.095000000000001,1.15
59,0.059,1.17
33,0.033,1.19
27,0.027,1.21
13,0.013,1.23
15,0.015,1.25
4,0.004,1.27
2,0.002,1.29
2,0.002,1.31
2,0.002,1.33
0,0,1.35
0,0,1.37
0,0,1.39
0,0,1.41
0,0,1.43
0,0,1.45
0,0,1.47
0,0,1.49
0,0,1.51
0,0,1.53
0,0,1.55
0,0,1.57
0,0,1.59
0,0,1.61
0,0,1.63
0,0,1.65
0,0,1.67
0,0,1.69
0,0,1.71
0,0,1.73
0,0,1.75
0,0,1.77
0,0,1.79
0,0,1.81
0,0,1.83
0,0,1.85
0,0,1.87
0,0,1.89
0,0,1.91
0,0,1.93
0,0,1.95
0,0,1.97
0,0,1.99
0,0,2.01
0,0,2.03
0,0,2.05
0,0,2.07
0,0,2.09
0,0,2.11
0,0,2.13
0,0,2.15
0,0,2.17
0,0,2.19
0,0,2.21
0,0,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
0,0,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
