"Comp-FITC-A","Comp-Texas Red-A"
245,240
264,248
280,256
258,250
253,238
245,237
247,236
266,240
252,242
262,240
250,240
249,238
272,242
389,253
366,253
237,233
254,239
249,240
263,245
247,238
240,236
277,246
245,230
324,265
531,320
245,240
254,242
235,236
267,246
253,241
249,239
249,240
264,240
257,240
268,249
248,238
258,247
253,241
256,239
250,238
258,241
241,236
275,249
589,305
247,239
402,249
243,237
271,253
397,253
252,237
249,239
389,267
254,244
259,244
254,246
277,251
262,238
252,240
386,274
312,245
257,237
252,237
304,255
296,258
303,249
241,234
270,246
251,238
251,237
274,243
527,307
242,236
239,231
259,251
652,390
261,238
251,238
250,242
248,238
241,235
244,238
274,243
256,246
251,242
253,241
261,243
252,239
259,240
366,250
1022,1013
257,242
366,255
251,239
257,240
238,234
248,236
466,280
268,250
308,255
242,235
247,241
244,238
248,239
253,240
245,233
242,236
279,242
245,238
275,250
245,241
255,241
245,246
252,236
251,237
282,239
245,237
248,240
258,240
513,297
246,236
245,241
257,242
286,259
255,246
250,239
268,245
276,250
306,256
248,241
284,248
259,247
697,400
396,269
247,238
245,236
267,250
246,233
260,247
246,241
260,247
302,242
249,239
256,238
258,247
257,244
245,242
241,234
541,294
781,505
245,236
238,238
254,244
659,404
361,260
242,242
342,246
319,252
271,246
378,253
253,242
253,242
299,244
248,243
252,238
263,238
256,237
244,237
244,234
643,366
532,275
263,240
256,244
250,240
289,241
238,235
724,602
249,235
237,235
241,243
382,259
251,238
263,244
276,254
434,283
541,288
288,253
345,253
264,248
248,237
322,254
348,250
243,241
513,310
374,285
252,234
254,238
623,411
252,244
248,239
240,234
242,240
237,236
257,243
282,252
247,236
285,244
749,460
257,243
244,235
245,239
273,256
648,355
262,247
253,239
254,242
249,234
502,317
249,236
248,236
261,247
262,252
249,242
255,240
244,235
249,237
302,256
249,241
268,246
301,246
245,235
247,234
249,243
263,244
260,242
251,240
263,242
252,243
251,241
265,239
481,277
245,233
257,244
262,248
302,250
667,362
248,243
317,248
245,238
260,241
246,236
247,239
275,253
872,639
249,241
250,240
250,240
245,237
268,240
261,241
253,236
242,236
272,244
313,282
251,240
255,244
263,240
336,268
258,243
264,248
243,241
244,240
246,239
268,249
250,240
247,238
254,246
257,245
466,275
245,242
254,242
252,241
254,255
411,269
253,243
248,237
247,237
241,243
282,242
268,246
243,239
243,235
337,248
258,242
287,246
286,264
340,255
245,241
255,251
547,300
269,245
298,266
243,238
239,235
246,234
270,248
239,235
255,240
249,238
273,245
252,242
251,239
238,231
248,239
270,243
251,236
436,266
251,237
243,237
256,241
257,242
240,234
243,236
279,252
257,241
252,238
244,234
249,240
251,242
261,247
248,238
263,244
408,266
252,242
834,568
249,237
292,243
247,235
509,276
384,277
266,236
245,233
252,237
265,242
252,239
305,255
266,243
247,236
256,243
250,240
244,238
241,235
301,247
261,247
248,235
244,236
252,241
248,240
261,241
446,256
267,255
282,238
382,252
357,273
238,237
258,244
527,293
470,277
246,234
246,239
674,373
258,249
247,237
250,241
249,241
242,236
277,249
245,237
244,240
265,244
259,245
250,239
242,234
285,256
247,240
248,239
318,252
1023,695
257,240
249,237
251,236
253,242
258,244
263,244
258,239
274,238
259,239
267,246
275,239
256,246
258,244
250,243
256,244
344,244
251,239
462,267
244,238
264,244
298,264
262,248
274,253
245,240
290,251
252,239
245,234
269,248
248,236
705,516
283,249
242,239
267,249
253,239
270,254
355,247
273,251
242,238
247,237
252,239
329,252
250,239
255,233
424,348
248,235
247,238
253,240
245,237
264,242
297,256
1022,960
243,235
328,250
251,235
255,242
253,236
254,239
466,266
256,245
264,251
251,239
528,279
262,242
251,239
263,241
242,239
345,258
250,240
