"Comp-FITC-A","Comp-Texas Red-A"
662,415
295,264
627,384
245,240
857,604
264,248
253,241
255,248
280,256
545,318
259,246
258,250
334,281
253,238
245,237
295,265
327,259
827,623
852,649
262,239
275,258
247,236
266,240
544,363
252,242
262,240
250,240
249,238
256,236
272,242
389,253
366,253
237,233
254,239
249,240
263,245
247,238
240,236
277,246
245,230
324,265
270,248
531,320
255,243
245,240
281,249
254,242
362,279
284,257
235,236
267,246
283,248
253,241
326,254
249,239
249,240
475,344
305,273
264,240
263,245
355,292
258,242
257,240
268,249
248,238
258,247
264,246
254,243
414,309
253,241
256,239
250,238
258,241
241,236
327,261
275,249
250,245
589,305
247,239
402,249
390,285
1000,754
243,237
421,290
383,272
277,251
280,242
271,253
289,261
862,642
233,236
322,274
356,283
397,253
258,246
232,234
260,248
252,237
249,239
389,267
254,244
259,244
249,241
240,234
254,246
641,374
965,724
264,254
408,316
478,344
321,284
577,341
277,251
262,238
252,240
386,274
765,502
662,472
243,239
312,245
257,237
252,237
361,271
304,255
529,382
296,258
303,249
241,234
270,246
251,238
300,268
357,284
251,237
274,243
527,307
242,236
239,231
377,248
603,349
259,251
416,329
652,390
228,232
255,244
261,238
251,238
493,261
309,268
250,242
248,238
429,313
267,248
241,235
383,304
584,354
244,238
274,243
302,269
256,246
317,255
251,242
271,249
305,254
367,302
303,272
253,241
442,299
261,243
252,239
259,240
366,250
1022,1013
274,252
257,242
691,427
366,255
251,239
257,240
320,261
238,234
248,236
466,280
543,335
269,258
307,262
268,250
308,255
393,296
285,253
242,235
247,241
374,288
471,287
244,238
248,239
281,258
255,244
417,318
253,240
245,233
242,236
279,242
245,238
371,281
447,382
269,245
275,250
245,241
252,239
255,241
245,246
694,411
252,236
251,237
282,239
245,237
248,240
258,240
513,297
246,236
245,241
508,323
244,240
275,250
257,242
301,240
282,258
356,267
286,259
255,246
250,239
268,245
276,250
420,336
306,256
248,241
284,248
396,303
347,294
259,247
697,400
305,279
396,269
247,238
245,236
267,250
268,249
246,233
410,307
238,233
260,247
246,241
282,246
260,247
262,247
302,242
286,262
592,441
268,249
249,239
256,238
294,268
308,263
258,247
719,518
371,306
257,244
245,242
233,233
285,258
272,244
284,260
266,250
241,234
541,294
781,505
243,236
284,254
292,258
281,259
245,236
486,381
231,237
238,238
480,321
254,244
659,404
361,260
242,242
342,246
319,252
271,246
504,318
378,253
253,242
596,326
432,267
253,242
299,244
309,262
248,243
243,238
252,238
263,238
322,264
256,237
262,242
244,237
455,301
244,234
643,366
532,275
272,254
281,250
523,428
341,274
637,379
276,252
257,241
263,240
256,244
250,240
289,241
446,318
238,235
724,602
249,235
389,310
238,230
230,230
312,257
237,235
241,243
432,296
235,234
382,259
251,238
252,242
263,244
276,254
254,237
284,249
434,283
302,259
512,313
323,274
541,288
288,253
284,243
345,253
306,245
264,248
248,237
260,244
322,254
348,250
243,241
230,228
513,310
374,285
673,428
277,253
252,234
269,246
634,400
254,238
623,411
252,244
248,239
354,254
240,234
242,240
237,236
398,300
270,246
257,243
234,235
282,252
247,236
368,290
285,244
749,460
257,243
336,267
244,235
239,233
245,239
273,256
648,355
271,254
262,247
253,239
254,242
249,234
