"Comp-FITC-A","Comp-Texas Red-A"
252,240
258,242
279,256
256,241
248,240
252,239
259,242
263,248
423,280
251,242
244,237
321,255
250,239
245,236
248,235
252,242
266,242
247,233
247,240
242,234
331,251
251,243
254,243
243,236
246,237
242,234
245,236
255,241
248,243
246,237
249,236
246,232
566,302
264,243
250,244
248,239
249,243
247,241
250,242
394,262
243,238
252,241
248,239
474,301
252,241
244,236
246,240
243,239
251,235
247,238
268,246
248,237
242,235
299,252
267,243
246,236
242,241
322,249
259,237
254,244
247,241
248,242
249,238
249,235
256,240
247,241
263,239
344,253
243,238
241,238
339,258
313,258
320,253
254,246
275,244
254,243
248,239
250,240
254,236
249,240
272,252
249,236
255,240
260,253
246,240
248,237
501,279
243,238
245,238
254,244
265,245
246,240
261,248
245,237
243,235
253,240
256,243
244,236
243,236
252,240
251,238
447,283
240,241
247,241
365,256
342,252
253,238
250,241
254,244
256,239
246,236
241,232
245,233
242,235
261,239
244,238
258,243
257,241
254,240
251,237
265,248
247,242
238,234
248,239
243,237
248,237
243,240
329,253
454,279
251,244
332,261
236,238
257,243
282,247
241,237
239,230
242,237
249,241
242,238
245,239
253,238
247,235
784,518
248,240
339,250
469,273
258,247
251,238
512,286
245,241
246,237
248,240
264,246
260,247
241,236
242,240
242,236
257,244
243,235
291,263
253,242
245,237
239,237
242,239
249,238
237,233
245,239
248,237
242,234
243,239
250,240
264,248
256,249
248,235
240,236
246,235
285,246
261,244
243,234
251,234
267,248
255,238
268,245
248,238
266,247
247,240
253,240
363,257
263,246
252,242
333,254
248,244
407,277
247,239
326,262
248,238
251,237
256,242
250,242
238,233
254,245
248,238
243,236
356,261
256,244
339,254
246,233
243,235
247,234
242,236
245,238
261,240
247,239
246,232
485,324
243,239
245,238
248,240
477,352
245,240
250,239
243,239
269,236
299,243
241,236
377,264
246,236
259,243
250,235
269,244
247,238
256,239
249,238
257,233
251,240
251,240
252,239
244,236
252,238
255,240
257,239
251,247
248,239
246,234
248,241
243,233
267,245
246,237
304,250
250,236
243,237
311,245
247,237
257,240
254,239
246,240
245,236
245,237
247,242
249,241
250,240
248,240
244,237
251,240
268,244
254,244
262,243
387,265
245,234
254,238
251,241
395,270
263,244
253,245
252,241
245,244
247,240
241,238
251,241
264,243
249,233
250,241
411,281
256,241
249,238
245,237
279,242
521,302
263,247
250,241
283,246
243,235
390,269
264,250
278,239
241,232
266,245
267,248
259,238
253,242
242,235
326,246
250,239
295,254
254,245
252,242
252,240
250,244
243,241
245,239
262,247
256,237
245,239
245,235
245,235
240,236
394,275
248,243
245,237
242,237
258,239
245,240
276,250
401,260
241,232
237,235
513,294
240,234
257,245
254,234
367,269
242,234
252,238
256,245
251,238
243,235
245,242
254,245
250,239
243,237
241,240
247,237
242,239
261,242
248,236
239,235
262,241
247,238
248,233
248,235
256,239
260,237
279,243
294,248
255,239
287,246
248,237
246,242
239,237
237,238
244,235
245,239
256,239
321,247
245,237
259,244
429,270
256,242
242,238
243,237
243,237
260,248
253,241
246,234
253,245
263,247
261,245
242,238
255,245
246,232
253,243
253,247
254,240
247,233
255,244
255,244
250,241
254,246
253,239
259,244
260,244
242,240
238,232
265,239
258,241
252,235
251,237
246,236
269,254
248,237
243,237
248,230
243,234
340,255
267,246
251,239
247,238
259,245
243,235
248,233
252,238
246,235
247,239
248,240
241,237
253,238
248,240
253,243
242,238
258,239
246,239
249,242
252,236
250,238
245,235
243,234
240,233
245,234
317,248
250,239
237,236
244,239
245,236
247,238
247,239
256,243
252,241
319,260
241,236
239,236
254,244
245,242
249,237
251,242
250,238
246,245
246,236
251,236
261,247
254,237
262,242
246,238
245,232
272,244
445,303
253,244
407,266
246,239
292,251
248,239
264,247
237,237
248,241
253,240
247,237
246,239
246,241
284,241
248,238
255,243
266,237
251,242
267,247
241,238
265,245
249,242
258,243
255,242
243,238
240,240
251,240
244,241
274,246
256,240
250,242
241,238
263,244
250,242
251,239
240,239
255,241
251,234
247,232
248,239
255,241
258,243
290,242
243,238
249,237
315,244
258,242
298,245
257,245
248,238
264,242
259,245
278,238
258,243
246,238
271,244
265,242
297,259
248,235
244,236
243,239
242,239
259,244
250,234
282,247
249,238
301,247
248,237
243,234
255,240
249,236
247,241
240,236
244,236
246,240
242,237
239,237
305,258
247,235
243,237
256,241
262,242
246,237
259,243
467,296
244,240
328,254
245,239
249,239
250,238
248,237
240,235
258,245
531,348
253,241
248,238
246,239
256,247
247,242
458,284
241,236
386,277
243,238
248,235
246,238
244,240
252,242
255,236
244,236
251,240
247,235
403,271
247,237
249,239
253,240
247,235
260,247
242,233
251,240
245,241
251,237
251,240
547,306
245,238
261,243
242,237
249,235
252,238
541,288
252,239
263,242
245,240
240,235
263,245
242,238
246,240
565,328
359,278
242,235
247,238
252,236
244,236
252,238
246,233
238,235
241,233
246,244
241,241
267,246
564,322
259,238
291,246
236,238
494,281
238,238
247,241
246,240
248,237
243,234
279,245
339,257
250,246
327,254
250,243
244,237
247,237
253,236
255,243
244,241
254,235
252,239
241,235
240,234
270,245
246,242
303,250
251,238
286,246
260,241
246,237
243,233
249,237
310,249
245,238
245,239
257,245
246,237
249,242
245,239
253,244
245,242
307,242
285,239
330,253
245,239
249,239
243,241
254,242
253,241
251,236
259,245
260,246
249,243
254,236
252,240
257,244
245,236
240,233
276,237
246,236
255,233
244,238
245,234
242,234
250,238
244,237
243,233
253,242
261,246
247,238
247,238
259,251
242,240
250,235
256,244
253,243
245,232
244,235
248,245
247,233
245,240
272,249
249,237
245,233
246,239
246,239
254,238
320,245
256,239
247,237
248,235
248,239
244,235
241,232
243,237
249,237
247,236
246,232
260,241
269,236
260,238
257,243
251,242
252,240
261,244
255,241
247,235
248,237
253,239
264,243
250,238
245,232
253,235
245,235
253,239
252,237
247,238
248,236
377,275
249,239
243,233
245,236
245,236
295,241
250,239
252,239
252,240
248,238
246,238
245,237
250,237
252,241
242,234
262,242
405,265
249,238
259,242
248,240
242,236
242,240
248,236
255,240
247,241
252,239
248,241
248,241
258,243
255,242
250,241
316,249
394,271
251,244
244,234
266,240
252,239
274,252
245,232
248,244
250,241
239,236
244,233
247,235
270,239
266,241
258,247
481,288
253,246
262,244
240,239
247,240
332,258
254,243
258,242
245,236
252,240
339,245
302,236
285,240
520,294
261,238
253,239
251,237
254,241
308,243
252,243
252,242
248,237
250,237
254,243
239,238
248,240
243,237
244,233
252,245
256,244
258,245
263,248
242,240
244,241
249,238
249,237
255,239
248,239
316,260
382,271
254,239
246,243
256,242
