"Comp-FITC-A","Comp-Texas Red-A"
252,240
258,242
279,256
256,241
248,240
252,239
259,242
263,248
423,280
251,242
287,256
474,288
261,242
334,253
317,263
276,251
244,237
321,255
250,239
266,248
245,236
248,235
263,246
252,242
266,242
247,233
296,253
539,395
247,240
242,234
233,231
331,251
251,243
254,243
243,236
283,245
246,237
242,234
505,290
245,236
255,241
261,244
248,243
246,237
675,470
315,252
270,248
247,236
249,236
268,252
246,232
566,302
286,258
486,329
265,247
264,243
250,244
263,245
249,238
248,239
249,243
247,241
250,242
394,262
243,238
252,241
304,264
248,239
474,301
403,274
294,257
252,241
244,236
246,240
243,239
251,235
247,238
512,312
268,246
287,254
248,237
370,280
242,235
299,252
702,406
267,243
246,236
242,241
322,249
267,250
267,246
259,237
254,244
400,315
270,248
247,241
628,405
248,242
249,238
261,246
299,273
233,230
246,241
249,235
256,240
247,241
256,248
267,246
263,239
344,253
243,238
241,238
339,258
313,258
320,253
254,246
473,314
263,250
275,244
254,243
248,239
250,240
254,236
249,240
272,252
237,236
249,236
238,236
237,235
255,240
260,253
429,292
246,240
248,237
501,279
231,233
243,238
245,238
254,244
254,238
429,285
579,311
265,245
246,240
261,248
307,265
244,238
261,245
276,254
245,237
258,237
243,235
551,370
253,240
256,243
244,236
243,236
252,240
320,256
251,238
447,283
240,241
451,279
247,241
365,256
261,244
299,262
342,252
253,238
250,241
254,244
547,358
244,238
256,239
274,247
311,266
264,243
261,243
246,236
241,232
245,233
634,420
242,235
261,239
297,264
244,238
258,243
257,241
328,272
254,240
266,246
251,237
265,248
247,242
656,444
238,234
248,239
243,237
248,237
243,240
279,244
329,253
454,279
553,333
251,244
332,261
271,249
267,245
236,238
275,248
252,240
509,293
288,261
293,262
257,243
298,257
282,247
273,251
256,252
241,237
287,254
239,230
242,237
278,254
249,241
242,238
245,239
253,238
262,241
247,235
784,518
350,270
271,252
248,240
339,250
469,273
358,266
664,651
258,247
251,238
233,233
512,286
245,241
246,237
650,401
330,265
248,240
270,246
264,246
476,309
260,247
414,281
241,236
242,240
242,236
257,244
243,235
285,248
259,247
291,263
253,242
433,299
245,237
239,237
242,239
346,281
249,238
231,233
237,233
245,239
267,248
248,237
236,232
233,231
242,234
235,234
243,239
276,252
272,248
250,240
321,269
250,241
264,248
242,237
256,249
250,246
272,249
267,246
248,235
266,246
351,282
261,247
240,236
246,235
285,246
261,244
243,234
268,247
347,289
235,234
365,265
251,234
250,233
267,248
255,238
287,258
298,263
268,245
271,244
248,238
266,247
247,240
253,240
363,257
263,246
252,242
333,254
248,244
292,261
609,432
240,233
407,277
594,324
247,239
326,262
763,521
248,238
251,237
256,242
250,242
238,233
254,245
248,238
243,236
351,274
299,252
279,247
282,250
330,272
356,261
280,251
326,256
256,244
263,246
339,254
246,233
243,235
247,234
242,236
245,238
249,240
345,284
419,284
405,318
261,240
247,239
246,232
270,244
500,262
235,233
485,324
243,239
245,238
248,240
477,352
245,240
250,239
243,239
269,236
299,243
276,249
245,236
241,236
377,264
310,264
246,236
404,305
259,243
262,245
250,235
269,244
283,260
247,238
560,326
256,239
249,238
257,233
528,290
251,240
251,240
252,239
315,266
267,249
244,236
521,305
252,238
346,280
255,240
257,239
251,247
289,260
279,257
248,239
234,232
246,234
248,241
243,233
267,245
301,261
246,237
519,302
304,250
250,236
243,237
311,245
247,237
257,240
288,243
371,267
254,239
246,240
245,236
314,256
259,245
238,236
245,237
247,242
249,241
250,240
248,240
271,259
244,237
251,240
268,244
254,244
262,243
387,265
245,234
254,238
274,250
284,251
251,241
611,377
303,265
395,270
349,255
263,244
253,245
585,382
232,233
251,240
252,241
237,234
245,244
267,252
247,240
241,238
251,241
264,243
301,264
249,233
250,241
411,281
256,241
249,238
273,249
240,237
326,278
245,237
252,238
266,240
265,253
279,242
250,241
521,302
237,237
263,247
250,241
507,364
283,246
260,243
243,235
254,245
390,269
321,274
264,250
278,239
376,304
578,401
241,232
262,247
259,237
305,254
266,245
267,248
259,238
253,242
236,235
383,278
242,235
297,263
326,246
345,279
250,239
295,254
254,245
252,242
252,240
649,457
250,244
243,241
564,345
245,239
262,247
256,237
337,282
245,239
245,235
245,235
249,238
240,236
394,275
518,322
421,317
302,261
266,249
248,243
245,237
255,239
242,237
258,239
245,240
276,250
401,260
457,291
241,232
237,235
513,294
240,234
257,245
254,234
352,257
367,269
510,314
242,234
686,497
302,254
418,316
252,238
560,335
256,245
251,238
243,235
245,242
254,245
250,239
302,260
243,237
241,240
289,254
384,277
462,362
280,253
262,242
247,237
258,237
242,239
261,242
248,236
235,234
852,604
333,288
268,246
239,235
262,241
487,300
349,289
247,238
248,233
264,249
248,235
256,239
260,237
279,243
294,248
255,239
262,259
287,246
264,243
261,240
775,469
405,279
248,237
246,242
239,237
284,255
237,238
244,235
255,240
245,239
256,239
263,251
321,247
248,239
358,286
245,237
259,244
273,254
429,270
256,242
242,238
243,237
243,237
260,248
253,241
249,235
246,234
292,261
275,253
253,245
263,247
274,255
527,363
270,250
261,245
427,298
242,238
255,245
246,232
253,243
253,247
554,390
254,240
274,252
316,268
247,233
255,244
255,244
294,260
250,241
254,246
253,239
269,245
259,244
317,271
264,249
260,244
242,240
238,232
265,239
258,241
252,235
251,237
246,236
269,254
248,237
443,283
260,242
243,237
248,230
243,234
340,255
267,246
251,239
247,238
263,246
272,252
258,240
259,245
243,235
248,233
306,268
252,238
246,235
276,252
619,380
247,239
248,240
241,237
253,238
381,302
281,245
295,259
248,240
305,271
328,272
292,256
270,263
277,253
253,243
264,249
242,238
258,239
246,239
249,234
249,242
252,236
250,238
421,309
269,245
245,235
243,234
301,261
330,260
279,255
240,233
245,234
317,248
250,239
237,236
244,239
245,236
247,238
274,246
247,239
256,243
234,233
252,241
250,240
319,260
281,251
241,236
260,251
239,236
254,244
245,242
299,254
249,237
303,263
312,257
251,242
250,238
263,245
246,245
276,252
246,236
251,236
261,247
254,237
262,242
235,234
264,254
319,264
420,259
246,238
405,271
245,232
272,244
262,247
445,303
407,282
253,244
264,240
407,266
246,239
306,259
280,265
569,353
292,251
248,239
264,247
365,293
237,237
320,267
248,241
261,246
253,240
247,237
254,244
246,239
246,241
284,241
270,258
248,238
255,243
266,237
275,256
251,242
279,267
323,272
267,247
241,238
265,245
249,242
322,277
258,243
255,242
243,238
240,240
273,248
251,240
244,241
307,262
281,244
286,256
323,274
256,243
274,246
341,292
288,250
237,235
256,240
271,248
250,242
262,243
241,238
232,233
263,244
284,254
250,242
251,239
240,239
