"counts","density","mids"
2,0.002,0.29
1,0.001,0.31
5,0.005,0.33
2,0.002,0.35
10,0.01,0.37
20,0.02,0.39
21,0.021,0.41
44,0.044,0.43
66,0.0660000000000001,0.45
118,0.118,0.47
194,0.194,0.49
327,0.327,0.51
463,0.463,0.53
624,0.624,0.55
632,0.632,0.57
751,0.750999999999999,0.59
732,0.731999999999999,0.61
848,0.848000000000004,0.63
732,0.731999999999999,0.65
711,0.710999999999999,0.67
737,0.737000000000003,0.69
663,0.662999999999999,0.71
733,0.732999999999999,0.73
664,0.663999999999999,0.75
653,0.652999999999999,0.77
678,0.677999999999999,0.79
614,0.613999999999999,0.81
622,0.622,0.83
581,0.581000000000003,0.85
625,0.625,0.87
636,0.636,0.89
654,0.653999999999999,0.91
637,0.637,0.93
753,0.752999999999999,0.95
927,0.926999999999999,0.97
1797,1.79700000000001,0.99
2662,2.662,1.01
3997,3.997,1.03
3801,3.801,1.05
3098,3.098,1.07
2375,2.375,1.09
1995,1.995,1.11
1710,1.71,1.13
1668,1.668,1.15
1571,1.571,1.17
1505,1.505,1.19
1110,1.11,1.21
813,0.813000000000008,1.23
639,0.639,1.25
459,0.459,1.27
465,0.465,1.29
375,0.375,1.31
325,0.325,1.33
268,0.268,1.35
230,0.23,1.37
205,0.205,1.39
149,0.149,1.41
168,0.168000000000002,1.43
138,0.138,1.45
141,0.141,1.47
115,0.115,1.49
93,0.0929999999999999,1.51
108,0.108,1.53
98,0.0979999999999999,1.55
76,0.0759999999999999,1.57
87,0.0869999999999999,1.59
80,0.0799999999999999,1.61
67,0.0669999999999999,1.63
59,0.059,1.65
80,0.0799999999999999,1.67
53,0.0530000000000005,1.69
69,0.0689999999999999,1.71
47,0.047,1.73
49,0.049,1.75
41,0.041,1.77
42,0.042,1.79
53,0.053,1.81
42,0.042,1.83
30,0.03,1.85
32,0.032,1.87
30,0.03,1.89
27,0.027,1.91
25,0.025,1.93
25,0.0250000000000003,1.95
25,0.025,1.97
25,0.025,1.99
26,0.026,2.01
22,0.022,2.03
21,0.021,2.05
17,0.017,2.07
22,0.022,2.09
16,0.016,2.11
11,0.011,2.13
21,0.021,2.15
17,0.017,2.17
15,0.015,2.19
11,0.0110000000000002,2.21
9,0.00899999999999979,2.23
8,0.00800000000000017,2.25
2,0.00199999999999995,2.27
6,0.00600000000000013,2.29
3,0.00299999999999993,2.31
12,0.0120000000000003,2.33
8,0.00799999999999981,2.35
7,0.00700000000000015,2.37
9,0.00899999999999979,2.39
6,0.00600000000000013,2.41
6,0.00599999999999986,2.43
9,0.00900000000000019,2.45
5,0.00499999999999988,2.47
5,0.00500000000000011,2.49
8,0.00799999999999981,2.51
7,0.00700000000000015,2.53
4,0.00399999999999991,2.55
2,0.00200000000000004,2.57
8,0.00800000000000017,2.59
6,0.00599999999999986,2.61
5,0.00500000000000011,2.63
1,0.000999999999999977,2.65
3,0.00300000000000006,2.67
4,0.00399999999999991,2.69
1,0.00100000000000002,2.71
6,0.00599999999999986,2.73
4,0.00400000000000009,2.75
2,0.00199999999999995,2.77
0,0,2.79
0,0,2.81
5,0.00500000000000011,2.83
1,0.000999999999999977,2.85
2,0.00200000000000004,2.87
3,0.00299999999999993,2.89
0,0,2.91
4,0.00399999999999991,2.93
0,0,2.95
0,0,2.97
1,0.00100000000000002,2.99
2,0.00199999999999995,3.01
1,0.00100000000000002,3.03
1,0.000999999999999977,3.05
1,0.00100000000000002,3.07
0,0,3.09
0,0,3.11
0,0,3.13
1,0.000999999999999977,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
1,0.000999999999999999,3.39
