"counts","density","mids"
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
0,0,0.37
0,0,0.39
0,0,0.41
0,0,0.43
0,0,0.45
0,0,0.47
0,0,0.49
0,0,0.51
1,0.00171986791414419,0.53
0,0,0.55
0,0,0.57
0,0,0.59
1,0.00171986791414419,0.61
2,0.0034397358282884,0.63
0,0,0.65
0,0,0.67
1,0.0017198679141442,0.69
1,0.00171986791414419,0.71
0,0,0.73
2,0.00343973582828838,0.75
1,0.00171986791414419,0.77
1,0.00171986791414419,0.79
0,0,0.81
1,0.00171986791414419,0.83
0,0,0.85
1,0.00171986791414419,0.87
2,0.00343973582828838,0.89
3,0.00515960374243258,0.91
1,0.00171986791414419,0.93
4,0.00687947165657677,0.95
6,0.0103192074848652,0.97
226,0.38869014859659,0.99
1784,3.06824435883324,1.01
6563,11.2874931205283,1.03
7195,12.3744496422675,1.05
4282,7.36447440836543,1.07
2060,3.54292790313704,1.09
978,1.68203082003302,1.11
506,0.870253164556961,1.13
370,0.636351128233351,1.15
277,0.476403412217941,1.17
223,0.383530544854155,1.19
201,0.345693450742983,1.21
177,0.304416620803525,1.23
175,0.300976884975234,1.25
149,0.256260319207485,1.27
123,0.211543753439736,1.29
133,0.228742432581178,1.31
123,0.211543753439736,1.33
139,0.239061640066043,1.35
114,0.196064942212438,1.37
138,0.237341772151899,1.39
132,0.227022564667033,1.41
117,0.201224545954873,1.43
112,0.19262520638415,1.45
119,0.204664281783159,1.47
135,0.232182168409466,1.49
114,0.196064942212438,1.51
132,0.227022564667033,1.53
139,0.239061640066043,1.55
127,0.218423225096312,1.57
152,0.261419922949917,1.59
167,0.28721794166208,1.61
155,0.26657952669235,1.63
142,0.244221243808475,1.65
165,0.283778205833792,1.67
143,0.245941111722622,1.69
111,0.190905338470005,1.71
117,0.20122454595487,1.73
125,0.214983489268024,1.75
119,0.204664281783159,1.77
99,0.170266923500275,1.79
105,0.18058613098514,1.81
67,0.115231150247661,1.83
63,0.108351678591084,1.85
67,0.115231150247661,1.87
49,0.0842735277930654,1.89
34,0.0584755090809025,1.91
26,0.044716565767749,1.93
22,0.0378370941111726,1.95
15,0.0257980187121629,1.97
6,0.0103192074848652,1.99
6,0.0103192074848652,2.01
6,0.0103192074848652,2.03
1,0.00171986791414419,2.05
2,0.00343973582828838,2.07
1,0.00171986791414419,2.09
2,0.00343973582828838,2.11
1,0.00171986791414419,2.13
0,0,2.15
0,0,2.17
2,0.00343973582828838,2.19
2,0.00343973582828846,2.21
2,0.00343973582828831,2.23
1,0.00171986791414423,2.25
0,0,2.27
2,0.00343973582828846,2.29
0,0,2.31
1,0.00171986791414423,2.33
1,0.00171986791414415,2.35
1,0.00171986791414423,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
1,0.00171986791414423,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
0,0,3.39
