"counts","density","mids"
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
0,0,0.37
0,0,0.39
0,0,0.41
0,0,0.43
0,0,0.45
0,0,0.47
0,0,0.49
0,0,0.51
1,0.000999999999999999,0.53
0,0,0.55
1,0.000999999999999999,0.57
0,0,0.59
1,0.000999999999999999,0.61
2,0.00200000000000001,0.63
0,0,0.65
0,0,0.67
1,0.001,0.69
1,0.000999999999999999,0.71
0,0,0.73
2,0.002,0.75
2,0.002,0.77
1,0.000999999999999999,0.79
2,0.002,0.81
5,0.005,0.83
0,0,0.85
5,0.005,0.87
2,0.002,0.89
4,0.004,0.91
1,0.000999999999999999,0.93
6,0.006,0.95
17,0.017,0.97
723,0.723000000000003,0.99
2910,2.91,1.01
7715,7.71499999999999,1.03
8407,8.40699999999999,1.05
5734,5.734,1.07
3924,3.924,1.09
2735,2.735,1.11
2004,2.004,1.13
1471,1.471,1.15
1180,1.18,1.17
980,0.979999999999999,1.19
796,0.795999999999999,1.21
689,0.689000000000007,1.23
629,0.629,1.25
562,0.562,1.27
438,0.438,1.29
405,0.405,1.31
415,0.415,1.33
413,0.413,1.35
344,0.344,1.37
360,0.36,1.39
367,0.367,1.41
337,0.337000000000003,1.43
360,0.36,1.45
383,0.383,1.47
388,0.388,1.49
342,0.342,1.51
383,0.383,1.53
371,0.371,1.55
346,0.346,1.57
364,0.364,1.59
373,0.373,1.61
388,0.388,1.63
308,0.308,1.65
343,0.343,1.67
277,0.277000000000003,1.69
250,0.25,1.71
225,0.225,1.73
215,0.215,1.75
190,0.19,1.77
187,0.187,1.79
161,0.161,1.81
112,0.112,1.83
102,0.102,1.85
82,0.0819999999999999,1.87
70,0.0699999999999999,1.89
43,0.043,1.91
35,0.035,1.93
35,0.0350000000000004,1.95
16,0.016,1.97
11,0.011,1.99
10,0.00999999999999999,2.01
8,0.00799999999999999,2.03
4,0.004,2.05
5,0.005,2.07
1,0.000999999999999999,2.09
3,0.003,2.11
1,0.000999999999999999,2.13
1,0.000999999999999999,2.15
0,0,2.17
3,0.003,2.19
2,0.00200000000000004,2.21
2,0.00199999999999995,2.23
1,0.00100000000000002,2.25
0,0,2.27
2,0.00200000000000004,2.29
0,0,2.31
1,0.00100000000000002,2.33
1,0.000999999999999977,2.35
1,0.00100000000000002,2.37
1,0.000999999999999977,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
1,0.00100000000000002,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
0,0,3.39
