"counts","density","mids"
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
1,0.00169848495142333,0.37
2,0.00339696990284666,0.39
0,0,0.41
2,0.00339696990284666,0.43
5,0.00849242475711667,0.45
7,0.0118893946599633,0.47
38,0.0645424281540867,0.49
60,0.1019090970854,0.51
139,0.236089408247843,0.53
234,0.397445478633059,0.55
373,0.633534886880902,0.57
412,0.699775799986411,0.59
445,0.755825803383381,0.61
405,0.687886405326452,0.63
409,0.694680345132141,0.65
319,0.541816699504042,0.67
293,0.497656090767038,0.69
228,0.387254568924519,0.71
236,0.400842448535906,0.73
219,0.371968204361709,0.75
182,0.309124261159046,0.77
172,0.292139411644813,0.79
150,0.254772742713499,0.81
173,0.293837896596236,0.83
161,0.273456077179157,0.85
188,0.319315170867586,0.87
179,0.304028806304776,0.89
160,0.271757592227733,0.91
165,0.280250016984849,0.93
225,0.382159114070249,0.95
242,0.411033358244446,0.97
825,1.40125008492425,0.99
2773,4.70989877029689,1.01
7899,13.4163326312929,1.03
6706,11.3900400842448,1.05
2737,4.64875331204565,1.07
793,1.3468985664787,1.09
326,0.553706094164005,1.11
204,0.346490930090359,1.13
186,0.315918200964739,1.15
164,0.278551532033426,1.17
120,0.203818194170799,1.19
108,0.18343637475372,1.21
97,0.164753040288065,1.23
47,0.0798287927168965,1.25
49,0.0832257626197431,1.27
38,0.0645424281540865,1.29
36,0.0611454582512398,1.31
46,0.0781303077654731,1.33
34,0.0577484883483932,1.35
34,0.0577484883483932,1.37
21,0.0356681839798899,1.39
22,0.0373666689313132,1.41
30,0.0509545485427004,1.43
25,0.0424621237855832,1.45
11,0.0186833344656566,1.47
19,0.0322712140770432,1.49
19,0.0322712140770432,1.51
16,0.0271757592227733,1.53
8,0.0135878796113866,1.55
11,0.0186833344656566,1.57
12,0.0203818194170799,1.59
13,0.0220803043685033,1.61
9,0.01528636456281,1.63
8,0.0135878796113866,1.65
15,0.0254772742713499,1.67
17,0.0288742441741969,1.69
13,0.0220803043685033,1.71
12,0.0203818194170799,1.73
6,0.01019090970854,1.75
7,0.0118893946599633,1.77
4,0.00679393980569331,1.79
8,0.0135878796113866,1.81
1,0.00169848495142333,1.83
6,0.01019090970854,1.85
3,0.00509545485426999,1.87
7,0.0118893946599633,1.89
6,0.01019090970854,1.91
4,0.00679393980569331,1.93
2,0.0033969699028467,1.95
3,0.00509545485426999,1.97
4,0.00679393980569331,1.99
4,0.00679393980569331,2.01
6,0.01019090970854,2.03
4,0.00679393980569331,2.05
1,0.00169848495142333,2.07
4,0.00679393980569331,2.09
2,0.00339696990284666,2.11
3,0.00509545485426999,2.13
2,0.00339696990284666,2.15
2,0.00339696990284666,2.17
4,0.00679393980569331,2.19
0,0,2.21
3,0.00509545485426987,2.23
1,0.00169848495142337,2.25
0,0,2.27
1,0.00169848495142337,2.29
1,0.00169848495142329,2.31
0,0,2.33
1,0.00169848495142329,2.35
3,0.0050954548542701,2.37
2,0.00339696990284658,2.39
0,0,2.41
2,0.00339696990284658,2.43
1,0.00169848495142337,2.45
1,0.00169848495142329,2.47
0,0,2.49
1,0.00169848495142329,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
1,0.00169848495142337,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
0,0,3.39
