"counts","density","mids"
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
0,0,0.37
0,0,0.39
0,0,0.41
0,0,0.43
0,0,0.45
0,0,0.47
0,0,0.49
0,0,0.51
0,0,0.53
0,0,0.55
0,0,0.57
0,0,0.59
0,0,0.61
0,0,0.63
0,0,0.65
0,0,0.67
1,0.00166889185580775,0.69
0,0,0.71
0,0,0.73
0,0,0.75
0,0,0.77
0,0,0.79
0,0,0.81
0,0,0.83
1,0.00166889185580775,0.85
0,0,0.87
0,0,0.89
0,0,0.91
0,0,0.93
2,0.00333778371161548,0.95
6,0.0100133511348465,0.97
288,0.480640854472632,0.99
2595,4.33077436582109,1.01
9639,16.0864485981308,1.03
8676,14.479305740988,1.05
3471,5.79272363150867,1.07
1052,1.75567423230974,1.09
494,0.824432576769025,1.11
289,0.482309746328438,1.13
250,0.417222963951936,1.15
209,0.348798397863818,1.17
190,0.317089452603471,1.19
160,0.267022696929239,1.21
135,0.225300400534048,1.23
109,0.181909212283044,1.25
121,0.201935914552737,1.27
135,0.225300400534045,1.29
101,0.168558077436582,1.31
98,0.163551401869159,1.33
112,0.186915887850467,1.35
94,0.156875834445928,1.37
94,0.156875834445928,1.39
86,0.143524699599466,1.41
102,0.170226969292392,1.43
85,0.141855807743658,1.45
84,0.14018691588785,1.47
103,0.171895861148197,1.49
76,0.126835781041388,1.51
86,0.143524699599466,1.53
98,0.163551401869159,1.55
86,0.143524699599466,1.57
94,0.156875834445928,1.59
68,0.113484646194926,1.61
86,0.143524699599466,1.63
78,0.130173564753004,1.65
76,0.126835781041388,1.67
72,0.120160213618159,1.69
53,0.0884512683578103,1.71
55,0.0917890520694258,1.73
44,0.0734312416555407,1.75
35,0.058411214953271,1.77
28,0.0467289719626168,1.79
28,0.0467289719626168,1.81
23,0.0383845126835781,1.83
20,0.0333778371161548,1.85
22,0.0367156208277703,1.87
10,0.0166889185580774,1.89
7,0.0116822429906542,1.91
6,0.0100133511348465,1.93
5,0.0083444592790388,1.95
9,0.0150200267022697,1.97
1,0.00166889185580774,1.99
4,0.00667556742323097,2.01
1,0.00166889185580774,2.03
1,0.00166889185580774,2.05
3,0.00500667556742323,2.07
1,0.00166889185580774,2.09
0,0,2.11
0,0,2.13
1,0.00166889185580774,2.15
0,0,2.17
0,0,2.19
0,0,2.21
1,0.0016688918558077,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
0,0,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
0,0,3.39
