"counts","density","mids"
0,0,0.29
0,0,0.31
0,0,0.33
0,0,0.35
0,0,0.37
0,0,0.39
0,0,0.41
0,0,0.43
0,0,0.45
0,0,0.47
0,0,0.49
0,0,0.51
0,0,0.53
0,0,0.55
0,0,0.57
0,0,0.59
0,0,0.61
0,0,0.63
0,0,0.65
0,0,0.67
2,0.00200000000000001,0.69
0,0,0.71
0,0,0.73
0,0,0.75
0,0,0.77
1,0.000999999999999999,0.79
1,0.000999999999999999,0.81
1,0.000999999999999999,0.83
2,0.00200000000000001,0.85
0,0,0.87
0,0,0.89
0,0,0.91
1,0.000999999999999999,0.93
2,0.002,0.95
14,0.014,0.97
820,0.820000000000004,0.99
3668,3.668,1.01
10658,10.658,1.03
9999,9.99899999999999,1.05
5546,5.546,1.07
3418,3.418,1.09
2278,2.278,1.11
1589,1.589,1.13
1243,1.243,1.15
1021,1.021,1.17
833,0.832999999999999,1.19
690,0.689999999999999,1.21
607,0.607000000000006,1.23
474,0.474,1.25
423,0.423,1.27
415,0.415,1.29
348,0.348,1.31
324,0.324,1.33
318,0.318,1.35
317,0.317,1.37
330,0.33,1.39
293,0.293,1.41
298,0.298000000000003,1.43
278,0.278,1.45
318,0.318,1.47
314,0.314,1.49
289,0.289,1.51
297,0.297,1.53
319,0.319,1.55
263,0.263,1.57
261,0.261,1.59
214,0.214,1.61
236,0.236,1.63
210,0.21,1.65
201,0.201,1.67
167,0.167000000000002,1.69
117,0.117,1.71
99,0.0989999999999999,1.73
102,0.102,1.75
76,0.0759999999999999,1.77
54,0.054,1.79
52,0.052,1.81
46,0.046,1.83
32,0.032,1.85
41,0.041,1.87
19,0.019,1.89
11,0.011,1.91
12,0.012,1.93
8,0.00800000000000008,1.95
10,0.00999999999999999,1.97
2,0.002,1.99
5,0.005,2.01
3,0.003,2.03
1,0.000999999999999999,2.05
4,0.004,2.07
2,0.002,2.09
0,0,2.11
0,0,2.13
1,0.000999999999999999,2.15
0,0,2.17
0,0,2.19
1,0.00100000000000002,2.21
1,0.000999999999999977,2.23
0,0,2.25
0,0,2.27
0,0,2.29
0,0,2.31
0,0,2.33
0,0,2.35
0,0,2.37
0,0,2.39
0,0,2.41
0,0,2.43
0,0,2.45
0,0,2.47
0,0,2.49
0,0,2.51
0,0,2.53
0,0,2.55
0,0,2.57
0,0,2.59
0,0,2.61
0,0,2.63
0,0,2.65
0,0,2.67
0,0,2.69
0,0,2.71
0,0,2.73
0,0,2.75
0,0,2.77
0,0,2.79
0,0,2.81
0,0,2.83
0,0,2.85
0,0,2.87
0,0,2.89
0,0,2.91
0,0,2.93
0,0,2.95
0,0,2.97
0,0,2.99
0,0,3.01
0,0,3.03
0,0,3.05
0,0,3.07
0,0,3.09
0,0,3.11
0,0,3.13
0,0,3.15
0,0,3.17
0,0,3.19
0,0,3.21
0,0,3.23
0,0,3.25
0,0,3.27
0,0,3.29
0,0,3.31
0,0,3.33
0,0,3.35
0,0,3.37
0,0,3.39
