"Comp-FITC-A","Comp-Texas Red-A"
630,332
474,483
340,588
947,774
815,693
597,606
333,609
296,344
621,610
528,748
731,633
359,426
307,520
662,773
519,491
1002,854
399,325
632,786
914,746
793,559
574,642
305,539
786,723
470,657
875,694
265,462
301,576
513,684
816,729
485,707
588,403
802,643
337,384
563,347
284,340
719,500
305,504
473,679
398,501
348,595
479,303
987,825
745,408
440,725
816,769
831,758
557,410
628,757
358,652
343,422
265,392
754,827
574,466
273,406
332,594
805,661
757,631
555,492
788,749
612,691
815,678
270,310
407,628
331,582
446,367
354,659
313,416
619,736
559,308
391,658
827,791
436,584
292,343
359,516
331,473
962,805
446,621
794,652
744,687
460,347
870,681
781,726
534,340
547,632
281,311
324,449
313,559
775,463
263,322
260,311
807,717
342,412
650,743
948,825
861,711
721,601
838,711
472,420
397,573
961,797
453,668
502,322
935,690
773,529
729,721
258,318
558,546
833,746
433,612
339,566
481,663
837,837
807,719
939,775
746,689
298,318
266,325
896,808
881,825
367,607
871,692
643,530
339,711
925,798
927,794
368,410
272,462
504,382
367,536
480,643
625,679
441,461
323,576
383,301
299,393
736,657
472,521
508,633
968,799
420,601
608,399
822,705
917,784
928,610
694,741
590,490
940,811
652,494
258,323
582,512
581,736
794,589
438,520
825,719
909,419
243,317
292,470
909,751
604,712
861,866
306,406
503,551
261,303
733,746
244,415
873,748
689,521
347,303
283,324
507,601
437,660
943,788
251,363
276,438
885,703
788,805
614,627
364,634
974,819
483,359
425,357
928,817
288,468
478,603
259,482
520,715
663,665
305,312
462,395
261,364
245,337
684,911
314,462
789,645
409,368
277,500
933,757
319,548
964,805
936,763
274,615
814,631
599,767
291,591
469,666
969,775
698,691
261,489
740,737
591,470
1000,848
319,499
509,722
274,300
299,427
569,498
734,697
924,746
791,557
804,679
447,677
764,763
406,641
849,498
840,680
588,449
781,643
365,416
433,630
363,331
853,767
633,678
375,852
708,711
444,646
326,600
703,705
990,831
744,748
394,626
673,349
370,635
398,533
378,429
576,624
355,644
709,347
888,737
783,689
998,861
298,527
513,415
620,358
835,692
657,583
652,686
391,621
389,300
400,687
335,436
336,648
627,358
864,748
887,774
567,715
470,437
696,695
730,726
986,761
587,723
886,718
684,819
844,754
594,732
824,641
472,524
398,374
413,553
842,685
304,346
573,449
924,441
651,717
350,564
315,335
462,476
271,357
307,490
724,611
660,582
855,841
537,642
481,604
271,413
822,590
330,306
986,833
673,749
360,609
383,640
690,599
903,751
536,410
510,430
577,576
794,664
372,520
384,313
475,726
735,621
341,325
639,877
632,335
318,586
343,639
613,336
431,775
864,749
319,559
632,766
578,801
466,599
723,566
418,552
411,660
296,512
369,620
778,609
298,597
550,705
333,559
784,567
311,500
952,834
489,743
351,642
420,678
792,637
491,358
617,601
451,573
419,644
529,602
961,820
860,652
257,322
553,719
656,790
805,753
980,894
337,609
735,827
756,757
825,775
268,467
692,638
316,351
368,337
545,686
459,624
465,428
512,729
776,598
730,559
937,787
436,313
469,739
630,731
622,611
320,394
752,636
944,655
779,634
623,774
284,527
845,714
483,564
305,320
507,660
341,651
724,741
996,850
334,568
526,785
390,649
287,537
591,768
815,858
980,867
453,593
679,788
665,666
878,855
995,849
279,483
847,603
482,625
645,695
302,318
393,440
409,332
293,496
440,621
888,808
886,713
489,698
921,707
806,620
638,637
419,528
383,563
827,690
400,339
737,545
421,603
480,614
297,351
461,320
379,409
887,655
708,732
369,326
346,313
306,579
463,343
546,793
536,805
520,686
543,787
312,390
359,670
711,723
448,364
715,554
364,566
638,649
618,594
409,362
716,683
738,717
469,683
343,596
906,847
282,402
266,393
684,498
461,649
748,397
613,442
262,384
450,529
306,611
589,643
470,616
638,472
416,571
307,573
993,853
456,636
327,595
377,527
288,317
248,384
374,319
514,351
448,379
324,303
902,766
565,445
446,336
615,680
395,635
455,707
586,664
964,800
940,792
367,606
378,599
867,698
827,616
354,654
454,635
345,635
852,722
700,636
885,727
883,720
270,373
272,396
324,542
1000,879
878,650
1000,830
584,736
544,399
723,681
424,665
907,741
270,558
657,663
237,366
665,680
865,677
860,652
515,703
522,424
336,394
278,368
920,722
1004,858
520,678
552,401
345,625
381,350
947,854
716,692
950,804
657,637
859,734
388,433
710,585
282,596
663,754
773,628
391,509
975,844
561,431
328,458
257,344
444,341
323,361
368,624
349,509
335,356
329,310
606,681
431,708
265,312
398,566
964,806
412,644
859,781
350,558
969,856
840,772
433,336
941,690
259,301
817,721
712,589
591,553
287,310
753,747
283,475
922,766
605,549
340,608
479,565
397,446
318,418
308,563
487,746
358,479
761,716
829,677
419,698
870,700
778,774
414,541
653,689
615,571
275,499
745,746
347,313
342,323
781,649
421,323
500,717
303,435
718,720
318,503
267,338
828,726
580,633
508,733
359,470
799,547
403,536
862,641
331,538
449,466
548,504
275,557
746,714
818,325
528,432
611,686
356,542
300,506
363,350
295,560
545,472
473,465
462,659
784,752
368,346
600,587
351,433
375,587
985,819
741,671
552,419
336,344
314,643
957,739
916,751
708,698
384,337
377,552
441,506
373,385
780,799
562,729
808,613
279,453
924,747
934,809
842,667
874,727
308,504
825,663
274,523
602,352
761,456
354,646
391,643
883,751
339,566
635,623
714,355
501,673
691,699
689,420
772,776
419,476
297,576
332,617
373,379
650,356
316,365
274,414
907,754
281,308
333,311
323,303
444,698
903,752
876,676
264,324
262,340
726,698
840,684
502,518
319,342
434,572
399,681
583,705
806,720
258,411
555,521
327,425
298,593
605,592
582,663
321,590
453,711
490,421
994,851
836,302
334,645
246,385
1002,563
920,743
716,585
666,552
689,788
691,610
343,437
317,393
637,692
262,378
424,667
662,497
320,326
320,539
871,702
373,558
360,622
310,309
903,781
399,331
824,954
593,438
400,657
796,602
906,836
699,865
272,348
612,698
337,549
783,618
359,627
979,855
795,577
545,607
261,499
948,843
961,789
703,637
819,664
960,793
535,739
345,567
472,589
842,680
412,551
333,406
342,628
946,785
450,685
512,506
658,700
942,779
571,777
434,690
328,467
318,433
528,430
578,570
885,708
331,594
375,653
275,310
269,340
334,304
571,574
833,757
391,645
514,607
614,516
518,672
315,578
633,395
835,689
824,570
704,697
813,665
428,627
564,620
529,593
705,587
408,560
629,415
791,520
483,654
926,737
416,335
344,304
451,314
387,634
786,684
424,656
254,303
659,554
927,790
304,335
574,788
438,396
266,339
311,420
257,381
824,722
378,515
795,740
951,789
440,644
641,709
751,712
451,572
272,552
581,379
760,818
306,314
472,754
769,309
819,738
305,536
636,307
612,457
707,710
846,739
842,688
327,377
517,766
593,741
477,499
481,326
320,412
429,501
411,693
631,698
557,585
904,764
576,542
674,629
948,791
514,505
306,451
781,717
972,891
390,389
362,548
284,328
987,795
328,691
340,653
690,611
786,745
712,413
653,655
450,706
837,760
606,826
847,743
998,844
329,542
505,644
970,823
417,510
427,714
438,418
561,536
852,674
296,522
497,664
257,381
566,703
765,679
569,707
320,307
886,674
983,817
300,532
701,635
338,384
917,808
512,370
390,583
680,317
529,423
304,360
265,479
524,506
997,884
288,314
398,408
541,634
838,677
565,714
490,691
616,648
642,671
673,644
675,563
703,810
927,809
256,311
478,653
404,647
800,647
839,742
267,335
856,712
462,562
470,631
632,539
978,842
358,316
286,426
263,355
556,730
364,383
864,741
989,849
502,606
325,419
940,770
732,749
682,607
399,619
339,511
384,615
585,707
871,746
438,502
899,746
606,685
780,687
313,348
330,582
862,316
918,747
329,607
811,624
511,511
406,309
310,630
424,619
285,548
425,598
422,560
687,711
507,716
301,392
723,562
286,450
918,858
967,805
330,641
355,322
277,425
586,690
358,595
501,540
297,584
994,847
263,320
996,894
317,553
970,475
323,412
450,664
874,755
530,646
362,512
345,434
689,592
355,558
598,808
405,382
435,619
315,343
346,568
484,666
266,390
394,529
762,729
476,680
980,826
487,601
483,633
261,304
665,585
952,777
974,823
892,787
708,848
595,634
788,727
294,331
240,383
356,600
560,614
374,693
336,315
474,393
388,655
370,311
351,643
345,363
907,705
759,642
715,609
350,309
586,552
888,758
400,537
567,683
447,626
252,412
463,610
466,691
283,535
470,639
786,676
249,575
581,547
286,312
274,352
438,572
333,406
315,518
844,666
984,835
604,719
561,670
273,307
307,301
258,328
337,594
911,727
724,672
543,645
352,648
986,814
943,749
481,607
704,737
931,789
591,710
299,416
291,577
481,335
656,660
771,761
752,822
855,679
670,607
319,551
920,732
878,737
363,580
439,691
778,495
486,580
427,647
397,457
277,341
821,707
441,685
943,562
727,696
374,514
786,675
299,457
279,316
751,761
247,410
294,531
539,566
470,394
353,350
258,509
392,381
800,795
364,306
798,671
433,507
590,539
354,306
431,570
999,860
488,628
784,580
364,353
368,322
287,315
383,347
317,316
357,337
495,483
1007,861
359,338
630,746
640,466
606,669
292,644
960,884
588,766
752,702
698,496
640,483
791,764
833,668
432,494
244,340
594,680
449,418
365,684
549,674
997,861
403,595
368,363
463,684
328,411
262,413
385,667
296,503
929,767
611,552
987,856
242,353
507,317
541,434
908,779
303,535
591,606
293,396
924,757
319,373
270,478
949,768
324,547
792,748
258,411
367,398
272,455
326,715
594,318
824,727
986,827
312,443
641,506
937,762
638,432
283,608
477,485
736,813
709,707
849,571
496,486
485,457
965,739
637,639
266,313
443,393
917,729
996,806
713,584
996,840
448,711
436,519
885,643
709,362
928,802
288,316
339,619
819,652
478,559
330,459
639,625
359,470
415,406
344,634
971,775
760,658
791,757
715,682
811,610
536,731
619,740
593,328
687,754
448,690
717,714
818,653
904,698
619,681
666,685
355,333
312,449
310,332
243,321
935,851
363,655
932,810
751,609
430,624
1003,832
287,431
293,324
422,533
938,735
990,876
258,359
342,532
807,645
254,480
847,400
419,325
881,715
890,706
369,351
930,770
329,314
416,465
540,507
565,697
716,804
348,399
351,565
570,755
289,445
308,592
432,525
304,460
618,791
470,417
509,577
601,717
766,531
458,528
796,683
280,343
977,617
482,569
266,305
745,578
637,461
242,329
380,570
323,546
864,703
896,675
495,366
949,811
277,395
787,795
375,431
283,346
988,833
823,689
267,477
320,570
374,496
248,486
532,748
361,649
271,312
620,794
443,386
838,796
348,505
303,318
876,709
374,333
507,585
825,700
270,392
445,643
492,679
734,684
889,784
470,747
515,416
976,820
285,547
398,522
790,770
918,715
1004,765
850,734
961,814
734,529
377,516
434,662
281,409
232,306
549,593
991,873
481,766
297,444
271,416
914,787
985,807
319,432
556,643
898,790
429,660
677,590
921,752
328,631
380,344
307,554
241,338
403,651
447,551
327,568
333,627
502,634
529,700
747,535
857,741
340,674
763,641
404,495
850,695
353,613
291,324
311,502
414,625
648,701
576,683
365,432
265,399
791,741
615,839
280,457
682,590
911,834
467,697
363,594
288,402
542,546
905,594
510,616
396,647
873,702
542,734
478,747
252,315
479,464
322,536
353,608
461,714
402,656
861,586
671,537
893,790
631,744
300,592
574,353
518,397
733,642
385,493
552,366
671,541
835,922
263,422
287,586
310,482
515,474
465,525
553,675
446,535
468,558
305,373
610,768
457,644
566,678
977,833
357,308
435,634
983,882
341,491
550,528
458,504
869,735
405,361
299,303
505,680
311,584
987,858
581,777
985,835
965,782
535,725
500,734
427,498
299,305
994,891
545,320
966,794
397,574
826,537
744,660
268,343
671,665
320,352
466,638
255,765
656,519
874,725
963,774
505,702
992,540
735,468
433,402
651,560
653,348
985,838
514,421
473,421
646,714
807,702
776,967
897,793
627,833
412,442
362,460
299,301
957,741
948,798
571,769
317,324
359,337
713,862
366,668
279,366
997,834
738,695
732,533
905,790
777,570
712,718
506,710
538,477
255,428
803,652
558,322
869,836
468,658
263,313
283,319
365,649
454,704
418,499
689,725
409,698
829,713
481,538
372,615
520,732
631,513
505,628
390,498
1006,653
395,546
569,471
252,462
356,688
427,366
671,704
808,724
270,367
279,486
676,665
811,588
924,737
992,868
453,454
561,455
981,730
1005,864
304,306
323,715
803,893
373,661
710,585
307,501
271,457
291,477
343,498
409,702
584,647
961,822
999,591
328,304
428,481
588,459
690,722
403,557
330,637
304,389
266,332
302,496
853,613
915,762
316,449
384,550
680,818
410,372
560,815
532,486
278,348
785,667
276,354
870,619
446,719
825,673
434,598
775,457
783,741
635,571
805,714
568,517
1006,852
809,677
796,591
822,686
956,870
777,630
526,672
398,686
695,542
334,597
589,701
290,535
341,511
710,567
283,479
398,689
889,721
384,687
359,300
515,465
673,410
371,632
414,642
469,467
412,369
260,302
588,510
317,504
311,403
316,338
727,559
640,791
267,405
506,750
458,331
973,819
589,508
715,784
287,320
612,401
441,399
279,412
365,626
254,503
746,720
525,726
798,712
997,786
915,799
815,898
337,327
380,660
991,840
282,412
257,405
495,715
928,431
516,322
621,726
663,548
654,833
541,734
756,649
929,797
798,620
538,702
462,692
846,837
748,757
803,800
429,636
833,538
964,816
874,750
318,379
472,455
290,430
314,326
273,513
676,726
528,663
810,641
586,771
344,323
361,384
447,510
363,655
447,613
717,366
828,720
949,782
622,721
764,644
414,575
682,831
508,302
679,660
309,384
355,570
720,644
993,820
700,757
304,654
903,759
248,424
869,722
679,600
299,309
822,695
876,732
587,620
480,313
404,522
408,321
292,540
304,472
479,677
825,645
929,798
435,341
295,324
561,361
534,408
437,324
594,788
763,755
638,714
856,697
706,463
871,780
789,413
883,785
840,717
361,440
418,410
751,702
785,825
561,674
609,723
919,759
411,514
827,747
387,632
479,308
697,669
273,427
301,436
729,562
714,586
320,539
653,859
682,718
709,661
291,442
624,785
311,411
277,330
826,798
590,469
402,661
355,625
322,354
349,314
263,505
526,713
415,680
803,676
398,662
610,713
879,762
657,692
791,695
801,704
552,638
383,635
975,797
236,448
290,322
613,789
633,669
614,636
780,682
850,746
647,709
392,555
546,779
310,328
599,304
672,536
960,811
250,305
381,567
722,512
374,314
517,430
703,694
551,671
464,590
355,512
377,537
770,734
1002,824
417,637
483,557
328,442
585,648
316,356
528,512
882,760
239,305
821,712
750,694
709,704
726,508
293,358
772,633
273,489
939,767
277,508
434,688
312,395
478,692
527,638
305,396
287,421
780,745
493,475
574,824
432,574
291,401
392,776
1000,853
456,386
788,766
278,466
290,498
279,378
476,375
574,675
302,409
640,552
392,329
489,697
927,789
454,718
649,717
272,544
698,331
615,317
260,301
369,338
761,591
672,718
941,849
908,777
501,549
571,766
993,840
353,306
284,505
333,532
494,681
974,804
485,700
464,675
499,627
629,541
480,570
316,501
879,748
389,326
609,768
480,484
491,717
885,784
278,470
671,693
547,666
922,711
270,336
500,725
688,708
496,490
433,327
291,482
341,308
782,488
310,526
967,805
707,464
922,549
953,808
369,583
488,433
296,519
607,666
339,317
818,715
436,594
464,735
452,495
715,620
481,615
1004,894
474,536
474,377
317,614
307,469
560,715
316,310
953,783
363,691
419,735
311,350
818,609
306,387
456,680
360,615
475,722
802,735
431,643
966,811
360,661
739,616
946,365
515,681
760,678
415,615
294,551
456,583
339,316
285,454
587,321
937,654
307,416
329,649
499,590
958,830
412,698
627,757
542,691
359,610
812,730
413,669
519,315
622,339
716,763
777,684
870,673
775,349
980,809
448,605
561,700
496,625
265,481
919,800
368,333
462,669
536,625
323,610
858,722
313,561
604,301
492,738
766,583
290,310
287,378
320,481
981,490
452,724
299,666
503,506
324,604
592,723
643,650
406,585
674,733
389,652
353,324
727,725
382,305
629,556
524,379
526,730
700,532
365,318
258,351
995,877
578,490
853,765
664,724
728,590
319,541
376,334
322,584
351,711
900,735
539,626
585,853
595,574
584,766
491,523
343,561
987,846
268,442
375,311
274,494
440,611
630,470
364,348
454,729
757,676
330,310
622,683
864,762
369,509
255,583
632,645
264,417
485,424
545,327
589,506
861,551
296,433
305,379
316,541
828,828
821,629
315,469
233,617
400,719
751,752
581,545
786,672
565,469
488,610
269,387
854,746
922,753
830,683
285,526
309,577
963,821
269,606
450,696
335,568
388,314
642,656
684,433
803,689
653,387
333,497
578,722
333,672
716,728
674,525
428,347
423,604
903,728
424,606
489,579
777,756
915,770
732,734
749,911
843,735
266,338
256,334
671,750
912,681
600,582
385,579
992,876
249,303
690,783
884,878
267,422
303,318
723,524
370,397
418,587
824,700
435,688
607,748
318,589
309,393
402,645
406,605
957,791
853,690
395,414
479,384
255,399
975,815
633,689
503,661
916,764
325,360
289,504
422,676
267,322
684,399
664,467
777,598
790,588
458,359
354,377
514,360
330,628
301,381
533,722
267,304
389,587
377,343
393,342
832,678
713,490
853,707
253,340
412,564
310,310
355,313
292,316
564,778
659,684
799,682
456,647
454,538
653,767
320,490
293,650
420,636
361,322
595,465
549,678
406,495
752,626
449,667
643,571
302,610
653,492
367,696
961,819
474,712
903,715
642,579
509,740
331,552
407,476
383,487
944,798
300,491
598,677
324,484
700,727
345,311
949,537
993,828
946,735
376,522
456,675
399,629
636,736
589,375
676,751
972,841
904,735
516,403
962,819
688,616
740,755
284,616
371,307
717,900
297,434
832,655
432,308
574,640
509,635
572,529
343,651
770,762
411,673
622,348
565,413
596,600
488,655
999,840
367,483
672,413
337,658
559,588
499,495
376,445
764,678
775,747
478,430
861,801
355,683
440,514
545,367
668,380
958,798
831,751
476,693
335,313
465,674
600,656
282,505
378,542
270,472
387,658
518,514
673,372
261,485
640,784
434,624
797,807
604,632
424,641
324,588
329,320
464,656
680,572
542,600
718,628
417,643
967,822
251,429
299,501
410,585
954,748
674,641
498,455
758,396
544,722
328,395
379,326
950,791
261,380
252,433
757,687
492,397
869,782
437,649
769,641
580,603
298,499
977,719
343,364
306,418
785,561
941,791
803,701
902,758
318,511
292,338
285,476
642,431
499,385
668,479
329,627
816,776
295,401
556,634
693,659
305,389
359,370
511,594
534,674
443,673
310,621
313,499
560,595
262,322
802,710
264,450
397,366
564,656
321,529
789,553
385,556
447,711
687,689
369,357
845,624
321,313
979,802
853,750
817,718
668,630
908,779
263,352
543,336
372,648
411,611
572,664
678,796
290,336
649,719
459,694
355,633
990,845
616,523
461,489
251,391
280,348
899,744
650,510
902,815
635,668
590,754
788,343
360,407
275,585
814,600
845,656
254,351
384,557
323,525
390,347
453,630
499,452
277,499
761,899
827,803
268,435
776,753
630,369
460,304
490,767
367,613
537,722
315,480
655,644
960,847
480,636
384,402
646,643
729,652
318,302
484,675
993,814
263,339
634,721
933,636
503,730
623,413
704,594
338,573
986,841
465,653
792,809
364,561
437,557
723,761
666,607
309,505
388,615
366,631
740,417
984,802
368,595
644,412
810,738
505,716
615,318
724,604
697,768
988,803
681,321
370,695
291,481
580,761
639,640
519,412
437,577
297,570
799,585
356,492
849,667
404,696
717,721
652,605
660,837
888,719
779,604
366,588
284,328
970,838
645,760
507,640
346,601
923,775
759,762
308,432
322,507
269,317
881,767
272,482
563,377
503,317
998,860
528,381
673,751
343,455
387,335
292,306
744,765
797,746
349,610
393,720
696,648
