"Comp-FITC-A","Comp-Texas Red-A"
539,395
675,470
566,302
486,329
474,301
512,312
702,406
400,315
628,405
473,314
579,311
551,370
547,358
634,420
656,444
553,333
784,518
664,651
650,401
476,309
609,432
594,324
763,521
405,318
485,324
477,352
404,305
560,326
521,305
519,302
611,377
585,382
521,302
507,364
376,304
578,401
649,457
564,345
518,322
421,317
510,314
686,497
418,316
560,335
462,362
852,604
487,300
775,469
527,363
554,390
619,380
381,302
421,309
445,303
569,353
492,330
466,306
544,374
591,389
581,358
531,348
665,469
584,339
547,306
627,360
620,395
493,316
565,328
482,350
425,333
541,363
524,332
564,322
519,378
382,306
567,367
595,340
632,424
572,383
824,569
417,317
475,320
425,300
365,315
380,300
415,320
362,310
399,313
524,320
406,317
402,314
573,347
414,338
630,367
510,322
480,360
438,332
498,328
682,406
563,344
606,323
469,316
411,323
535,346
568,359
379,305
410,305
585,344
501,318
598,325
582,345
411,334
529,302
612,423
564,358
461,307
407,308
469,346
513,337
557,335
545,348
384,305
550,309
464,306
621,422
493,300
533,300
504,329
375,302
475,306
406,312
540,329
473,305
547,325
400,304
619,375
620,411
575,349
626,428
506,325
407,316
393,311
555,337
793,568
378,344
805,763
489,308
598,362
534,378
593,399
481,303
437,322
567,352
484,304
644,401
745,530
467,306
577,342
591,346
473,302
411,328
540,344
509,325
532,324
387,314
444,305
376,305
548,325
596,375
690,438
464,330
414,322
703,461
499,329
488,342
505,313
555,315
507,329
647,430
397,307
441,307
511,332
444,307
521,365
424,302
397,309
730,512
695,461
492,316
472,303
599,378
503,302
528,359
476,315
619,445
413,310
458,301
555,318
689,479
550,323
505,305
578,320
514,301
760,494
500,365
361,303
412,323
484,316
437,307
676,305
439,314
879,640
466,372
550,347
502,305
451,302
391,300
570,364
563,343
434,313
508,316
532,365
515,329
448,329
409,304
444,318
609,351
489,319
513,384
805,605
504,365
444,304
519,375
639,373
482,323
431,344
622,400
505,322
685,479
669,357
442,345
452,348
703,478
474,322
498,320
596,358
562,327
717,508
591,385
397,327
510,384
484,345
464,365
568,304
636,384
344,309
488,305
393,303
581,341
399,321
518,334
628,400
512,365
542,324
685,431
549,390
656,459
407,301
499,320
470,308
463,312
541,329
504,302
537,348
551,358
412,335
527,302
644,395
565,359
467,307
382,306
617,402
536,320
555,370
492,315
647,399
378,305
409,309
526,318
610,396
541,322
610,357
505,304
593,370
575,310
476,309
355,306
469,310
500,304
448,370
940,674
653,393
528,308
412,326
475,351
577,305
477,302
625,364
600,341
604,365
560,382
466,365
419,328
583,333
407,371
383,311
483,309
643,403
594,309
455,308
409,319
435,317
534,320
537,338
541,335
893,677
403,311
653,446
455,308
420,303
667,458
554,346
601,355
503,304
397,330
486,316
507,301
582,366
530,339
370,301
510,315
491,326
750,527
529,346
500,312
528,305
574,340
531,386
578,409
554,310
477,356
498,310
440,301
524,373
518,310
680,465
417,303
874,655
644,377
547,300
629,431
730,390
514,338
541,335
396,306
527,318
488,341
483,329
413,306
527,329
593,305
599,419
460,315
434,358
663,510
469,334
533,412
586,314
548,355
490,311
436,350
534,391
625,400
514,330
444,312
446,394
503,309
555,328
552,347
569,358
395,304
469,304
383,309
562,305
533,300
390,310
623,438
620,398
396,337
557,318
409,320
431,302
463,311
429,333
471,322
612,354
469,319
470,367
661,435
525,367
651,401
490,331
496,321
597,415
525,309
437,327
638,413
542,333
518,312
494,359
566,355
533,363
506,324
471,313
523,309
575,380
538,330
459,307
634,461
544,375
472,325
540,346
420,307
500,318
532,344
541,356
638,437
533,350
458,323
505,314
735,560
512,311
497,303
383,316
497,318
444,318
624,382
597,413
755,504
567,377
451,308
469,304
405,309
533,345
515,341
571,339
445,319
523,346
550,420
551,336
518,308
648,392
516,309
501,370
498,332
589,337
620,353
453,320
501,302
611,326
629,414
663,417
385,306
396,306
502,319
612,358
578,383
555,325
425,334
623,356
721,465
439,302
723,505
528,334
584,360
487,309
607,389
567,324
466,314
298,301
575,366
552,413
499,319
486,315
471,372
855,591
461,313
452,321
765,571
450,311
500,319
518,328
657,477
534,308
502,329
562,346
280,401
540,347
496,305
612,396
593,342
823,551
539,321
536,317
576,326
484,318
572,380
383,307
602,473
560,385
506,342
547,389
393,327
644,333
432,300
390,302
425,321
698,490
535,331
624,358
430,302
500,351
457,314
538,342
573,342
544,373
452,302
589,367
620,494
610,364
444,304
630,355
409,302
727,529
521,337
598,387
602,448
621,425
468,312
300,352
537,348
595,437
555,314
630,353
608,413
540,375
653,453
532,330
451,300
573,360
569,399
542,344
655,421
543,319
426,336
619,337
575,327
586,407
550,374
425,301
649,365
835,563
455,344
631,399
635,346
549,340
454,310
368,301
463,302
536,318
481,303
473,361
587,374
396,304
679,458
536,345
405,316
547,336
433,313
493,310
590,360
559,373
447,349
436,343
588,329
491,345
644,353
568,382
536,347
677,451
586,344
611,420
588,351
524,330
504,305
634,377
674,442
385,309
572,390
746,473
484,323
557,387
616,331
796,603
438,318
557,320
463,324
474,337
687,480
568,356
440,309
633,399
545,335
390,326
494,381
520,341
394,307
559,330
556,424
486,305
474,327
539,331
433,305
396,308
531,307
576,344
589,315
490,300
494,311
713,482
543,352
499,327
574,360
491,375
402,322
383,306
462,364
614,380
663,394
523,350
613,377
651,443
966,744
686,376
530,338
431,303
468,347
396,309
709,473
464,302
546,315
418,323
480,311
383,313
593,367
500,306
464,307
477,342
459,352
651,472
597,364
414,323
814,540
522,341
415,303
513,395
580,342
376,307
493,328
490,328
396,302
432,300
546,324
372,309
545,308
490,317
496,319
528,329
787,580
522,325
675,367
507,334
555,395
611,391
364,313
593,395
466,301
512,336
656,449
579,337
512,311
471,306
449,305
578,356
679,449
479,347
460,312
529,360
499,301
536,302
459,308
513,308
447,322
890,626
663,430
403,379
528,303
554,337
401,307
597,409
547,405
755,550
582,384
551,331
573,339
521,318
430,326
723,465
439,361
647,463
579,470
423,334
435,339
654,370
406,308
580,367
435,325
371,303
525,346
399,303
499,311
409,311
521,331
460,320
444,320
564,356
570,340
530,354
