"counts","density","mids"
2,0.00716486350935014,0.295
0,0,0.305
1,0.00358243175467509,0.315
1,0.00358243175467507,0.325
4,0.0143297270187003,0.335
2,0.00716486350935014,0.345
0,0,0.355
8,0.0286594540374006,0.365
2,0.00716486350935014,0.375
6,0.0214945905280504,0.385
14,0.0501540445654513,0.395
7,0.0250770222827255,0.405
14,0.050154044565451,0.415
22,0.0788134986028515,0.425
22,0.078813498602852,0.435
24,0.0859783621122017,0.445
42,0.150462133696353,0.455
50,0.179121587733754,0.465
68,0.243605359317905,0.475
72,0.257935086336605,0.485
122,0.437056674070359,0.495
139,0.497958013899835,0.505
188,0.673497169878913,0.515
224,0.802464713047216,0.525
239,0.856201189367342,0.535
297,1.0639822311385,0.545
327,1.17145518377875,0.555
317,1.135630866232,0.565
315,1.12846600272266,0.575
388,1.38998352081393,0.585
363,1.30042272694705,0.595
360,1.28967543168303,0.605
372,1.33266461273913,0.615
440,1.57626997205703,0.625
408,1.46163215590743,0.635
354,1.26818084115499,0.645
378,1.35415920326718,0.655
357,1.278928136419,0.665
354,1.26818084115497,0.675
377,1.3505767715125,0.685
360,1.28967543168303,0.695
319,1.14279572974135,0.705
344,1.23235652360822,0.715
360,1.28967543168303,0.725
373,1.3362470444938,0.735
341,1.2216092283442,0.745
323,1.15712545676005,0.755
328,1.17503761553342,0.765
325,1.1642903202694,0.775
354,1.26818084115497,0.785
323,1.15712545676005,0.795
286,1.02457548183707,0.805
320,1.14637816149602,0.815
315,1.12846600272265,0.825
280,1.00308089130902,0.835
289,1.0353227771011,0.845
242,0.866948484631367,0.855
293,1.04965250411982,0.865
266,0.952926846743569,0.875
269,0.963674142007594,0.885
267,0.956509278498244,0.895
238,0.852618757612667,0.905
265,0.949344414988894,0.915
230,0.823959303575266,0.925
225,0.806047144801891,0.935
222,0.795299849537865,0.945
255,0.913520097442143,0.955
238,0.852618757612667,0.965
223,0.798882281292541,0.975
238,0.852618757612667,0.985
280,1.00308089130902,0.995
210,0.752310668481765,1.005
251,0.899190370423443,1.015
261,0.935014687970193,1.025
253,0.906355233932793,1.035
251,0.899190370423443,1.045
254,0.909937665687468,1.055
294,1.05323493587447,1.065
276,0.988751164290319,1.075
283,1.01382818657304,1.085
320,1.14637816149602,1.095
363,1.30042272694705,1.105
334,1.19653220606147,1.115
350,1.2538511141363,1.125
362,1.29684029519238,1.135
412,1.47596188292613,1.145
436,1.56194024503833,1.155
459,1.64433617539586,1.165
548,1.96317260156194,1.175
534,1.91301855699649,1.185
537,1.92376585226051,1.195
462,1.65508347065988,1.205
375,1.34341190800315,1.215
336,1.20369706957082,1.225
266,0.952926846743569,1.235
265,0.949344414988894,1.245
213,0.76305796374579,1.255
171,0.612595830049437,1.265
159,0.569606648993336,1.275
181,0.648420147596188,1.285
172,0.616178261804112,1.295
146,0.52303503618256,1.305
133,0.476463423371784,1.315
122,0.437056674070359,1.325
113,0.404814788278283,1.335
104,0.372572902486207,1.345
103,0.368990470731532,1.355
81,0.290176972128681,1.365
88,0.315253994411406,1.375
67,0.24002292756323,1.385
90,0.322418857920756,1.395
55,0.197033746507129,1.405
53,0.189868882997779,1.415
64,0.229275632299204,1.425
61,0.218528337035179,1.435
59,0.211363473525834,1.445
45,0.161209428960378,1.455
46,0.164791860715053,1.465
52,0.186286451243104,1.475
44,0.157626997205703,1.485
35,0.125385111413627,1.495
36,0.128967543168303,1.505
35,0.125385111413627,1.515
52,0.186286451243104,1.525
28,0.100308089130902,1.535
25,0.0895607938668768,1.545
45,0.161209428960378,1.555
23,0.0823959303575266,1.565
26,0.0931432256215518,1.575
26,0.0931432256215518,1.585
32,0.114637816149602,1.595
27,0.0967256573762269,1.605
25,0.0895607938668768,1.615
19,0.0680662033388263,1.625
17,0.0609013398294762,1.635
18,0.0644837715841513,1.645
23,0.0823959303575266,1.655
26,0.0931432256215518,1.665
30,0.107472952640252,1.675
18,0.0644837715841513,1.685
18,0.0644837715841527,1.695
25,0.0895607938668768,1.705
20,0.0716486350935014,1.715
15,0.053736476320126,1.725
15,0.053736476320126,1.735
15,0.053736476320126,1.745
21,0.0752310668481765,1.755
14,0.050154044565451,1.765
15,0.053736476320126,1.775
9,0.0322418857920756,1.785
13,0.0465716128107759,1.795
16,0.0573189080748011,1.805
19,0.0680662033388263,1.815
16,0.0573189080748011,1.825
14,0.050154044565451,1.835
11,0.0394067493014258,1.845
11,0.0394067493014258,1.855
13,0.0465716128107759,1.865
8,0.0286594540374006,1.875
9,0.0322418857920756,1.885
3,0.0107472952640252,1.895
10,0.0358243175467507,1.905
11,0.0394067493014258,1.915
9,0.0322418857920756,1.925
9,0.0322418857920756,1.935
11,0.0394067493014258,1.945
6,0.0214945905280509,1.955
6,0.0214945905280504,1.965
9,0.0322418857920756,1.975
3,0.0107472952640252,1.985
7,0.0250770222827255,1.995
11,0.0394067493014266,2.005
10,0.0358243175467499,2.015
5,0.0179121587733757,2.025
9,0.0322418857920749,2.035
7,0.025077022282726,2.045
4,0.0143297270187,2.055
5,0.0179121587733757,2.065
4,0.0143297270187,2.075
10,0.0358243175467515,2.085
5,0.017912158773375,2.095
6,0.0214945905280509,2.105
3,0.010747295264025,2.115
3,0.0107472952640254,2.125
4,0.0143297270187,2.135
3,0.0107472952640254,2.145
7,0.0250770222827249,2.155
6,0.0214945905280509,2.165
7,0.0250770222827249,2.175
3,0.0107472952640254,2.185
3,0.010747295264025,2.195
3,0.0107472952640254,2.205
2,0.0071648635093503,2.215
4,0.0143297270187,2.225
2,0.0071648635093503,2.235
0,0,2.245
2,0.0071648635093503,2.255
0,0,2.265
1,0.00358243175467515,2.275
1,0.00358243175467499,2.285
3,0.010747295264025,2.295
0,0,2.305
1,0.00358243175467499,2.315
0,0,2.325
3,0.0107472952640254,2.335
2,0.00716486350934998,2.345
3,0.0107472952640254,2.355
1,0.00358243175467499,2.365
2,0.0071648635093503,2.375
0,0,2.385
2,0.0071648635093503,2.395
1,0.00358243175467499,2.405
3,0.0107472952640254,2.415
0,0,2.425
1,0.00358243175467515,2.435
0,0,2.445
2,0.0071648635093503,2.455
