"counts","density","mids"
0,0,0.295
0,0,0.305
0,0,0.315
0,0,0.325
0,0,0.335
0,0,0.345
0,0,0.355
0,0,0.365
0,0,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
0,0,0.425
0,0,0.435
0,0,0.445
0,0,0.455
0,0,0.465
0,0,0.475
0,0,0.485
0,0,0.495
0,0,0.505
0,0,0.515
1,0.016849199663016,0.525
0,0,0.535
0,0,0.545
0,0,0.555
0,0,0.565
1,0.0168491996630162,0.575
0,0,0.585
0,0,0.595
0,0,0.605
1,0.016849199663016,0.615
1,0.016849199663016,0.625
1,0.016849199663016,0.635
0,0,0.645
0,0,0.655
0,0,0.665
0,0,0.675
0,0,0.685
1,0.016849199663016,0.695
0,0,0.705
1,0.016849199663016,0.715
0,0,0.725
0,0,0.735
1,0.016849199663016,0.745
1,0.016849199663016,0.755
1,0.016849199663016,0.765
1,0.016849199663016,0.775
1,0.016849199663016,0.785
0,0,0.795
1,0.016849199663016,0.805
1,0.016849199663016,0.815
0,0,0.825
4,0.067396798652064,0.835
0,0,0.845
0,0,0.855
2,0.0336983993260327,0.865
2,0.033698399326032,0.875
0,0,0.885
1,0.016849199663016,0.895
1,0.016849199663016,0.905
1,0.016849199663016,0.915
1,0.016849199663016,0.925
0,0,0.935
1,0.016849199663016,0.945
3,0.050547598989048,0.955
1,0.016849199663016,0.965
1,0.016849199663016,0.975
1,0.016849199663016,0.985
1,0.016849199663016,0.995
3,0.050547598989048,1.005
4,0.067396798652064,1.015
6,0.101095197978096,1.025
8,0.134793597304128,1.035
4,0.067396798652064,1.045
14,0.235888795282224,1.055
11,0.185341196293176,1.065
9,0.151642796967144,1.075
7,0.117944397641112,1.085
14,0.235888795282224,1.095
18,0.303285593934288,1.105
20,0.33698399326032,1.115
27,0.454928390901442,1.125
27,0.454928390901432,1.135
19,0.320134793597304,1.145
24,0.404380791912384,1.155
33,0.556023588879528,1.165
37,0.623420387531592,1.175
44,0.741364785172704,1.185
51,0.859309182813816,1.195
61,1.02780117944398,1.205
51,0.859309182813816,1.215
63,1.06149957877001,1.225
56,0.943555181128896,1.235
67,1.12889637742207,1.245
79,1.33108677337826,1.255
70,1.17944397641112,1.265
69,1.1625947767481,1.275
56,0.943555181128896,1.285
65,1.09519797809604,1.295
63,1.06149957877001,1.305
66,1.11204717775906,1.315
71,1.19629317607414,1.325
75,1.2636899747262,1.335
75,1.2636899747262,1.345
90,1.51642796967144,1.355
81,1.3647851727043,1.365
62,1.04465037910699,1.375
78,1.31423757371525,1.385
77,1.29738837405223,1.395
69,1.1625947767481,1.405
99,1.66807076663858,1.415
85,1.43218197135636,1.425
83,1.39848357203033,1.435
79,1.33108677337829,1.445
87,1.46588037068239,1.455
91,1.53327716933446,1.465
105,1.76916596461668,1.475
94,1.5838247683235,1.485
110,1.85341196293176,1.495
97,1.63437236731255,1.505
100,1.6849199663016,1.515
110,1.85341196293176,1.525
118,1.98820556023589,1.535
102,1.71861836562763,1.545
114,1.92080876158382,1.555
106,1.7860151642797,1.565
109,1.83656276326874,1.575
113,1.90395956192081,1.585
106,1.7860151642797,1.595
114,1.92080876158382,1.605
116,1.95450716090985,1.615
123,2.07245155855097,1.625
127,2.13984835720303,1.635
98,1.65122156697557,1.645
98,1.65122156697557,1.655
104,1.75231676495366,1.665
114,1.92080876158382,1.675
71,1.19629317607414,1.685
104,1.7523167649537,1.695
83,1.39848357203033,1.705
74,1.24684077506318,1.715
69,1.1625947767481,1.725
82,1.38163437236731,1.735
77,1.29738837405223,1.745
63,1.06149957877001,1.755
62,1.04465037910699,1.765
58,0.977253580454927,1.775
65,1.09519797809604,1.785
63,1.06149957877001,1.795
54,0.909856781802864,1.805
41,0.690817186183656,1.815
40,0.67396798652064,1.825
34,0.572872788542544,1.835
37,0.623420387531592,1.845
22,0.370682392586352,1.855
26,0.438079191238416,1.865
18,0.303285593934288,1.875
19,0.320134793597304,1.885
16,0.269587194608256,1.895
16,0.269587194608256,1.905
9,0.151642796967144,1.915
12,0.202190395956192,1.925
9,0.151642796967144,1.935
9,0.151642796967144,1.945
9,0.151642796967147,1.955
3,0.050547598989048,1.965
4,0.067396798652064,1.975
4,0.067396798652064,1.985
4,0.067396798652064,1.995
1,0.0168491996630164,2.005
3,0.0505475989890469,2.015
1,0.0168491996630164,2.025
1,0.0168491996630156,2.035
1,0.0168491996630164,2.045
1,0.0168491996630156,2.055
1,0.0168491996630164,2.065
1,0.0168491996630156,2.075
0,0,2.085
1,0.0168491996630156,2.095
1,0.0168491996630164,2.105
0,0,2.115
0,0,2.125
1,0.0168491996630156,2.135
1,0.0168491996630164,2.145
0,0,2.155
0,0,2.165
0,0,2.175
0,0,2.185
0,0,2.195
0,0,2.205
1,0.0168491996630164,2.215
0,0,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
0,0,2.275
0,0,2.285
1,0.0168491996630156,2.295
0,0,2.305
0,0,2.315
0,0,2.325
0,0,2.335
0,0,2.345
1,0.0168491996630164,2.355
1,0.0168491996630156,2.365
0,0,2.375
0,0,2.385
0,0,2.395
0,0,2.405
0,0,2.415
0,0,2.425
0,0,2.435
0,0,2.445
0,0,2.455
0,0,2.465
0,0,2.475
0,0,2.485
0,0,2.495
0,0,2.505
0,0,2.515
0,0,2.525
0,0,2.535
0,0,2.545
0,0,2.555
0,0,2.565
0,0,2.575
0,0,2.585
0,0,2.595
0,0,2.605
0,0,2.615
0,0,2.625
0,0,2.635
0,0,2.645
0,0,2.655
0,0,2.665
0,0,2.675
0,0,2.685
0,0,2.695
0,0,2.705
0,0,2.715
0,0,2.725
0,0,2.735
0,0,2.745
0,0,2.755
0,0,2.765
0,0,2.775
0,0,2.785
0,0,2.795
0,0,2.805
0,0,2.815
0,0,2.825
0,0,2.835
0,0,2.845
0,0,2.855
0,0,2.865
0,0,2.875
0,0,2.885
0,0,2.895
0,0,2.905
0,0,2.915
0,0,2.925
