"counts","density","mids"
0,0,0.295
0,0,0.305
0,0,0.315
0,0,0.325
0,0,0.335
0,0,0.345
0,0,0.355
1,0.00608494584398198,0.365
1,0.00608494584398198,0.375
1,0.00608494584398198,0.385
2,0.012169891687964,0.395
2,0.012169891687964,0.405
1,0.00608494584398198,0.415
4,0.0243397833759279,0.425
2,0.012169891687964,0.435
5,0.0304247292199099,0.445
5,0.0304247292199099,0.455
5,0.0304247292199099,0.465
8,0.0486795667518559,0.475
23,0.139953754411586,0.485
31,0.188633321163441,0.495
23,0.139953754411586,0.505
74,0.450285992454667,0.515
101,0.61457953024218,0.525
136,0.82755263478155,0.535
191,1.16222465620056,0.545
207,1.25958378970427,0.555
311,1.8924181574784,0.565
333,2.02628696604602,0.575
352,2.14190093708166,0.585
410,2.49482779603261,0.595
401,2.44006328343678,0.605
456,2.77473530485578,0.615
455,2.7686503590118,0.625
403,2.45223317512474,0.635
410,2.49482779603264,0.645
457,2.78082025069977,0.655
407,2.47657295850067,0.665
403,2.45223317512474,0.675
380,2.31227942071315,0.685
385,2.34270414993306,0.695
338,2.05671169526591,0.705
314,1.91067299501034,0.715
322,1.9593525617622,0.725
319,1.94109772423025,0.735
261,1.5881708652793,0.745
300,1.8254837531946,0.755
242,1.47255689424364,0.765
235,1.42996227333577,0.775
240,1.46038700255568,0.785
223,1.35694292320798,0.795
196,1.19264938542047,0.805
188,1.14396981866861,0.815
185,1.12571498113667,0.825
212,1.29000851892418,0.835
186,1.13179992698065,0.845
161,0.979676280881099,0.855
159,0.967506389193157,0.865
180,1.09529025191676,0.875
149,0.906656930753315,0.885
157,0.955336497505171,0.895
134,0.815382743093586,0.905
140,0.851892418157478,0.915
140,0.851892418157478,0.925
146,0.88840209322137,0.935
133,0.809297797249604,0.945
131,0.79712790556164,0.955
137,0.833637580625532,0.965
128,0.778873068029694,0.975
123,0.748448338809784,0.985
162,0.985761226725081,0.995
149,0.906656930753315,1.005
145,0.882317147377388,1.015
149,0.906656930753315,1.025
131,0.79712790556164,1.035
179,1.08920530607277,1.045
171,1.04052573932092,1.055
165,1.00401606425703,1.065
159,0.967506389193135,1.075
156,0.949251551661189,1.085
160,0.973591335037117,1.095
153,0.930996714129243,1.105
150,0.912741876597297,1.115
144,0.876232201533425,1.125
130,0.791042959717658,1.135
137,0.833637580625532,1.145
113,0.687598880369964,1.155
118,0.718023609589874,1.165
121,0.73627844712182,1.175
105,0.638919313618108,1.185
98,0.596324692710234,1.195
93,0.565899963490324,1.205
76,0.462455884142631,1.215
76,0.462455884142631,1.225
82,0.498965559206523,1.235
49,0.298162346355117,1.245
59,0.359011804794937,1.255
47,0.285992454667153,1.265
48,0.292077400511135,1.275
38,0.231227942071315,1.285
36,0.219058050383351,1.295
36,0.219058050383351,1.305
26,0.158208591943532,1.315
33,0.200803212851405,1.325
34,0.206888158695387,1.335
23,0.139953754411586,1.345
25,0.15212364609955,1.355
22,0.133868808567604,1.365
24,0.146038700255568,1.375
18,0.109529025191676,1.385
13,0.0791042959717658,1.395
15,0.0912741876597297,1.405
17,0.103444079347694,1.415
18,0.109529025191676,1.425
19,0.115613971035658,1.435
14,0.0851892418157496,1.445
16,0.0973591335037117,1.455
13,0.0791042959717658,1.465
9,0.0547645125958378,1.475
9,0.0547645125958378,1.485
10,0.0608494584398198,1.495
11,0.0669344042838018,1.505
7,0.0425946209078739,1.515
15,0.0912741876597297,1.525
10,0.0608494584398198,1.535
8,0.0486795667518559,1.545
10,0.0608494584398198,1.555
11,0.0669344042838018,1.565
6,0.0365096750638919,1.575
6,0.0365096750638919,1.585
9,0.0547645125958378,1.595
8,0.0486795667518559,1.605
5,0.0304247292199099,1.615
5,0.0304247292199099,1.625
10,0.0608494584398198,1.635
6,0.0365096750638919,1.645
8,0.0486795667518559,1.655
8,0.0486795667518559,1.665
11,0.0669344042838018,1.675
3,0.018254837531946,1.685
6,0.0365096750638927,1.695
4,0.0243397833759279,1.705
7,0.0425946209078739,1.715
7,0.0425946209078739,1.725
6,0.0365096750638919,1.735
1,0.00608494584398198,1.745
0,0,1.755
0,0,1.765
4,0.0243397833759279,1.775
6,0.0365096750638919,1.785
1,0.00608494584398198,1.795
4,0.0243397833759279,1.805
4,0.0243397833759279,1.815
2,0.012169891687964,1.825
1,0.00608494584398198,1.835
7,0.0425946209078739,1.845
3,0.018254837531946,1.855
4,0.0243397833759279,1.865
1,0.00608494584398198,1.875
1,0.00608494584398198,1.885
1,0.00608494584398198,1.895
2,0.012169891687964,1.905
3,0.018254837531946,1.915
2,0.012169891687964,1.925
3,0.018254837531946,1.935
3,0.018254837531946,1.945
2,0.0121698916879642,1.955
2,0.012169891687964,1.965
3,0.018254837531946,1.975
3,0.018254837531946,1.985
2,0.012169891687964,1.995
1,0.00608494584398212,2.005
0,0,2.015
2,0.0121698916879642,2.025
3,0.0182548375319455,2.035
0,0,2.045
0,0,2.055
0,0,2.065
1,0.00608494584398185,2.075
2,0.0121698916879642,2.085
5,0.0304247292199092,2.095
0,0,2.105
0,0,2.115
2,0.0121698916879642,2.125
1,0.00608494584398185,2.135
0,0,2.145
1,0.00608494584398185,2.155
0,0,2.165
0,0,2.175
1,0.00608494584398212,2.185
1,0.00608494584398185,2.195
0,0,2.205
0,0,2.215
0,0,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
1,0.00608494584398212,2.275
0,0,2.285
0,0,2.295
0,0,2.305
0,0,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
0,0,2.375
0,0,2.385
1,0.00608494584398212,2.395
0,0,2.405
0,0,2.415
0,0,2.425
0,0,2.435
0,0,2.445
0,0,2.455
0,0,2.465
2,0.0121698916879642,2.475
0,0,2.485
0,0,2.495
0,0,2.505
0,0,2.515
0,0,2.525
0,0,2.535
0,0,2.545
0,0,2.555
0,0,2.565
0,0,2.575
0,0,2.585
0,0,2.595
0,0,2.605
0,0,2.615
