"counts","density","mids"
0,0,0.295
0,0,0.305
0,0,0.315
0,0,0.325
0,0,0.335
0,0,0.345
0,0,0.355
0,0,0.365
0,0,0.375
0,0,0.385
0,0,0.395
0,0,0.405
0,0,0.415
0,0,0.425
0,0,0.435
0,0,0.445
0,0,0.455
0,0,0.465
0,0,0.475
0,0,0.485
0,0,0.495
0,0,0.505
0,0,0.515
0,0,0.525
0,0,0.535
0,0,0.545
0,0,0.555
0,0,0.565
0,0,0.575
0,0,0.585
0,0,0.595
0,0,0.605
0,0,0.615
0,0,0.625
0,0,0.635
0,0,0.645
0,0,0.655
0,0,0.665
0,0,0.675
1,0.0319488817891374,0.685
1,0.0319488817891374,0.695
0,0,0.705
0,0,0.715
0,0,0.725
0,0,0.735
0,0,0.745
0,0,0.755
0,0,0.765
0,0,0.775
1,0.0319488817891374,0.785
0,0,0.795
1,0.0319488817891374,0.805
0,0,0.815
1,0.0319488817891374,0.825
0,0,0.835
0,0,0.845
2,0.0638977635782747,0.855
0,0,0.865
0,0,0.875
0,0,0.885
0,0,0.895
0,0,0.905
0,0,0.915
1,0.0319488817891374,0.925
0,0,0.935
0,0,0.945
0,0,0.955
0,0,0.965
2,0.0638977635782747,0.975
1,0.0319488817891374,0.985
1,0.0319488817891374,0.995
0,0,1.005
3,0.095846645367412,1.015
2,0.0638977635782747,1.025
0,0,1.035
1,0.0319488817891374,1.045
5,0.159744408945687,1.055
3,0.095846645367412,1.065
4,0.127795527156549,1.075
3,0.095846645367412,1.085
3,0.095846645367412,1.095
2,0.0638977635782747,1.105
7,0.223642172523961,1.115
3,0.0958466453674142,1.125
7,0.223642172523961,1.135
7,0.223642172523961,1.145
6,0.191693290734824,1.155
8,0.255591054313099,1.165
11,0.351437699680511,1.175
7,0.223642172523961,1.185
15,0.47923322683706,1.195
20,0.638977635782747,1.205
26,0.830670926517571,1.215
30,0.95846645367412,1.225
34,1.08626198083067,1.235
32,1.0223642172524,1.245
42,1.34185303514377,1.255
39,1.24600638977636,1.265
42,1.34185303514377,1.275
48,1.53354632587859,1.285
47,1.50159744408946,1.295
27,0.862619808306708,1.305
38,1.21405750798722,1.315
40,1.27795527156549,1.325
41,1.30990415335463,1.335
38,1.21405750798722,1.345
34,1.08626198083067,1.355
46,1.46964856230032,1.365
52,1.66134185303514,1.375
45,1.43769968051118,1.385
51,1.629392971246,1.395
46,1.46964856230032,1.405
44,1.40575079872204,1.415
57,1.82108626198083,1.425
42,1.34185303514377,1.435
52,1.66134185303518,1.445
54,1.72523961661342,1.455
65,2.07667731629393,1.465
58,1.85303514376997,1.475
60,1.91693290734824,1.485
80,2.55591054313099,1.495
74,2.36421725239616,1.505
75,2.3961661341853,1.515
71,2.26837060702875,1.525
79,2.52396166134185,1.535
79,2.52396166134185,1.545
85,2.71565495207667,1.555
71,2.26837060702875,1.565
62,1.98083067092652,1.575
72,2.30031948881789,1.585
63,2.01277955271565,1.595
69,2.20447284345048,1.605
52,1.66134185303514,1.615
71,2.26837060702875,1.625
62,1.98083067092652,1.635
66,2.10862619808307,1.645
57,1.82108626198083,1.655
62,1.98083067092652,1.665
53,1.69329073482428,1.675
45,1.43769968051118,1.685
42,1.3418530351438,1.695
39,1.24600638977636,1.705
34,1.08626198083067,1.715
27,0.862619808306708,1.725
26,0.830670926517571,1.735
34,1.08626198083067,1.745
29,0.926517571884983,1.755
20,0.638977635782747,1.765
22,0.702875399361022,1.775
23,0.734824281150159,1.785
7,0.223642172523961,1.795
16,0.511182108626198,1.805
10,0.319488817891374,1.815
12,0.383386581469648,1.825
18,0.575079872204472,1.835
6,0.191693290734824,1.845
7,0.223642172523961,1.855
14,0.447284345047923,1.865
9,0.287539936102236,1.875
6,0.191693290734824,1.885
6,0.191693290734824,1.895
1,0.0319488817891374,1.905
3,0.095846645367412,1.915
3,0.095846645367412,1.925
1,0.0319488817891374,1.935
2,0.0638977635782747,1.945
1,0.0319488817891381,1.955
0,0,1.965
0,0,1.975
0,0,1.985
0,0,1.995
1,0.0319488817891381,2.005
1,0.0319488817891366,2.015
0,0,2.025
0,0,2.035
1,0.0319488817891381,2.045
0,0,2.055
0,0,2.065
1,0.0319488817891366,2.075
0,0,2.085
0,0,2.095
0,0,2.105
0,0,2.115
0,0,2.125
0,0,2.135
0,0,2.145
0,0,2.155
0,0,2.165
0,0,2.175
0,0,2.185
0,0,2.195
0,0,2.205
1,0.0319488817891381,2.215
0,0,2.225
0,0,2.235
0,0,2.245
0,0,2.255
0,0,2.265
0,0,2.275
0,0,2.285
0,0,2.295
0,0,2.305
0,0,2.315
0,0,2.325
0,0,2.335
0,0,2.345
0,0,2.355
0,0,2.365
0,0,2.375
0,0,2.385
0,0,2.395
0,0,2.405
0,0,2.415
0,0,2.425
0,0,2.435
0,0,2.445
0,0,2.455
0,0,2.465
0,0,2.475
0,0,2.485
0,0,2.495
0,0,2.505
0,0,2.515
0,0,2.525
0,0,2.535
0,0,2.545
0,0,2.555
0,0,2.565
0,0,2.575
0,0,2.585
0,0,2.595
0,0,2.605
0,0,2.615
0,0,2.625
0,0,2.635
0,0,2.645
0,0,2.655
0,0,2.665
0,0,2.675
0,0,2.685
0,0,2.695
0,0,2.705
0,0,2.715
0,0,2.725
0,0,2.735
0,0,2.745
0,0,2.755
0,0,2.765
0,0,2.775
0,0,2.785
0,0,2.795
0,0,2.805
0,0,2.815
0,0,2.825
0,0,2.835
0,0,2.845
0,0,2.855
0,0,2.865
0,0,2.875
0,0,2.885
0,0,2.895
0,0,2.905
0,0,2.915
0,0,2.925
0,0,2.935
