"FITC-A","Texas Red-A"
232.88,7434.94
50.02,358.34
62740.7,49104.1
305.86,271.42
96.76,186.14
40417.8,23456.1
116.44,289.46
68.88,127.92
150.06,184.5
17562.8,14486.9
88710.1,95500.5
1981.94,1047.14
20135.9,48116.8
169.74,13120
28070.2,67276.1
109.06,281.26
1605.56,29587.2
91.84,152.52
60760.4,50518.6
18968.2,47400.9
22731.2,23101
485.44,14974
104860,98655.8
37.72,184.5
14.76,151.7
78726.6,104128
65613.1,59353.2
83512.9,64933.3
38.54,369.82
591.22,1038.12
73763.9,69619.6
262143,262143
72.16,178.76
149.24,1018.44
57.4,164.82
23.78,82
5863.82,2793.74
184.5,425.58
73.8,207.46
271.42,2966.76
262143,262143
139.4,274.7
132427,128852
19.68,63.14
1418.6,25604.5
50.84,167.28
113.98,275.52
967.6,4997.9
6235.28,22639.4
59.04,191.88
98094.1,25679.9
625.66,943
817.54,1710.52
143.5,271.42
149.24,179.58
100.86,225.5
101.68,410
8929.8,28613.1
114.8,268.14
119.72,277.16
232.06,4741.24
236.98,618.28
211.56,323.9
460.02,10484.5
17114.2,15301.2
118.9,189.42
132.84,322.26
40496.5,54308.6
48917.1,66329
59153.2,88997.1
48223.4,33849.6
2866.72,16888.7
1032.38,1599.82
106.6,247.64
260.76,734.72
32.8,296.84
91.84,214.02
83.64,289.46
6988.04,37384.6
14.76,108.24
46010.2,74385.5
48.38,188.6
95.12,300.94
1537.5,18591
51.66,118.9
14466.4,58985.9
72312.5,54936.7
84.46,239.44
5217.66,11428.3
123,255.84
2087.72,20154
634.68,11922
191.06,395.24
158.26,453.46
144830,165698
38551.5,38839.3
2953.64,28331.8
1073.38,2906.9
186.14,1808.92
123.82,266.5
2211.54,16177.8
349.32,456.74
20309.8,23562.7
95.12,218.94
15094.6,23612.7
129.56,210.74
608.44,10986.4
78.72,156.62
74483.1,76251
798.68,17687.4
42.64,161.54
3753.96,1528.48
108.24,201.72
34613.8,34191.5
128.74,171.38
66888.2,62275.7
32786.1,32300.6
119276,116796
277.16,5643.24
16.4,159.9
414.1,5924.5
16.4,113.98
237.8,328.82
94933.9,95744
251.74,10418.1
169.74,686.34
3075.82,3308.7
88027,93979.4
172.2,442.8
45.1,144.32
64860.4,62273.3
79852.4,88546.9
5445.62,8842.06
43460,51708.4
63518.8,36518.7
266.5,1370.22
59.04,154.16
5401.34,10191
97.58,141.86
241.9,492.82
127.1,273.88
3599.8,7471.84
545.3,16801.8
161911,164300
120.54,324.72
738.82,2920.84
262143,262143
56.58,189.42
131.2,312.42
52908.9,65058
170268,182261
110.7,253.38
