"counts","density","mids"
1,3.31640859480451e-06,-84.5
0,0,-83.5
0,0,-82.5
1,3.31640859480451e-06,-81.5
0,0,-80.5
0,0,-79.5
0,0,-78.5
0,0,-77.5
0,0,-76.5
0,0,-75.5
0,0,-74.5
0,0,-73.5
0,0,-72.5
0,0,-71.5
0,0,-70.5
1,3.31640859480451e-06,-69.5
0,0,-68.5
0,0,-67.5
0,0,-66.5
0,0,-65.5
0,0,-64.5
0,0,-63.5
0,0,-62.5
0,0,-61.5
0,0,-60.5
1,3.31640859480451e-06,-59.5
0,0,-58.5
0,0,-57.5
0,0,-56.5
0,0,-55.5
0,0,-54.5
0,0,-53.5
0,0,-52.5
0,0,-51.5
0,0,-50.5
0,0,-49.5
0,0,-48.5
0,0,-47.5
0,0,-46.5
0,0,-45.5
0,0,-44.5
0,0,-43.5
0,0,-42.5
0,0,-41.5
0,0,-40.5
0,0,-39.5
0,0,-38.5
0,0,-37.5
0,0,-36.5
0,0,-35.5
1,3.31640859480451e-06,-34.5
0,0,-33.5
0,0,-32.5
1,3.31640859480451e-06,-31.5
0,0,-30.5
1,3.31640859480451e-06,-29.5
0,0,-28.5
1,3.31640859480451e-06,-27.5
1,3.31640859480451e-06,-26.5
2,6.63281718960903e-06,-25.5
0,0,-24.5
0,0,-23.5
0,0,-22.5
0,0,-21.5
1,3.31640859480451e-06,-20.5
0,0,-19.5
0,0,-18.5
0,0,-17.5
0,0,-16.5
0,0,-15.5
1,3.31640859480451e-06,-14.5
0,0,-13.5
3,9.94922578441354e-06,-12.5
4,1.32656343792181e-05,-11.5
5,1.65820429740226e-05,-10.5
4,1.32656343792181e-05,-9.5
2,6.63281718960903e-06,-8.5
6,1.98984515688271e-05,-7.5
10,3.31640859480451e-05,-6.5
9,2.98476773532406e-05,-5.5
13,4.31133117324587e-05,-4.5
17,5.63789461116767e-05,-3.5
35,0.000116074300818158,-2.5
164,0.00054389100954794,-1.5
2602,0.00862929516368135,-0.5
258367,0.856850539413858,0.5
36686,0.121665765708998,1.5
3105,0.010297448686868,2.5
370,0.00122707118007767,3.5
48,0.000159187612550617,4.5
14,4.64297203272632e-05,5.5
6,1.98984515688271e-05,6.5
7,2.32148601636316e-05,7.5
2,6.63281718960903e-06,8.5
7,2.32148601636316e-05,9.5
2,6.63281718960893e-06,10.5
5,1.65820429740226e-05,11.5
3,9.94922578441354e-06,12.5
1,3.31640859480451e-06,13.5
3,9.94922578441354e-06,14.5
0,0,15.5
0,0,16.5
1,3.31640859480451e-06,17.5
1,3.31640859480451e-06,18.5
1,3.31640859480451e-06,19.5
1,3.31640859480451e-06,20.5
1,3.31640859480451e-06,21.5
0,0,22.5
1,3.31640859480451e-06,23.5
1,3.31640859480451e-06,24.5
0,0,25.5
0,0,26.5
0,0,27.5
0,0,28.5
0,0,29.5
1,3.31640859480451e-06,30.5
1,3.31640859480451e-06,31.5
0,0,32.5
0,0,33.5
0,0,34.5
1,3.31640859480451e-06,35.5
1,3.31640859480451e-06,36.5
1,3.31640859480451e-06,37.5
1,3.31640859480451e-06,38.5
0,0,39.5
0,0,40.5
0,0,41.5
0,0,42.5
0,0,43.5
1,3.31640859480451e-06,44.5
0,0,45.5
1,3.31640859480451e-06,46.5
0,0,47.5
0,0,48.5
0,0,49.5
0,0,50.5
0,0,51.5
0,0,52.5
0,0,53.5
0,0,54.5
1,3.31640859480451e-06,55.5
0,0,56.5
0,0,57.5
0,0,58.5
0,0,59.5
0,0,60.5
0,0,61.5
0,0,62.5
0,0,63.5
0,0,64.5
0,0,65.5
0,0,66.5
0,0,67.5
0,0,68.5
0,0,69.5
0,0,70.5
0,0,71.5
0,0,72.5
0,0,73.5
0,0,74.5
1,3.31640859480451e-06,75.5
0,0,76.5
0,0,77.5
0,0,78.5
0,0,79.5
0,0,80.5
0,0,81.5
0,0,82.5
0,0,83.5
0,0,84.5
0,0,85.5
0,0,86.5
0,0,87.5
0,0,88.5
0,0,89.5
0,0,90.5
0,0,91.5
0,0,92.5
0,0,93.5
0,0,94.5
0,0,95.5
0,0,96.5
0,0,97.5
0,0,98.5
0,0,99.5
0,0,100.5
0,0,101.5
0,0,102.5
0,0,103.5
0,0,104.5
0,0,105.5
0,0,106.5
0,0,107.5
0,0,108.5
0,0,109.5
0,0,110.5
1,3.31640859480461e-06,111.5
