"GFP-A","Nile Red-A"
19.5,84.5
339.3,4093.05
514.8,12145.3
110.5,1545.7
44.85,100.75
66.3,112.45
43736.5,41091
27986.4,28397.2
46.8,45.5
15532.4,30093.7
3.25,29.9
433.55,8216.65
75.4,80.6
63.05,46.15
37.7,71.5
261.95,4985.5
2804.75,15089.1
64.35,64.35
109405,119598
51.35,58.5
880.1,543.4
482.3,14077.7
70.85,141.05
55.25,126.1
83.2,278.2
145251,130474
83.85,78.65
5029.05,21317.4
44.85,68.9
69093.7,46034.3
40.3,121.55
5704.4,6260.8
281.45,6690.45
35.1,66.3
107.25,78.65
12519.6,9135.75
368.55,3451.5
127.4,1920.1
1149.85,10754.9
18021.3,38022.4
191.75,1263.6
69.55,70.2
100.1,1775.15
71.5,38.35
20.15,85.8
42.9,1424.8
104,1235
117.65,3682.9
8154.25,8915.4
51610.6,53519.7
49.4,112.45
94.9,142.35
406.9,850.2
191.75,866.45
453.7,9958
120.25,240.5
2308.15,17988.8
416.65,13607.1
82.55,102.7
52.65,103.35
25.35,96.2
40075.1,29023.8
61.1,177.45
101.4,143.65
693.55,2651.35
51.35,78.65
68.25,87.1
28588.9,27495
603.2,6873.75
332.15,8243.95
22400.3,12887.5
53.3,85.15
892.45,3677.7
258.05,502.45
14.3,8.45
2849.6,13206.7
1335.1,7599.8
65.65,71.5
54.6,60.45
3870.1,8053.5
41.6,72.15
186.55,4714.45
61217.6,57879.2
51.35,93.6
53.95,92.95
259.35,4107.35
6230.25,17924.4
40.3,79.3
61.1,786.5
164.45,3800.55
79.3,85.15
53.3,55.9
425.1,8255.65
2633.15,5551.65
49.4,85.8
105334,61946.9
85.15,547.3
79.95,131.95
1184.95,2961.4
16.25,58.5
204.75,5512
111433,115319
2289.95,26807.9
49.4,52
17.55,40.3
204.1,8820.5
19.5,69.55
65,118.95
189.8,2646.8
59.15,101.4
86.45,2004.6
436.15,9588.8
32.5,103.35
1522.3,9187.75
31886.4,27680.2
57.2,83.2
228.8,8332.35
64.35,192.4
60.45,120.9
105.95,2054.65
351,3602.3
85.15,56.55
85.8,4238.65
91,113.75
151.45,2348.45
37.7,64.35
6934.2,9341.15
139.75,2440.1
52,42.9
51.35,105.3
55809.6,56032.6
377,7220.85
187.85,6901.05
1019.2,1830.4
83.85,72.15
29.25,81.9
55.25,144.95
37.7,33.8
123302,106790
85.15,658.45
99.45,1855.1
47371.3,28736.5
450.45,11024
8637.2,4928.95
585.65,11544.6
26.65,51.35
30.55,113.75
21233.5,14593.8
74.75,184.6
66.3,73.45
59.15,103.35
151.45,1638
602.55,1784.25
384.15,8058.05
22204,10952.5
81.9,447.2
487.5,1030.25
3255.85,3055.65
255.45,7861.1
170750,118383
81.9,126.1
249.6,6957.6
768.95,700.7
8899.15,6787.3
390,10295.3
11457.5,14922
593.45,1560.65
165.75,4004
943.15,2083.25
97.5,231.4
74.1,228.15
72.8,107.9
68.25,95.55
31.2,91
104,234.65
635.05,3196.7
34835.4,47435
2618.85,6364.15
86687.3,70497.7
113.1,195.65
1921.4,7062.25
8453.25,24431.5
35.1,40.3
