"counts","density","mids"
1,0.000210415570752236,-78.75
0,0,-78.25
0,0,-77.75
0,0,-77.25
0,0,-76.75
0,0,-76.25
0,0,-75.75
0,0,-75.25
0,0,-74.75
0,0,-74.25
0,0,-73.75
0,0,-73.25
0,0,-72.75
0,0,-72.25
0,0,-71.75
0,0,-71.25
0,0,-70.75
0,0,-70.25
0,0,-69.75
0,0,-69.25
0,0,-68.75
0,0,-68.25
0,0,-67.75
0,0,-67.25
0,0,-66.75
0,0,-66.25
0,0,-65.75
0,0,-65.25
0,0,-64.75
0,0,-64.25
0,0,-63.75
0,0,-63.25
0,0,-62.75
0,0,-62.25
0,0,-61.75
0,0,-61.25
0,0,-60.75
0,0,-60.25
0,0,-59.75
0,0,-59.25
0,0,-58.75
0,0,-58.25
0,0,-57.75
0,0,-57.25
0,0,-56.75
0,0,-56.25
0,0,-55.75
0,0,-55.25
0,0,-54.75
0,0,-54.25
0,0,-53.75
0,0,-53.25
0,0,-52.75
0,0,-52.25
0,0,-51.75
0,0,-51.25
0,0,-50.75
0,0,-50.25
0,0,-49.75
0,0,-49.25
0,0,-48.75
0,0,-48.25
0,0,-47.75
0,0,-47.25
0,0,-46.75
0,0,-46.25
0,0,-45.75
0,0,-45.25
0,0,-44.75
0,0,-44.25
0,0,-43.75
0,0,-43.25
0,0,-42.75
0,0,-42.25
0,0,-41.75
0,0,-41.25
0,0,-40.75
0,0,-40.25
0,0,-39.75
0,0,-39.25
0,0,-38.75
0,0,-38.25
0,0,-37.75
0,0,-37.25
0,0,-36.75
0,0,-36.25
0,0,-35.75
0,0,-35.25
0,0,-34.75
0,0,-34.25
0,0,-33.75
0,0,-33.25
0,0,-32.75
0,0,-32.25
0,0,-31.75
0,0,-31.25
0,0,-30.75
1,0.000210415570752236,-30.25
0,0,-29.75
0,0,-29.25
0,0,-28.75
0,0,-28.25
0,0,-27.75
0,0,-27.25
0,0,-26.75
0,0,-26.25
0,0,-25.75
0,0,-25.25
0,0,-24.75
0,0,-24.25
0,0,-23.75
0,0,-23.25
0,0,-22.75
0,0,-22.25
0,0,-21.75
0,0,-21.25
0,0,-20.75
0,0,-20.25
0,0,-19.75
0,0,-19.25
0,0,-18.75
0,0,-18.25
0,0,-17.75
0,0,-17.25
0,0,-16.75
0,0,-16.25
0,0,-15.75
0,0,-15.25
0,0,-14.75
0,0,-14.25
0,0,-13.75
0,0,-13.25
0,0,-12.75
0,0,-12.25
0,0,-11.75
0,0,-11.25
0,0,-10.75
1,0.000210415570752236,-10.25
0,0,-9.75
0,0,-9.25
0,0,-8.75
0,0,-8.25
0,0,-7.75
0,0,-7.25
0,0,-6.75
0,0,-6.25
0,0,-5.75
0,0,-5.25
0,0,-4.75
1,0.000210415570752236,-4.25
0,0,-3.75
1,0.000210415570752236,-3.25
0,0,-2.75
0,0,-2.25
0,0,-1.75
2,0.000420831141504471,-1.25
0,0,-0.75
16,0.00336664913203577,-0.25
4606,0.969174118884797,0.25
2990,0.629142556549185,0.75
1283,0.269963177275118,1.25
341,0.0717517096265124,1.75
134,0.0281956864807996,2.25
40,0.00841662283008943,2.75
35,0.00736454497632825,3.25
22,0.00462914255654918,3.75
8,0.00168332456601789,4.25
8,0.00168332456601789,4.75
4,0.000841662283008943,5.25
3,0.000631246712256707,5.75
1,0.000210415570752236,6.25
1,0.000210415570752236,6.75
0,0,7.25
1,0.000210415570752236,7.75
0,0,8.25
1,0.000210415570752236,8.75
0,0,9.25
2,0.000420831141504471,9.75
0,0,10.25
0,0,10.75
2,0.000420831141504471,11.25
