"GFP-A","Nile Red-A"
411,751
617,485
483,752
296,631
251,445
369,606
240,370
484,583
315,635
329,721
637,753
322,456
738,614
356,757
252,579
342,757
293,675
248,447
525,746
266,533
491,410
489,607
305,500
665,761
276,593
243,376
263,564
373,714
256,372
261,395
503,500
298,666
291,664
296,355
339,641
339,677
391,647
256,560
668,794
324,530
356,599
270,611
248,529
597,538
346,668
270,428
583,713
469,727
262,585
633,704
264,502
269,410
354,496
290,550
265,666
606,792
618,637
514,680
260,358
665,675
679,626
666,800
674,612
286,334
535,513
281,659
681,694
257,513
311,352
312,573
286,559
270,391
303,700
289,456
466,688
432,729
256,523
543,606
480,623
247,448
680,583
477,693
539,739
638,723
277,335
356,513
400,692
431,588
242,551
250,376
565,712
254,569
370,692
475,664
452,337
491,592
546,514
493,370
320,694
279,625
534,440
632,742
641,696
669,720
666,697
259,353
441,337
263,581
453,514
290,621
493,526
296,694
586,705
262,530
340,655
647,609
587,776
617,683
366,599
267,625
534,463
260,555
456,726
488,432
291,695
331,638
360,372
626,745
259,385
269,588
326,569
607,513
387,445
497,739
466,635
636,703
311,659
393,339
331,651
255,340
245,517
275,678
448,769
714,719
249,386
259,432
461,540
255,333
245,366
244,351
343,663
426,741
239,555
541,560
613,648
573,722
346,510
347,483
397,571
261,472
336,663
255,604
343,671
419,779
503,743
242,460
386,612
279,370
379,696
506,781
242,351
507,527
553,624
691,728
258,556
402,722
409,580
343,378
372,715
298,350
244,349
383,716
239,401
581,737
548,460
720,662
317,585
323,681
474,777
474,693
267,593
310,424
492,588
621,595
618,761
332,524
581,670
261,423
263,558
365,652
633,699
289,692
273,601
667,622
470,751
341,527
269,594
342,687
587,683
266,547
461,426
371,754
249,490
294,675
582,701
259,590
505,641
263,605
290,434
290,667
239,350
366,755
404,720
250,416
321,686
267,637
262,646
279,605
268,487
248,407
381,346
319,713
491,481
321,675
240,447
671,662
336,387
269,629
241,420
577,700
307,670
282,435
362,704
310,466
382,764
474,695
259,444
291,596
345,686
251,452
279,670
280,511
417,567
286,511
598,776
609,714
279,622
284,658
657,578
262,649
266,533
385,694
326,699
340,397
258,358
586,534
242,393
260,454
257,579
369,723
694,657
589,702
378,711
246,378
472,715
592,655
268,625
329,679
256,511
297,504
536,522
664,576
252,456
297,623
322,658
248,515
237,420
279,606
248,424
523,735
386,672
592,606
551,417
309,644
686,631
262,422
540,593
259,527
336,465
249,503
529,700
301,693
511,689
405,701
277,479
314,730
285,537
360,682
341,440
288,658
382,365
424,724
474,763
702,683
617,558
316,446
351,341
380,725
394,693
277,709
277,596
284,484
619,582
411,483
685,675
253,418
633,657
625,558
242,425
257,405
277,593
532,669
300,375
301,395
247,545
715,702
255,506
252,590
276,622
449,497
740,639
283,331
265,429
250,581
668,668
241,372
267,641
630,649
291,644
558,767
342,628
242,346
281,533
261,472
292,698
683,627
276,358
625,787
667,705
272,632
406,455
258,544
297,569
395,711
737,646
314,680
391,730
692,727
300,656
416,694
516,706
701,707
263,459
461,741
603,762
283,559
630,738
271,647
257,488
356,717
346,636
381,745
669,712
257,504
305,421
317,607
386,631
575,750
253,397
390,724
248,378
664,742
249,456
291,615
332,583
260,574
301,404
643,670
732,663
503,713
341,729
488,531
278,593
307,446
499,757
630,740
271,586
265,605
342,316
267,593
292,366
311,625
547,716
285,449
272,510
408,708
688,712
437,760
249,347
419,645
704,724
664,753
356,353
287,648
266,497
243,407
337,620
244,457
535,757
299,655
369,648
296,402
257,535
326,324
322,319
246,375
279,597
709,727
304,581
266,578
265,481
313,499
364,694
554,778
274,501
392,748
400,708
410,445
478,724
375,608
284,649
587,564
453,676
324,581
712,689
255,516
659,642
339,683
251,402
373,686
247,341
284,654
418,723
527,657
444,732
347,699
275,599
282,525
256,529
299,699
384,688
251,388
358,723
315,675
352,310
453,493
435,645
253,463
278,583
295,703
584,697
624,647
263,349
516,638
273,633
530,555
584,638
627,724
333,457
500,669
424,377
336,686
253,514
360,684
305,641
248,540
475,461
371,577
288,606
254,564
629,666
661,781
264,390
346,418
553,713
571,596
715,662
295,539
308,753
243,587
245,339
457,745
681,768
260,381
374,364
377,656
255,510
257,397
265,493
247,501
285,670
360,409
280,582
611,752
292,677
518,731
735,666
266,626
269,634
370,704
304,622
629,760
333,454
590,664
571,666
307,683
251,569
252,554
267,605
682,728
484,632
518,663
603,662
413,555
320,632
236,339
617,736
341,673
277,396
415,776
238,447
285,646
487,493
415,444
326,678
261,570
310,707
344,544
271,592
268,482
312,652
716,604
299,659
250,491
238,559
250,404
254,373
340,706
711,628
592,616
283,666
274,410
424,692
360,712
256,492
520,727
481,713
240,395
247,605
275,690
585,731
502,534
538,694
499,535
252,393
281,499
274,636
293,552
274,630
343,598
339,491
450,687
455,456
278,659
426,413
254,403
246,400
289,638
330,624
252,445
317,579
326,684
647,744
368,431
616,757
245,437
499,678
316,465
303,510
267,587
518,677
295,663
342,578
507,727
609,785
665,777
255,387
254,424
679,640
268,504
412,676
261,552
388,402
525,702
293,671
277,430
275,489
320,465
370,666
390,629
278,665
587,526
267,353
276,540
411,520
401,695
375,751
342,753
556,735
314,645
400,611
561,768
247,428
416,620
492,719
281,680
665,725
397,481
728,667
575,730
722,663
293,558
270,520
273,651
261,348
280,654
338,715
245,437
440,725
254,620
417,701
330,662
570,738
251,576
334,686
295,659
256,469
247,403
262,585
261,574
318,445
262,515
623,613
654,773
523,737
253,546
364,672
336,368
285,482
395,654
328,557
721,697
256,494
454,621
258,499
308,622
444,504
303,680
315,398
293,590
583,543
289,376
272,402
300,580
252,426
390,728
625,623
269,612
507,600
714,663
247,558
452,776
458,540
428,773
608,638
347,404
342,549
289,587
548,679
289,682
462,578
241,399
724,658
380,739
422,778
321,686
310,640
249,548
327,676
265,631
262,497
308,559
565,582
309,400
296,660
338,458
725,672
375,747
287,631
252,451
270,363
403,501
305,655
359,657
251,361
677,592
301,635
374,748
273,615
394,779
304,677
300,504
437,730
617,727
591,740
318,505
566,772
335,675
256,432
629,716
252,537
283,333
323,647
263,500
471,462
566,671
350,621
453,700
590,781
329,464
328,691
552,453
431,662
623,655
484,749
255,419
479,563
365,650
412,705
246,392
340,613
319,449
348,595
534,734
533,618
633,661
334,725
241,371
629,713
699,729
254,449
349,613
278,688
610,786
420,494
260,350
300,653
592,790
395,510
283,448
525,668
568,732
403,713
281,581
304,576
265,516
563,786
326,627
556,630
356,578
288,594
249,484
320,546
334,574
284,649
645,708
278,596
538,639
451,653
414,757
566,800
421,586
653,765
253,370
450,709
621,704
282,668
345,629
320,681
355,630
296,665
285,591
285,632
250,493
289,557
499,666
326,547
648,742
332,699
263,426
557,757
316,631
339,648
300,655
389,563
379,664
612,743
284,609
267,615
419,592
257,499
643,755
635,676
269,630
293,360
319,698
292,627
548,736
318,543
673,685
279,535
257,557
485,613
715,695
324,679
309,724
325,367
275,600
638,544
394,697
307,395
361,319
497,767
258,645
275,469
335,693
416,653
246,410
638,541
273,401
339,691
655,656
289,367
279,625
250,417
587,628
643,718
672,758
441,459
250,466
401,595
721,700
307,618
323,575
326,523
241,350
522,697
530,478
265,616
330,490
253,374
680,694
311,489
696,724
251,450
377,517
254,483
253,395
556,743
302,461
434,330
291,474
267,617
262,509
507,747
249,386
731,669
277,630
426,711
249,354
256,513
614,497
560,744
542,735
645,736
279,400
662,663
298,715
500,610
661,747
256,467
294,383
679,698
242,373
705,657
329,664
413,401
296,527
389,723
340,682
282,481
547,667
278,406
418,496
519,698
278,503
425,569
644,722
246,490
303,620
296,654
372,690
385,771
256,599
290,525
599,701
364,691
546,749
281,606
618,601
286,537
451,719
433,530
524,688
579,790
488,702
619,652
262,594
537,709
627,571
380,735
360,673
286,640
711,713
350,652
331,653
240,390
624,681
438,707
249,465
264,545
441,345
257,439
313,658
426,426
278,618
262,348
317,570
268,602
277,494
362,713
321,718
358,356
675,707
296,585
295,617
364,735
638,751
436,622
299,687
266,569
547,662
669,653
709,648
645,800
274,548
299,660
337,675
376,506
551,650
435,713
346,584
297,532
697,689
338,500
556,497
242,422
328,483
312,476
420,745
723,661
276,475
605,763
381,531
274,659
274,437
282,634
283,513
256,519
263,473
246,346
281,393
331,483
634,570
510,667
323,722
318,639
372,729
665,722
247,381
291,641
357,683
267,501
316,643
238,361
274,671
270,581
334,675
243,439
308,686
317,520
311,698
698,688
353,709
324,370
258,501
332,647
712,718
315,546
265,507
313,674
277,667
464,765
364,673
246,473
393,648
254,616
448,645
362,629
453,636
393,674
300,696
378,642
253,410
283,479
267,526
475,627
291,634
698,686
305,674
380,699
432,575
276,556
307,637
308,681
590,592
707,609
287,586
689,615
519,639
273,647
260,555
648,786
253,555
429,679
673,756
278,500
264,586
423,738
711,636
281,670
269,510
405,554
571,615
265,540
246,498
255,457
265,353
284,509
260,585
443,572
255,521
311,656
654,734
271,670
283,486
377,550
400,691
583,556
434,696
673,638
385,619
343,592
579,522
285,626
320,732
650,750
541,757
270,540
579,632
254,500
314,719
295,622
301,675
247,348
615,693
312,678
653,727
286,594
655,675
482,587
253,528
652,711
254,592
694,750
649,683
292,660
537,711
649,782
379,669
368,739
656,692
268,384
591,779
239,367
412,713
295,447
327,430
497,657
661,698
689,763
297,362
525,720
657,758
497,744
246,417
406,666
383,342
358,750
281,346
287,516
371,716
248,359
273,437
256,590
328,695
265,592
681,767
346,667
