"GFP-A","Nile Red-A"
255,433
362,661
602,738
356,651
302,329
263,445
243,469
362,763
271,509
258,371
297,387
555,689
260,622
334,710
262,452
497,769
356,751
292,508
420,678
317,329
563,693
263,603
255,320
276,516
682,766
258,609
371,698
247,521
269,316
471,715
432,711
636,764
259,582
378,700
662,778
604,726
288,625
261,493
471,702
258,422
242,491
309,383
357,694
247,361
285,658
421,569
363,667
286,513
354,515
336,736
450,418
249,405
360,722
241,563
678,629
573,803
401,521
527,601
280,357
279,312
271,534
463,396
292,332
247,604
268,595
571,515
295,522
387,708
321,340
283,649
275,507
272,371
266,399
639,719
272,682
693,724
277,669
275,647
261,560
288,717
257,479
578,659
262,434
382,527
356,645
252,572
512,743
387,766
316,675
440,722
697,692
263,546
310,390
245,339
293,642
285,681
643,568
277,312
445,663
320,348
469,598
473,680
503,515
319,477
460,653
435,640
256,394
482,433
650,563
329,719
361,390
268,535
266,605
263,569
271,624
273,335
704,728
246,575
428,431
284,664
655,622
286,683
662,577
623,805
256,487
488,629
325,610
302,316
262,646
682,791
352,745
625,681
674,606
313,680
677,713
445,754
254,510
309,714
297,543
246,387
557,575
411,725
260,432
518,617
303,684
251,365
666,718
251,479
325,696
644,637
247,356
696,564
668,556
672,652
403,641
275,671
307,329
537,778
281,502
318,443
246,468
421,596
500,644
365,724
332,687
435,627
327,686
630,673
378,689
259,395
468,618
324,610
244,409
338,653
269,644
261,353
266,389
272,324
472,735
290,721
275,335
312,671
489,714
246,459
289,608
342,680
461,473
271,677
632,688
252,525
259,597
285,652
710,642
411,607
492,735
276,359
301,326
259,467
307,708
256,502
253,370
484,603
247,459
275,442
314,389
359,632
288,301
395,635
313,570
491,758
265,553
307,710
667,772
242,395
278,502
251,490
307,598
404,583
262,324
359,696
624,609
436,596
269,579
242,436
677,627
258,452
402,652
257,344
284,659
541,659
632,700
309,429
301,531
259,533
247,530
707,649
389,644
263,637
626,563
380,350
244,407
249,509
590,606
345,468
439,748
308,697
689,771
541,688
661,707
663,724
503,517
308,621
724,664
457,576
329,720
330,713
584,741
394,526
320,703
267,499
251,401
340,319
311,658
667,806
308,563
398,499
701,701
297,675
297,691
645,648
270,560
649,643
382,761
727,646
258,607
336,703
269,563
491,642
352,708
499,793
494,752
655,670
263,639
292,626
259,439
250,330
561,702
262,660
553,586
686,708
240,337
644,751
270,544
