"GFP-A","Nile Red-A"
732,802
534,729
383,332
605,766
620,631
708,674
417,692
748,826
661,671
508,748
356,526
342,642
771,712
385,567
536,714
436,653
574,660
630,747
525,617
420,540
507,790
453,674
643,676
401,478
667,603
339,700
765,725
342,475
770,694
552,544
368,357
671,640
699,727
340,457
392,495
347,550
525,633
484,645
665,780
583,511
733,783
548,395
547,644
378,361
626,678
694,699
402,574
706,788
711,737
547,674
654,739
598,725
613,718
698,689
745,780
363,635
628,689
427,302
754,762
460,723
732,800
763,747
735,746
639,713
777,777
696,757
342,623
402,499
658,714
718,702
583,653
497,659
441,661
767,820
709,755
341,674
630,800
558,432
646,675
752,660
332,608
789,769
526,549
714,665
552,747
778,775
396,729
744,722
680,718
378,639
776,815
354,649
684,647
669,808
721,743
746,774
533,428
431,602
339,646
795,744
423,634
757,733
756,757
500,723
790,762
777,687
740,617
630,637
593,662
617,750
590,666
692,774
394,503
415,685
623,752
407,713
464,400
573,545
376,590
513,683
537,570
587,637
679,676
367,522
390,528
388,688
408,596
395,758
618,699
332,293
500,342
665,747
341,571
365,722
652,640
548,770
506,729
434,594
771,782
360,459
371,704
803,765
538,689
524,550
573,587
664,630
444,629
403,648
394,680
594,800
397,709
749,750
681,756
359,455
498,605
506,782
372,315
603,477
794,739
781,799
767,788
383,700
467,682
766,711
536,668
712,820
390,677
367,727
772,704
386,310
460,548
546,714
544,695
645,617
339,661
516,636
351,633
492,579
737,730
515,712
749,757
800,735
565,620
469,709
334,673
672,670
727,680
748,688
339,352
799,778
390,670
563,481
482,748
338,727
353,680
334,724
464,694
664,784
642,734
415,735
387,674
430,557
407,525
563,734
442,759
775,774
373,370
686,751
404,540
580,732
712,687
678,756
332,691
786,776
692,672
521,521
629,614
622,680
379,426
335,552
430,758
704,739
696,618
423,672
682,725
707,716
629,603
402,547
549,725
374,320
706,780
583,627
354,734
761,787
580,544
425,673
511,642
536,595
515,711
598,796
352,691
654,598
392,638
519,443
717,717
570,651
342,602
526,474
708,757
383,658
504,630
730,713
762,785
763,818
664,733
492,735
496,688
504,338
407,559
437,339
397,509
441,496
731,644
748,758
338,387
709,731
715,722
476,631
487,737
513,459
634,533
446,630
354,573
482,582
353,706
344,570
557,663
411,761
718,770
344,557
336,533
605,679
340,704
719,726
632,712
474,656
689,635
775,784
553,558
357,638
665,722
475,727
338,698
431,591
472,772
696,640
344,684
738,769
797,776
640,731
660,652
393,677
490,703
555,616
368,523
371,490
424,668
344,636
454,427
704,690
361,739
403,580
632,732
500,524
561,683
731,705
498,436
796,742
791,711
763,684
401,607
480,723
431,371
656,767
360,729
770,763
511,700
513,774
372,629
419,646
705,646
437,390
666,650
409,749
634,640
766,784
351,723
624,653
509,724
365,629
426,694
332,697
645,747
360,667
686,683
682,758
482,367
345,321
380,692
638,634
803,778
371,277
356,635
424,719
650,594
601,728
382,557
413,711
659,727
680,658
457,521
329,457
694,687
592,511
583,690
521,512
611,671
675,710
681,670
450,743
516,508
427,762
345,443
746,713
381,652
606,686
636,643
473,626
513,635
485,619
636,739
563,730
410,319
643,643
659,648
428,678
551,764
336,675
396,554
709,697
654,709
505,634
636,734
513,669
477,705
346,309
500,728
695,653
575,420
755,810
693,784
497,693
561,673
471,361
754,758
456,728
440,525
476,529
660,599
340,575
703,724
486,585
470,572
330,393
565,661
349,676
627,571
408,711
770,764
644,776
519,487
360,653
630,725
657,714
746,738
343,628
803,776
618,568
341,717
615,685
469,593
714,734
567,415
485,551
389,715
630,511
646,551
610,789
527,629
768,747
424,385
724,651
351,673
666,747
602,698
342,618
700,796
356,720
344,649
423,651
748,665
607,669
567,679
691,679
514,565
382,430
537,714
541,635
340,692
508,339
342,593
689,687
607,734
376,720
582,553
338,397
525,733
480,614
364,695
817,740
740,787
429,430
779,761
729,736
727,682
735,747
673,734
737,770
708,822
352,451
395,729
760,808
388,648
601,648
447,699
391,376
376,504
354,687
744,705
711,749
641,701
376,566
518,687
630,617
447,395
486,494
629,728
581,705
435,692
661,776
688,592
665,721
682,754
448,641
542,578
697,759
642,741
733,791
479,719
602,654
709,646
778,786
792,766
608,589
706,652
528,708
642,719
340,405
763,712
711,631
628,714
490,720
329,402
574,690
347,511
657,648
333,699
460,410
346,299
759,755
611,702
411,573
734,770
434,651
530,455
684,636
780,747
610,715
449,620
527,422
331,409
347,399
726,748
402,762
356,718
738,682
488,722
347,617
608,692
490,491
650,661
435,595
429,506
765,767
601,492
407,561
699,692
738,758
456,561
351,676
690,602
716,655
409,648
526,648
668,724
751,734
495,678
746,695
687,720
341,675
392,278
591,675
729,736
609,612
454,454
690,768
374,719
761,821
514,590
719,752
381,684
339,721
508,439
665,716
505,742
735,703
377,633
721,697
353,719
774,775
595,747
580,738
711,751
758,696
709,673
601,656
650,664
533,360
371,593
499,773
642,675
699,695
389,723
360,707
480,783
597,636
332,656
680,650
661,780
600,732
455,692
514,664
539,519
333,608
352,632
466,389
454,758
406,677
789,784
624,728
566,623
404,731
740,741
346,700
609,615
786,797
455,366
368,721
499,726
341,716
591,718
422,672
565,723
772,778
589,442
572,511
618,625
676,628
490,487
760,749
694,753
409,698
693,631
419,447
341,276
696,827
513,633
446,742
401,679
503,660
391,371
660,729
411,573
333,755
346,523
701,648
674,769
452,614
465,570
445,736
550,436
365,696
497,639
493,536
790,792
521,741
728,607
576,568
414,659
458,450
710,745
703,730
658,742
485,614
623,705
783,773
423,661
719,774
647,734
387,730
711,739
474,765
560,672
345,649
397,732
371,618
408,284
452,692
573,707
417,686
355,280
608,675
488,387
478,690
365,755
502,715
592,503
390,612
378,554
538,660
504,647
505,417
384,699
493,765
370,729
459,696
658,722
420,667
459,611
698,746
617,593
772,748
713,731
335,375
488,600
626,740
401,551
702,722
705,699
718,712
706,683
641,712
559,616
731,666
341,598
715,699
506,721
700,679
639,683
343,536
626,734
472,707
361,699
573,740
663,608
742,677
368,704
505,578
736,700
456,669
424,659
715,740
784,714
532,732
368,584
538,728
529,707
690,627
403,591
544,688
638,646
802,712
784,770
524,427
731,694
490,643
697,679
386,423
628,669
630,758
363,741
388,743
660,707
472,613
703,598
666,702
360,613
404,688
425,636
541,597
401,713
549,670
520,710
679,628
361,328
358,287
388,718
518,709
743,809
597,621
375,746
476,499
613,471
393,642
408,696
757,794
723,678
726,682
492,593
660,703
553,731
330,489
377,730
703,774
746,801
691,673
695,661
494,712
465,414
460,582
380,597
649,711
593,527
361,733
586,579
408,720
603,736
744,745
427,539
709,732
554,627
641,628
609,758
555,564
620,603
361,749
635,707
585,570
642,599
706,620
501,697
483,380
355,418
728,728
732,718
655,703
702,730
471,554
380,583
476,710
662,612
474,713
778,805
457,702
700,733
628,497
769,780
451,719
720,734
739,748
610,689
473,519
614,733
347,276
757,723
339,406
547,715
748,777
675,780
473,728
675,738
599,572
810,726
673,697
471,632
586,654
673,761
690,689
781,787
596,685
450,293
586,689
620,693
487,734
437,594
727,725
722,729
773,760
649,689
547,463
407,310
807,765
657,670
779,744
734,750
630,625
427,497
352,444
443,776
649,735
494,697
526,643
422,708
785,767
755,691
376,694
471,665
489,469
576,622
477,406
559,513
465,709
384,691
513,672
341,731
762,770
679,770
651,695
669,529
758,751
581,506
348,373
341,724
501,735
608,775
481,316
675,738
628,734
641,582
358,673
513,780
506,673
601,601
616,707
344,597
356,670
524,407
475,736
655,725
699,712
343,697
758,782
373,324
376,678
717,697
440,636
475,697
790,775
386,757
702,770
425,576
347,678
683,619
617,508
518,739
622,552
344,711
546,657
800,778
336,735
609,767
358,293
557,609
522,618
408,698
412,595
539,627
549,668
351,751
562,752
419,703
588,716
770,781
750,667
723,734
515,480
682,699
720,745
401,749
529,502
621,787
458,572
771,801
606,674
665,780
635,667
788,734
436,751
627,538
730,652
721,742
799,755
735,809
540,631
462,697
758,669
575,674
330,505
719,688
766,746
776,723
713,692
505,697
435,749
340,620
381,573
640,629
580,492
448,531
338,648
358,671
341,268
329,348
330,437
469,410
471,773
499,332
339,660
568,597
716,724
741,651
362,538
780,769
346,750
783,734
748,759
568,707
559,670
477,608
530,707
388,459
749,726
772,786
742,783
738,818
743,757
756,807
616,735
749,754
329,397
363,732
700,629
558,720
496,612
615,794
420,418
346,680
676,754
348,676
386,718
693,768
745,711
337,736
377,643
769,736
604,566
671,734
366,571
502,531
353,726
724,795
471,548
519,696
511,468
729,686
381,732
464,678
513,523
783,724
758,779
592,652
536,602
655,688
754,722
536,740
625,666
354,463
635,683
417,649
574,671
418,710
790,794
789,746
431,459
589,630
513,458
701,759
614,642
539,728
705,803
534,425
447,735
537,694
454,689
750,719
414,696
354,585
560,742
689,733
720,724
727,672
485,562
738,687
341,729
428,734
339,602
736,723
723,749
665,800
469,629
685,702
345,472
401,744
667,729
658,726
571,574
652,716
335,632
428,686
571,693
668,703
493,594
612,675
621,665
749,800
580,627
354,696
430,346
338,723
383,420
465,687
332,712
726,748
622,732
424,664
622,573
678,724
376,668
426,664
585,647
331,487
333,601
688,620
659,771
599,491
415,654
643,696
608,714
340,435
722,800
788,756
563,550
611,553
447,740
517,571
589,675
494,586
375,436
555,774
660,593
366,725
779,761
438,743
733,668
771,758
436,711
623,557
432,400
662,548
655,555
654,689
391,741
377,705
758,751
551,712
453,430
705,736
430,646
374,540
342,648
670,776
437,623
663,761
709,750
709,638
360,520
559,698
333,573
396,634
477,630
550,649
708,721
598,740
613,520
364,615
395,559
365,692
446,741
495,366
404,712
354,552
720,675
458,559
412,675
670,601
348,424
