"GFP-A","Nile Red-A"
585,663
684,709
295,667
503,538
589,637
353,547
395,721
256,520
298,352
299,538
298,581
303,528
411,696
282,601
255,366
271,407
321,619
259,328
260,511
296,338
255,562
304,678
323,663
299,626
253,517
634,594
606,740
381,476
623,805
328,671
267,574
273,652
257,411
319,539
249,523
529,675
268,605
270,618
296,685
256,342
299,614
471,726
238,367
373,730
356,681
598,743
334,541
351,684
615,681
696,609
243,371
382,577
686,637
544,618
613,695
279,601
365,702
618,776
299,683
422,663
550,671
259,577
241,361
383,655
546,728
244,333
290,682
275,622
250,525
619,643
391,525
514,660
625,739
403,705
544,677
259,560
561,734
528,772
242,409
265,377
348,668
250,489
365,581
434,736
669,769
555,608
276,611
240,352
699,649
708,693
319,710
540,711
547,750
296,676
413,704
448,621
291,656
336,591
269,597
660,767
391,724
274,582
365,757
457,694
669,615
398,685
306,668
461,473
252,512
277,406
631,795
320,603
242,367
268,576
361,716
270,575
630,712
252,582
287,441
548,729
652,624
316,676
504,664
283,666
524,534
567,405
250,468
263,611
271,450
366,342
297,645
654,652
262,333
280,659
254,471
691,692
583,746
271,558
512,609
327,651
577,570
271,356
259,545
393,431
266,545
274,575
244,401
386,453
272,605
315,654
528,673
259,503
457,729
407,532
358,519
362,593
303,620
259,546
292,371
295,635
454,666
439,709
697,706
378,402
354,354
306,660
434,517
294,598
598,609
391,735
576,645
351,357
333,658
248,514
330,370
645,656
474,542
250,409
391,561
356,627
428,734
629,768
248,443
239,396
273,530
510,741
281,640
288,697
717,687
514,657
619,577
312,432
272,581
272,618
366,366
329,667
498,668
286,655
298,398
263,397
292,569
665,695
426,720
269,583
281,651
366,583
268,656
279,581
270,610
530,621
372,646
258,562
517,716
674,758
263,452
333,702
240,361
422,597
324,664
262,521
257,514
466,505
671,701
693,610
439,438
379,369
246,411
530,626
594,774
377,524
399,557
492,685
468,714
329,598
247,424
240,416
240,461
496,389
519,565
582,621
612,560
467,658
255,556
301,711
301,660
508,723
579,740
303,515
428,734
504,723
243,440
441,675
249,556
279,592
335,708
696,703
445,615
375,407
253,466
274,578
531,381
297,638
382,454
574,679
595,619
405,645
261,344
384,409
716,668
501,708
427,659
275,625
540,644
593,733
647,681
326,668
640,691
689,612
325,633
374,437
277,585
280,533
303,701
246,504
374,677
276,623
282,669
289,505
337,565
359,714
307,353
375,608
270,489
273,655
276,624
316,388
343,683
436,485
249,333
326,680
676,602
378,701
281,664
687,693
431,394
521,524
354,710
452,641
286,664
288,593
268,577
261,444
376,727
257,620
398,521
255,558
280,634
510,372
372,648
253,411
246,464
461,731
287,651
594,767
325,632
294,657
340,644
328,691
316,650
266,629
665,665
329,707
334,610
268,522
684,619
249,494
651,584
613,634
246,430
249,449
273,607
345,669
697,592
393,354
608,703
236,358
423,683
342,689
347,340
337,598
288,675
