"counts","density","mids"
3,0.00199856103605404,0.3325
15,0.0099928051802702,0.3375
34,0.0226503584086124,0.3425
29,0.0193194233485224,0.3475
40,0.0266474804807205,0.3525
52,0.0346417246249371,0.3575
72,0.0479654648652969,0.3625
116,0.0772776933940895,0.3675
128,0.0852719375383057,0.3725
171,0.11391797905508,0.3775
233,0.155221573800197,0.3825
331,0.220507900977962,0.3875
496,0.330428757960935,0.3925
721,0.480320835664987,0.3975
982,0.654195645801689,0.4025
1404,0.93532656487329,0.4075
1789,1.19180856450023,0.4125
2330,1.55221573800197,0.4175
2674,1.78138407013617,0.4225
3187,2.12313800730141,0.4275
3523,2.34697684333949,0.4325
3865,2.57481280144962,0.4375
4241,2.82529911796839,0.4425
4259,2.83729048418472,0.4475
4425,2.94787752817971,0.4525
4635,3.08777680070349,0.4575
4593,3.05979694619873,0.4625
4593,3.05979694619873,0.4675
4567,3.0424760838863,0.4725
4399,2.93055666586724,0.4775
4230,2.8179710608362,0.4825
4260,2.83795667119674,0.4875
4064,2.70738401684121,0.4925
4228,2.81663868681216,0.4975
3553,2.3669624537,0.5025
3718,2.47688331068297,0.5075
3580,2.38494950302449,0.5125
3388,2.25704159671703,0.5175
3376,2.24904735257281,0.5225
3352,2.23305886428438,0.5275
3036,2.02254376848669,0.5325
3132,2.08649772164042,0.5375
2850,1.89863298425134,0.5425
2980,1.98523729581368,0.5475
2825,1.88197830895089,0.5525
2823,1.88064593492685,0.5575
2709,1.8047006155568,0.5625
2627,1.75007328057132,0.5675
2606,1.73608335331898,0.5725
2522,1.68012364430939,0.5775
2407,1.60351213792739,0.5825
2442,1.62682868334795,0.5875
2407,1.60351213792739,0.5925
2528,1.6841207663815,0.5975
2300,1.53223012764146,0.6025
2292,1.52690063154525,0.6075
2279,1.51824020038909,0.6125
2336,1.55621286007408,0.6175
2321,1.54622005489381,0.6225
2197,1.46361286540357,0.6275
2217,1.47693660564394,0.6325
2151,1.43296826285075,0.6375
2160,1.43896394595891,0.6425
2159,1.43829775894689,0.6475
2097,1.39699416420177,0.6525
2165,1.442294881019,0.6575
2100,1.39899272523783,0.6625
2031,1.35302582140858,0.6675
2080,1.38566898499747,0.6725
2020,1.34569776427639,0.6775
1961,1.30639273056732,0.6825
1924,1.28174381112269,0.6875
1960,1.30572654355528,0.6925
1950,1.29906467343515,0.6975
1840,1.22578410211312,0.7025
1860,1.23910784235353,0.7075
1831,1.21978841900495,0.7125
1806,1.20313374370456,0.7175
1737,1.15716683987526,0.7225
1747,1.16382870999549,0.7275
1740,1.15916540091132,0.7325
1747,1.16382870999549,0.7375
1687,1.12385748927436,0.7425
1858,1.2377754683295,0.7475
1683,1.12119274122632,0.7525
1675,1.11586324513017,0.7575
1754,1.1684920190796,0.7625
