"counts","density","mids"
0,0,0.3325
0,0,0.3375
0,0,0.3425
0,0,0.3475
0,0,0.3525
0,0,0.3575
0,0,0.3625
0,0,0.3675
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
0,0,0.4025
4,0.286020736503396,0.4075
14,1.00107257776189,0.4125
28,2.00214515552377,0.4175
26,1.85913478727208,0.4225
32,2.28816589202717,0.4275
50,3.57525920629249,0.4325
45,3.21773328566321,0.4375
67,4.79084733643189,0.4425
58,4.14730067929925,0.4475
54,3.86127994279585,0.4525
70,5.00536288880943,0.4575
62,4.43332141580264,0.4625
63,4.50482659992849,0.4675
50,3.57525920629249,0.4725
52,3.71826957454415,0.4775
52,3.71826957454415,0.4825
50,3.57525920629245,0.4875
42,3.00321773328566,0.4925
44,3.14622810153736,0.4975
33,2.35967107615302,0.5025
37,2.64569181265642,0.5075
42,3.00321773328566,0.5125
40,2.86020736503396,0.5175
37,2.64569181265642,0.5225
25,1.78762960314623,0.5275
34,2.43117626027887,0.5325
33,2.35967107615302,0.5375
22,1.57311405076868,0.5425
30,2.14515552377547,0.5475
28,2.00214515552377,0.5525
25,1.78762960314623,0.5575
22,1.57311405076868,0.5625
26,1.85913478727208,0.5675
28,2.00214515552382,0.5725
17,1.21558813013941,0.5775
24,1.71612441902042,0.5825
26,1.85913478727203,0.5875
18,1.28709331426531,0.5925
23,1.64461923489449,0.5975
15,1.07257776188776,0.6025
23,1.64461923489449,0.6075
19,1.35859849839116,0.6125
25,1.78762960314623,0.6175
20,1.43010368251698,0.6225
21,1.50160886664283,0.6275
21,1.50160886664283,0.6325
18,1.28709331426528,0.6375
14,1.00107257776189,0.6425
24,1.71612441902038,0.6475
19,1.35859849839113,0.6525
25,1.78762960314623,0.6575
18,1.28709331426528,0.6625
12,0.858062209510189,0.6675
18,1.28709331426528,0.6725
10,0.715051841258491,0.6775
18,1.28709331426528,0.6825
24,1.71612441902042,0.6875
17,1.21558813013941,0.6925
18,1.28709331426531,0.6975
13,0.929567393636017,0.7025
23,1.64461923489456,0.7075
18,1.28709331426525,0.7125
22,1.57311405076871,0.7175
21,1.5016088666428,0.7225
12,0.858062209510208,0.7275
17,1.21558813013941,0.7325
14,1.00107257776191,0.7375
11,0.786557025384322,0.7425
18,1.28709331426531,0.7475
11,0.78655702538434,0.7525
13,0.929567393636038,0.7575
11,0.78655702538434,0.7625
12,0.858062209510189,0.7675
7,0.500536288880943,0.7725
9,0.643546657132642,0.7775
16,1.14408294601359,0.7825
18,1.28709331426528,0.7875
18,1.28709331426528,0.7925
8,0.572041473006793,0.7975
20,1.43010368251698,0.8025
7,0.500536288880943,0.8075
11,0.786557025384357,0.8125
14,1.00107257776186,0.8175
10,0.715051841258507,0.8225
11,0.786557025384322,0.8275
9,0.643546657132656,0.8325
8,0.57204147300678,0.8375
14,1.00107257776191,0.8425
16,1.14408294601356,0.8475
11,0.786557025384357,0.8525
9,0.643546657132627,0.8575
14,1.00107257776191,0.8625
11,0.786557025384322,0.8675
17,1.21558813013946,0.8725
13,0.929567393636017,0.8775
20,1.43010368251701,0.8825
7,0.500536288880932,0.8875
7,0.500536288880955,0.8925
17,1.21558813013941,0.8975
8,0.572041473006805,0.9025
11,0.786557025384357,0.9075
9,0.643546657132627,0.9125
13,0.929567393636058,0.9175
8,0.57204147300678,0.9225
13,0.929567393636058,0.9275
12,0.85806220951017,0.9325
9,0.643546657132656,0.9375
6,0.429031104755085,0.9425
8,0.572041473006805,0.9475
7,0.500536288880932,0.9525
9,0.643546657132656,0.9575
13,0.929567393636017,0.9625
7,0.500536288880955,0.9675
9,0.643546657132627,0.9725
7,0.500536288880955,0.9775
9,0.643546657132627,0.9825
3,0.214515552377552,0.9875
8,0.57204147300678,0.9925
13,0.929567393636058,0.9975
9,0.643546657132627,1.0025
4,0.286020736503403,1.0075
12,0.85806220951017,1.0125
7,0.500536288880955,1.0175
13,0.929567393636017,1.0225
8,0.572041473006805,1.0275
6,0.429031104755104,1.0325
6,0.429031104755085,1.0375
7,0.500536288880955,1.0425
4,0.28602073650339,1.0475
6,0.429031104755104,1.0525
10,0.715051841258475,1.0575
6,0.429031104755104,1.0625
2,0.143010368251695,1.0675
10,0.715051841258507,1.0725
11,0.786557025384322,1.0775
8,0.572041473006805,1.0825
9,0.643546657132627,1.0875
3,0.214515552377552,1.0925
6,0.429031104755085,1.0975
9,0.643546657132656,1.1025
6,0.429031104755085,1.1075
7,0.500536288880955,1.1125
4,0.28602073650339,1.1175
3,0.214515552377552,1.1225
3,0.214515552377542,1.1275
