"counts","density","mids"
0,0,0.3325
0,0,0.3375
0,0,0.3425
0,0,0.3475
0,0,0.3525
0,0,0.3575
0,0,0.3625
0,0,0.3675
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
7,0.355962369692347,0.4025
9,0.45766590389016,0.4075
24,1.22044241037376,0.4125
35,1.77981184846173,0.4175
58,2.94940249173659,0.4225
56,2.84769895753877,0.4275
74,3.76303076531913,0.4325
82,4.16984490211034,0.4375
116,5.89880498347317,0.4425
98,4.98347317569285,0.4475
103,5.23773201118738,0.4525
120,6.1022120518688,0.4575
87,4.42410373760488,0.4625
109,5.54284261378082,0.4675
83,4.2206966692093,0.4725
74,3.76303076531909,0.4775
88,4.47495550470379,0.4825
78,3.96643783371472,0.4875
77,3.91558606661581,0.4925
63,3.20366132723112,0.4975
62,3.15280956013221,0.5025
58,2.94940249173659,0.5075
65,3.30536486142893,0.5125
54,2.74599542334096,0.5175
39,1.98321891685736,0.5225
50,2.54258835494533,0.5275
52,2.64429188914315,0.5325
41,2.08492245105517,0.5375
55,2.79684719043987,0.5425
55,2.79684719043987,0.5475
45,2.2883295194508,0.5525
41,2.08492245105517,0.5575
38,1.93236714975845,0.5625
37,1.88151538265955,0.5675
40,2.03407068395631,0.5725
24,1.22044241037373,0.5775
30,1.52555301296723,0.5825
41,2.08492245105513,0.5875
39,1.9832189168574,0.5925
28,1.42384947876935,0.5975
27,1.37299771167051,0.6025
28,1.42384947876935,0.6075
37,1.88151538265959,0.6125
32,1.62725654716501,0.6175
27,1.37299771167048,0.6225
26,1.32214594457157,0.6275
20,1.01703534197813,0.6325
19,0.966183574879226,0.6375
36,1.83066361556064,0.6425
28,1.42384947876939,0.6475
22,1.11873887617595,0.6525
30,1.5255530129672,0.6575
28,1.42384947876939,0.6625
21,1.06788710907704,0.6675
28,1.42384947876939,0.6725
31,1.57640478006611,0.6775
25,1.27129417747267,0.6825
35,1.77981184846177,0.6875
33,1.67810831426388,0.6925
24,1.22044241037379,0.6975
21,1.06788710907702,0.7025
24,1.22044241037379,0.7075
23,1.16959064327483,0.7125
25,1.27129417747269,0.7175
21,1.06788710907702,0.7225
24,1.22044241037379,0.7275
17,0.864480040681394,0.7325
15,0.762776506483617,0.7375
26,1.32214594457154,0.7425
13,0.661072972285801,0.7475
19,0.966183574879226,0.7525
13,0.661072972285786,0.7575
13,0.661072972285786,0.7625
22,1.11873887617595,0.7675
15,0.7627765064836,0.7725
17,0.864480040681413,0.7775
17,0.864480040681413,0.7825
20,1.01703534197813,0.7875
19,0.966183574879226,0.7925
21,1.06788710907704,0.7975
14,0.711924739384693,0.8025
18,0.91533180778032,0.8075
23,1.16959064327488,0.8125
21,1.06788710907702,0.8175
15,0.762776506483617,0.8225
15,0.762776506483583,0.8275
12,0.610221205186893,0.8325
18,0.915331807780299,0.8375
15,0.762776506483617,0.8425
15,0.762776506483583,0.8475
13,0.661072972285801,0.8525
16,0.813628273582488,0.8575
11,0.559369438087986,0.8625
15,0.762776506483583,0.8675
18,0.91533180778034,0.8725
6,0.305110602593433,0.8775
8,0.406814136791262,0.8825
15,0.762776506483583,0.8875
19,0.966183574879248,0.8925
5,0.254258835494528,0.8975
12,0.610221205186893,0.9025
11,0.559369438087986,0.9075
14,0.711924739384677,0.9125
7,0.355962369692354,0.9175
14,0.711924739384677,0.9225
8,0.406814136791262,0.9275
7,0.355962369692339,0.9325
13,0.661072972285801,0.9375
9,0.45766590389015,0.9425
11,0.559369438087986,0.9475
10,0.508517670989055,0.9525
2,0.101703534197816,0.9575
6,0.305110602593433,0.9625
8,0.406814136791262,0.9675
9,0.45766590389015,0.9725
9,0.45766590389017,0.9775
6,0.305110602593433,0.9825
3,0.152555301296723,0.9875
5,0.254258835494528,0.9925
10,0.508517670989078,0.9975
3,0.152555301296717,1.0025
9,0.45766590389017,1.0075
3,0.152555301296717,1.0125
10,0.508517670989078,1.0175
6,0.305110602593433,1.0225
8,0.406814136791262,1.0275
7,0.355962369692354,1.0325
4,0.203407068395622,1.0375
5,0.254258835494539,1.0425
2,0.101703534197811,1.0475
8,0.406814136791262,1.0525
3,0.152555301296717,1.0575
5,0.254258835494539,1.0625
4,0.203407068395622,1.0675
5,0.254258835494539,1.0725
5,0.254258835494528,1.0775
1,0.0508517670989078,1.0825
3,0.152555301296717,1.0875
1,0.0508517670989078,1.0925
5,0.254258835494528,1.0975
3,0.152555301296723,1.1025
6,0.305110602593433,1.1075
1,0.0508517670989078,1.1125
2,0.101703534197811,1.1175
1,0.0508517670989078,1.1225
0,0,1.1275
