"GFP-A","Nile Red-A"
518,752
338,542
434,758
685,816
592,788
673,749
347,645
615,829
398,600
366,748
422,768
671,801
702,825
361,550
567,822
561,847
566,701
541,632
584,774
664,782
424,653
454,804
597,802
395,667
372,717
520,694
608,660
483,748
341,815
544,787
353,792
702,749
400,740
560,736
584,857
539,692
594,720
611,831
473,741
652,833
619,728
557,786
417,732
336,621
370,492
324,806
532,815
463,554
716,818
393,626
328,742
561,735
609,838
523,763
522,754
677,749
565,738
476,633
621,825
651,822
583,803
674,820
331,785
427,540
336,386
341,690
399,435
371,726
504,680
659,818
471,605
570,794
589,816
418,519
379,771
370,756
500,720
351,801
598,768
581,813
359,683
711,832
355,590
324,759
364,576
356,700
337,661
462,672
508,749
442,520
497,767
364,535
657,824
370,651
617,785
634,860
572,668
613,775
666,723
546,780
482,655
550,768
553,625
452,705
478,815
394,429
399,671
422,617
325,781
556,844
698,783
516,715
720,819
593,812
526,815
581,741
686,711
633,758
585,680
658,841
577,772
498,559
372,722
562,798
661,818
393,500
577,833
573,859
460,765
463,746
643,708
362,783
540,724
557,802
425,763
442,543
698,795
607,751
533,753
362,831
554,813
470,703
352,670
570,756
593,695
562,840
574,712
716,846
390,674
328,785
519,833
325,575
682,820
425,555
329,284
398,549
360,758
574,733
399,774
551,722
404,640
673,793
429,731
385,709
645,774
537,577
502,743
667,820
690,837
547,685
626,813
638,773
564,798
430,759
394,663
610,782
578,775
642,756
330,757
667,803
648,777
326,648
725,797
646,813
341,728
672,817
572,695
566,638
634,640
505,685
515,788
330,444
622,797
463,579
617,699
706,852
345,596
675,816
468,748
497,773
330,577
568,808
345,449
344,821
532,654
663,818
417,773
716,828
661,795
365,685
343,650
693,866
647,729
523,791
508,658
333,589
363,658
636,806
719,840
535,772
616,783
613,811
329,721
442,690
672,833
559,820
371,792
451,691
708,850
447,644
487,702
642,730
331,745
431,651
461,781
561,597
684,807
660,721
373,661
340,754
648,776
575,707
415,705
628,804
625,871
392,745
413,720
552,779
371,339
416,629
634,832
703,786
341,806
648,759
325,774
566,661
695,776
623,691
382,599
626,825
506,766
679,778
608,767
693,831
590,821
578,806
708,845
719,817
632,852
677,715
663,870
692,831
386,774
519,756
507,808
585,737
648,830
535,777
401,496
448,543
709,847
398,627
418,563
547,774
482,776
385,733
430,647
409,796
395,830
641,798
372,624
464,734
698,768
564,580
644,797
492,791
459,746
533,810
653,825
651,871
341,673
473,443
630,784
477,546
658,806
499,685
394,660
387,722
337,710
427,470
480,771
637,786
699,783
542,747
497,758
416,661
326,629
368,814
374,702
599,670
349,758
458,763
657,789
340,789
576,809
609,745
585,796
613,844
691,805
522,691
689,859
518,653
330,787
642,850
498,609
483,817
371,450
544,604
702,847
439,812
606,754
510,543
499,693
433,541
377,822
570,753
454,615
585,736
691,862
663,825
572,748
701,828
394,734
579,791
570,791
416,803
473,766
321,635
620,757
528,769
704,839
398,483
593,758
526,756
598,841
623,847
691,823
582,616
632,847
487,763
470,724
478,693
615,739
718,801
351,694
482,798
462,747
383,481
470,822
395,826
661,792
433,770
471,723
405,479
529,825
703,860
389,419
546,644
408,616
726,827
387,744
593,751
327,728
604,780
322,534
582,762
643,816
639,752
404,577
388,761
500,568
556,790
688,783
398,748
476,739
430,767
575,754
656,775
339,675
516,679
436,696
376,793
442,756
558,798
657,798
694,796
355,522
403,737
485,790
582,674
534,752
637,806
366,726
728,823
645,770
421,647
678,864
623,711
681,855
465,701
621,734
643,766
503,763
576,730
336,811
420,666
379,716
661,800
663,823
486,765
637,695
426,674
550,764
625,773
738,794
336,726
372,668
440,456
591,808
658,749
538,818
663,823
371,700
379,477
403,765
487,764
338,660
622,787
329,775
718,825
580,731
394,772
672,827
638,795
472,786
329,805
455,757
704,833
640,787
350,740
642,772
721,838
589,767
337,677
339,651
662,802
721,817
464,796
485,692
585,766
322,483
582,823
358,582
621,834
632,864
372,605
335,637
692,864
733,815
397,784
346,308
372,679
480,588
420,621
587,778
501,780
332,683
613,783
330,742
599,717
648,802
518,796
417,814
613,792
399,755
446,578
634,737
498,560
352,630
623,825
625,688
376,735
338,656
561,780
475,820
360,670
544,852
600,756
492,777
408,676
595,770
520,735
713,845
589,780
439,721
438,770
625,712
692,861
713,738
620,837
540,639
647,798
478,783
454,727
337,745
654,776
466,686
638,733
669,720
419,741
515,725
555,724
374,760
633,817
362,791
426,812
338,742
546,659
681,832
588,810
331,816
699,793
626,729
473,795
670,833
619,854
558,740
332,552
673,809
684,813
393,606
430,752
364,754
341,656
688,815
631,745
729,792
613,762
688,810
378,639
433,759
365,722
372,565
659,757
446,707
462,796
450,684
491,649
487,849
342,797
655,759
351,657
362,764
626,747
365,742
528,811
326,409
330,709
313,264
603,751
327,750
544,772
448,662
344,573
497,761
519,606
567,774
433,809
578,849
452,426
409,655
502,758
575,674
637,787
440,708
458,738
581,744
526,816
535,733
461,682
625,707
596,777
607,725
642,718
593,768
551,744
485,632
396,772
577,773
404,747
389,734
349,790
410,689
331,823
682,767
414,536
446,793
678,820
647,741
685,823
483,851
627,695
485,624
570,584
580,857
548,858
661,738
438,453
333,483
370,722
663,806
613,673
338,763
451,755
696,816
388,620
722,808
541,748
357,745
331,795
445,740
593,665
332,739
518,749
640,841
560,827
529,851
705,838
391,667
409,793
569,574
570,731
705,811
489,601
428,589
691,840
592,807
389,550
391,790
359,787
724,807
636,786
423,655
665,807
436,819
489,743
645,857
718,800
455,800
627,798
609,830
661,776
717,830
416,571
557,755
516,806
363,706
385,573
350,416
665,827
327,537
600,830
357,531
321,632
591,832
507,574
390,774
361,587
635,797
598,856
557,802
573,773
700,788
491,582
620,726
567,677
537,695
358,728
672,808
386,656
637,827
523,684
353,795
512,754
501,686
495,727
592,782
630,807
361,512
646,818
368,627
346,654
402,512
336,716
684,825
367,697
542,732
545,858
598,740
471,713
332,661
460,833
582,781
335,421
336,648
554,846
635,763
666,835
493,811
366,738
399,790
454,764
377,740
396,657
628,802
335,685
413,785
349,781
490,743
571,836
689,862
359,611
345,742
434,672
399,813
701,729
576,742
393,747
675,759
510,741
368,456
522,644
636,794
326,586
600,674
349,641
588,791
624,721
401,650
626,774
531,682
505,761
333,559
569,743
627,835
683,832
322,529
547,712
492,797
495,772
374,697
340,775
444,580
593,820
586,777
705,823
402,361
619,703
536,837
329,666
395,629
370,458
613,661
549,862
576,840
320,617
440,767
647,798
480,677
542,802
472,511
744,799
697,867
324,644
563,732
382,540
362,645
352,720
563,786
594,744
457,683
655,789
409,700
481,779
440,617
480,741
615,791
367,656
525,749
679,819
584,820
363,745
328,770
692,819
554,806
620,695
638,807
476,809
324,618
398,395
336,803
686,805
701,846
673,840
513,711
680,694
614,826
453,583
508,751
531,753
522,783
488,668
429,714
556,824
672,850
459,780
346,541
623,842
551,701
338,773
384,804
586,777
662,840
485,780
548,789
363,618
376,816
377,742
598,737
603,759
540,750
545,662
568,774
455,791
599,715
545,740
320,538
624,762
454,790
334,777
658,809
409,796
524,813
464,710
580,654
596,812
620,804
334,501
642,766
688,779
541,703
583,827
604,789
421,711
689,796
354,654
573,730
486,700
558,724
369,506
602,766
657,816
492,639
390,759
543,828
341,748
611,827
389,806
628,715
714,797
369,736
668,792
731,818
400,768
600,721
403,804
374,717
415,553
332,633
717,845
324,692
567,795
652,823
538,692
371,470
700,841
373,483
568,709
693,835
532,760
400,732
340,735
543,776
470,667
532,656
679,798
535,831
429,827
449,773
340,777
634,795
624,771
600,790
518,806
645,860
517,620
580,656
358,347
330,709
645,740
628,840
395,496
400,774
495,782
479,748
690,870
