"GFP-A","Nile Red-A"
372,832
635,737
523,694
631,753
348,727
463,602
563,741
325,732
632,813
395,794
487,685
459,536
494,608
683,813
536,745
644,643
474,672
550,612
596,771
569,588
343,393
421,735
685,827
551,824
600,755
596,795
445,682
426,715
522,671
504,673
500,648
679,797
472,669
515,798
520,710
445,704
381,763
591,512
323,583
367,780
340,686
610,744
528,783
333,707
618,794
613,804
461,761
439,717
632,729
507,674
415,472
349,711
650,797
491,427
618,804
431,615
594,788
372,349
658,764
568,683
688,800
591,802
332,812
448,685
637,816
327,735
627,812
708,786
594,701
321,594
423,762
319,614
344,631
547,687
346,575
364,516
652,705
512,707
325,782
621,844
589,814
553,655
683,827
572,644
682,819
473,752
634,798
637,766
624,783
326,788
403,616
340,525
634,796
393,716
461,774
557,765
436,794
415,749
354,771
547,749
324,292
674,821
338,795
696,800
545,793
376,697
458,813
315,454
482,854
330,667
530,763
427,681
601,682
473,727
479,840
324,763
443,613
573,776
348,507
638,801
596,832
359,774
675,765
656,748
352,615
589,761
362,720
601,753
379,685
329,607
341,805
437,723
342,298
373,704
338,703
367,674
697,793
661,807
634,756
650,690
603,702
657,726
649,787
374,771
573,693
551,726
495,785
341,762
449,787
568,771
469,672
409,591
440,785
607,749
367,829
595,647
440,718
535,737
602,775
318,358
572,700
656,827
412,742
655,738
640,849
490,722
498,798
690,821
554,774
613,672
320,431
342,553
410,645
417,453
323,740
554,665
317,795
329,754
537,757
463,654
394,664
325,523
370,638
329,804
515,857
348,476
401,726
379,795
616,753
502,781
609,690
388,555
540,735
630,748
558,699
337,709
622,785
508,564
416,831
330,422
393,684
690,778
663,843
681,819
405,716
413,659
368,665
326,652
479,635
542,710
317,744
332,820
707,808
346,410
664,828
398,641
386,572
473,606
415,739
634,768
600,834
647,748
536,825
323,490
609,821
420,837
516,513
602,740
618,780
628,801
390,758
364,635
617,818
415,351
480,644
313,428
448,708
559,811
633,728
666,793
358,563
373,545
400,601
631,807
610,591
367,634
343,592
577,805
683,804
643,756
566,609
339,758
595,792
355,673
321,826
418,590
406,754
583,751
455,733
365,713
512,480
587,790
659,813
315,595
338,820
420,805
455,477
532,442
683,773
466,785
560,754
551,750
342,784
472,827
634,811
402,807
326,786
331,699
626,797
444,786
509,681
679,786
364,753
321,703
526,734
672,833
369,670
369,638
692,806
477,629
585,755
570,769
647,763
379,825
401,574
395,759
349,566
578,760
329,524
358,824
664,775
417,809
509,647
583,680
501,829
611,694
670,822
456,653
552,763
385,677
536,660
555,853
586,744
414,626
445,711
640,691
558,771
699,779
345,588
529,819
329,802
319,690
610,768
682,821
522,621
628,773
474,726
561,687
589,725
620,806
365,662
511,666
675,630
409,770
476,665
495,771
433,794
678,648
396,777
513,640
578,794
452,812
550,641
566,752
314,770
359,667
337,766
481,611
696,819
584,793
320,763
412,690
452,786
313,737
374,799
324,722
693,822
407,719
696,786
490,801
689,813
534,779
360,769
471,671
487,468
520,626
382,748
639,869
636,779
614,748
367,731
471,679
587,718
519,699
331,698
599,730
577,799
464,813
622,758
648,808
630,743
584,718
408,571
480,618
324,571
557,829
624,790
328,709
424,718
331,777
312,521
395,552
345,750
502,775
365,765
481,739
605,680
340,762
473,785
635,690
314,742
543,703
682,792
466,647
544,662
362,761
679,746
646,807
443,552
388,763
403,734
315,581
411,380
437,809
450,550
665,790
513,749
660,814
687,827
593,634
563,695
524,850
452,700
627,825
541,462
463,843
328,644
411,751
347,715
677,807
530,688
415,808
545,829
652,783
677,830
547,773
530,807
594,741
522,771
474,687
328,561
374,822
474,795
587,663
346,757
444,760
350,291
393,754
508,770
537,777
382,596
605,650
513,790
468,700
463,632
649,835
454,643
614,771
673,840
622,762
585,814
471,767
419,366
372,553
356,721
484,774
541,717
313,570
437,625
590,809
452,556
473,674
449,635
357,394
322,718
672,849
517,682
605,791
686,659
462,844
671,757
599,836
554,677
391,705
532,719
465,642
384,727
485,674
655,821
558,729
675,777
363,747
668,805
512,682
328,645
591,788
347,758
644,788
370,699
536,745
320,756
487,762
319,785
317,810
564,814
356,771
443,617
333,662
353,599
563,667
691,767
590,663
441,707
479,627
575,717
499,835
438,770
576,763
325,721
520,748
318,814
619,773
489,713
361,633
349,802
321,803
531,713
319,307
552,779
325,730
618,768
573,732
386,576
498,816
549,740
366,724
576,729
578,843
593,758
