"GFP-A","Nile Red-A"
610,823
704,877
506,731
361,634
602,727
365,812
716,836
724,852
763,810
722,815
359,769
624,726
718,833
534,717
465,676
674,793
635,807
342,593
684,849
717,796
482,557
397,636
598,817
662,735
530,606
389,800
392,578
584,812
684,823
664,716
752,819
610,774
646,838
551,722
625,864
691,733
337,546
526,769
607,771
693,800
477,747
665,804
473,699
408,758
495,658
735,788
430,564
603,674
428,480
658,796
627,791
542,737
752,809
353,752
340,758
455,696
448,763
657,849
423,790
425,846
587,787
725,826
733,862
532,592
411,792
352,736
547,680
660,811
614,662
705,845
394,771
530,467
531,816
442,751
520,634
735,824
408,410
559,811
452,821
354,520
715,802
422,645
492,703
624,790
716,856
614,843
348,698
613,786
473,561
597,693
526,734
740,832
641,816
607,651
485,693
621,758
597,684
710,831
624,738
695,839
648,742
473,693
352,760
557,756
449,577
413,791
350,541
550,846
490,654
660,829
551,808
338,827
712,795
384,834
499,765
528,859
698,845
649,691
713,815
387,759
369,725
596,744
707,865
714,830
573,823
609,750
436,809
373,407
657,812
387,665
350,429
701,808
605,851
650,839
576,819
689,823
699,850
546,757
617,812
740,836
344,744
399,677
404,710
668,783
669,861
738,847
393,736
393,481
600,748
347,741
555,676
658,869
714,861
370,818
411,794
469,801
477,765
552,880
423,787
402,654
372,802
622,749
622,755
661,743
719,815
345,517
475,716
649,821
629,769
392,803
617,736
658,874
708,773
669,861
662,831
678,838
529,519
616,885
610,716
435,735
600,834
488,713
661,830
483,732
421,679
676,766
387,710
494,659
527,600
339,768
529,712
542,590
340,376
651,826
750,843
541,619
375,778
345,649
609,603
556,821
713,848
360,558
638,793
361,724
637,864
505,611
571,615
491,726
649,767
430,698
693,770
645,821
663,782
336,514
699,827
593,707
549,814
704,798
736,788
459,640
365,684
479,710
726,847
658,822
438,626
648,782
612,791
627,832
740,855
421,674
370,813
537,717
617,837
616,767
617,808
548,716
350,776
745,836
441,688
470,718
670,832
394,556
689,802
623,819
711,859
676,787
717,844
380,702
719,843
585,776
379,788
371,749
667,828
600,692
364,653
551,702
535,769
381,793
612,766
673,795
437,677
563,715
385,442
368,676
492,636
488,720
580,747
709,844
385,651
561,725
615,783
563,824
616,722
682,897
362,745
609,752
427,458
474,844
535,809
647,808
434,560
730,814
713,816
353,400
583,708
548,709
577,674
419,591
469,648
644,807
413,574
396,543
666,782
716,840
725,795
547,667
569,713
706,794
608,710
635,745
562,749
734,853
651,802
370,758
682,779
513,789
686,800
435,773
660,752
409,795
449,549
639,704
496,700
575,876
564,709
528,783
408,702
458,637
661,779
540,610
634,817
663,832
359,731
430,763
540,654
566,743
720,794
647,700
360,607
702,853
363,543
622,803
719,747
621,692
438,613
492,603
633,820
404,722
614,735
592,770
426,619
451,596
711,767
705,780
600,702
524,670
519,771
689,836
347,772
677,814
646,796
532,584
713,764
354,729
393,532
666,772
366,494
560,770
746,796
744,788
671,795
494,729
601,764
583,740
347,588
716,827
680,793
345,413
724,866
376,622
625,806
680,807
364,812
750,831
613,735
724,858
518,767
712,821
567,765
