"GFP-A","Nile Red-A"
353,841
325,605
703,846
647,729
661,838
565,592
692,801
617,692
721,887
442,695
342,572
570,668
549,777
399,662
492,661
396,617
561,764
714,889
624,817
548,736
708,868
610,758
407,694
552,629
569,613
719,827
326,799
416,619
339,590
406,664
317,526
641,753
362,518
697,845
484,723
379,528
721,803
362,547
602,747
491,630
372,786
637,747
348,472
631,830
683,799
659,824
714,886
319,414
583,657
571,712
637,764
554,867
478,709
720,835
332,739
658,817
702,846
468,702
420,658
333,693
596,803
393,412
554,785
353,540
615,816
493,703
713,820
386,837
682,826
531,569
711,841
486,780
394,520
330,589
538,813
364,857
675,802
406,595
374,577
316,513
627,735
467,651
561,747
599,804
744,839
731,855
721,887
493,805
657,804
486,710
379,787
565,746
680,749
699,805
409,587
348,754
558,677
573,772
627,788
614,799
657,883
642,772
433,713
532,728
454,636
336,556
435,691
550,733
504,759
470,804
656,809
566,729
513,737
666,805
320,703
725,875
398,603
728,816
604,769
367,783
654,861
468,774
682,846
324,681
444,771
585,782
733,813
714,886
404,839
394,548
603,678
511,831
645,752
474,840
508,538
468,737
469,673
333,835
658,816
734,856
343,512
549,760
595,697
405,693
608,836
539,830
730,814
477,737
504,694
629,802
394,507
421,829
342,463
446,780
448,633
329,720
411,675
406,728
731,857
679,895
537,726
374,862
508,807
680,817
454,470
378,821
726,841
644,760
590,765
607,798
526,680
324,703
710,826
412,503
374,577
343,618
337,693
694,822
533,856
519,867
666,734
444,824
562,743
489,702
593,695
376,749
539,793
536,716
652,793
721,876
496,686
533,671
563,760
418,688
334,801
311,290
326,742
613,720
459,815
680,880
628,781
592,884
714,861
509,683
409,670
340,636
555,819
675,811
531,614
589,777
708,857
384,664
610,705
562,731
476,660
657,744
657,876
719,868
329,771
483,835
714,820
315,315
635,837
410,780
585,816
503,636
692,830
459,655
497,720
604,821
690,818
602,747
587,655
576,796
688,813
493,766
665,789
656,731
504,746
625,757
596,796
672,849
434,716
714,891
596,771
516,772
401,452
514,810
536,755
553,805
351,408
483,737
363,754
393,645
691,789
543,798
338,728
669,760
461,861
373,710
329,787
498,794
376,660
564,780
385,725
595,841
608,815
328,393
326,707
483,568
377,783
529,730
418,603
627,768
586,683
659,760
553,660
336,604
488,738
717,852
661,833
588,783
320,681
394,606
423,700
497,647
609,695
648,773
697,802
467,594
373,644
555,850
312,490
618,714
568,734
341,791
336,492
573,838
650,765
406,555
410,718
638,824
559,867
694,803
588,677
564,740
622,789
420,792
493,738
545,722
537,611
392,770
682,833
740,841
488,629
364,455
369,625
335,634
630,699
626,822
467,740
738,838
728,842
373,757
663,765
396,709
550,703
542,831
716,828
568,727
635,666
389,476
591,759
682,824
423,727
594,813
485,676
481,632
710,833
454,723
373,769
637,757
689,815
547,754
372,588
492,869
732,824
567,737
701,831
548,738
566,787
661,848
403,663
502,780
469,811
486,592
521,797
582,891
553,814
497,868
642,739
517,605
547,750
453,692
351,737
568,835
564,712
357,796
419,670
391,848
601,687
691,860
578,725
369,729
577,718
326,499
691,864
664,754
425,717
445,737
606,825
403,554
484,793
424,478
737,818
386,590
663,800
384,571
351,802
599,795
531,548
686,749
423,754
709,829
535,729
389,592
404,842
564,738
563,739
469,665
636,849
