"counts","density","mids"
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
1,0.0421407501053518,0.3925
3,0.126422250316056,0.3975
4,0.168563000421407,0.4025
9,0.379266750948171,0.4075
10,0.421407501053518,0.4125
19,0.800674252001685,0.4175
10,0.421407501053518,0.4225
19,0.800674252001685,0.4275
17,0.716392751790981,0.4325
29,1.2220817530552,0.4375
25,1.0535187526338,0.4425
21,0.884955752212389,0.4475
28,1.17994100294985,0.4525
32,1.34850400337127,0.4575
22,0.92709650231774,0.4625
28,1.17994100294985,0.4675
23,0.969237252423092,0.4725
28,1.17994100294985,0.4775
31,1.30636325326591,0.4825
30,1.26422250316056,0.4875
28,1.17994100294985,0.4925
30,1.26422250316056,0.4975
30,1.26422250316056,0.5025
28,1.17994100294985,0.5075
36,1.51706700379267,0.5125
35,1.47492625368731,0.5175
33,1.39064475347661,0.5225
39,1.64348925410872,0.5275
28,1.17994100294985,0.5325
28,1.17994100294985,0.5375
32,1.34850400337126,0.5425
29,1.2220817530552,0.5475
30,1.26422250316058,0.5525
33,1.39064475347658,0.5575
35,1.47492625368735,0.5625
33,1.39064475347658,0.5675
33,1.39064475347664,0.5725
40,1.68563000421407,0.5775
35,1.47492625368731,0.5825
35,1.47492625368731,0.5875
47,1.98061525495154,0.5925
41,1.72777075431943,0.5975
38,1.60134850400337,0.6025
41,1.72777075431943,0.6075
26,1.09565950273915,0.6125
38,1.60134850400337,0.6175
47,1.98061525495154,0.6225
38,1.60134850400337,0.6275
46,1.93847450484618,0.6325
42,1.76991150442478,0.6375
39,1.64348925410872,0.6425
38,1.60134850400337,0.6475
44,1.85419300463548,0.6525
58,2.44416350611046,0.6575
40,1.68563000421404,0.6625
50,2.10703750526764,0.6675
37,1.55920775389798,0.6725
53,2.2334597555837,0.6775
44,1.85419300463544,0.6825
46,1.93847450484623,0.6875
54,2.27560050568895,0.6925
56,2.35988200589976,0.6975
44,1.85419300463544,0.7025
57,2.40202275600511,0.7075
62,2.61272650653176,0.7125
57,2.40202275600511,0.7175
61,2.57058575642646,0.7225
61,2.57058575642646,0.7275
54,2.275600505689,0.7325
60,2.52844500632111,0.7375
64,2.69700800674252,0.7425
65,2.73914875684787,0.7475
57,2.40202275600505,0.7525
51,2.14917825537294,0.7575
68,2.86557100716393,0.7625
77,3.24483775811209,0.7675
76,3.20269700800674,0.7725
62,2.61272650653181,0.7775
70,2.94985250737463,0.7825
69,2.90771175726928,0.7875
74,3.11841550779611,0.7925
71,2.99199325747991,0.7975
73,3.07627475769075,0.8025
88,3.70838600927088,0.8075
69,2.90771175726934,0.8125
89,3.75052675937623,0.8175
77,3.24483775811216,0.8225
72,3.03413400758527,0.8275
86,3.62410450906034,0.8325
87,3.66624525916553,0.8375
65,2.73914875684793,0.8425
76,3.20269700800674,0.8475
54,2.275600505689,0.8525
68,2.86557100716393,0.8575
46,1.93847450484618,0.8625
29,1.2220817530552,0.8675
42,1.76991150442478,0.8725
39,1.64348925410872,0.8775
43,1.81205225453013,0.8825
40,1.68563000421407,0.8875
38,1.60134850400337,0.8925
24,1.01137800252844,0.8975
36,1.51706700379267,0.9025
28,1.17994100294985,0.9075
16,0.674252001685629,0.9125
19,0.800674252001685,0.9175
21,0.884955752212389,0.9225
14,0.589970501474926,0.9275
15,0.632111251580278,0.9325
16,0.674252001685629,0.9375
9,0.379266750948167,0.9425
10,0.421407501053528,0.9475
8,0.337126000842815,0.9525
8,0.337126000842815,0.9575
9,0.379266750948167,0.9625
4,0.168563000421407,0.9675
4,0.168563000421407,0.9725
7,0.294985250737463,0.9775
2,0.0842815002107037,0.9825
4,0.168563000421407,0.9875
5,0.210703750526759,0.9925
7,0.294985250737463,0.9975
1,0.0421407501053528,1.0025
3,0.126422250316053,1.0075
3,0.126422250316053,1.0125
1,0.0421407501053528,1.0175
2,0.0842815002107056,1.0225
1,0.0421407501053509,1.0275
4,0.168563000421404,1.0325
1,0.0421407501053528,1.0375
1,0.0421407501053528,1.0425
1,0.0421407501053509,1.0475
1,0.0421407501053509,1.0525
0,0,1.0575
1,0.0421407501053528,1.0625
1,0.0421407501053509,1.0675
0,0,1.0725
0,0,1.0775
1,0.0421407501053528,1.0825
1,0.0421407501053528,1.0875
1,0.0421407501053509,1.0925
2,0.0842815002107018,1.0975
3,0.126422250316058,1.1025
0,0,1.1075
1,0.0421407501053509,1.1125
2,0.0842815002107018,1.1175
2,0.0842815002107056,1.1225
0,0,1.1275
0,0,1.1325
0,0,1.1375
0,0,1.1425
0,0,1.1475
1,0.0421407501053509,1.1525
1,0.0421407501053509,1.1575
0,0,1.1625
0,0,1.1675
0,0,1.1725
0,0,1.1775
0,0,1.1825
1,0.0421407501053528,1.1875
0,0,1.1925
0,0,1.1975
0,0,1.2025
0,0,1.2075
0,0,1.2125
0,0,1.2175
0,0,1.2225
0,0,1.2275
0,0,1.2325
0,0,1.2375
0,0,1.2425
0,0,1.2475
0,0,1.2525
0,0,1.2575
0,0,1.2625
0,0,1.2675
0,0,1.2725
0,0,1.2775
0,0,1.2825
0,0,1.2875
