"counts","density","mids"
0,0,0.3725
0,0,0.3775
1,0.0401848503114326,0.3825
3,0.120554550934298,0.3875
9,0.361663652802893,0.3925
18,0.723327305605786,0.3975
14,0.562587904360056,0.4025
19,0.763512155917227,0.4075
19,0.763512155917219,0.4125
23,0.924251557162949,0.4175
25,1.00462125778581,0.4225
22,0.884066706851516,0.4275
29,1.16536065903154,0.4325
27,1.08499095840868,0.4375
32,1.28591520996584,0.4425
35,1.40646976090014,0.4475
30,1.20554550934298,0.4525
32,1.28591520996586,0.4575
27,1.08499095840868,0.4625
28,1.12517580872011,0.4675
31,1.24573035965441,0.4725
33,1.32610006027727,0.4775
42,1.68776371308017,0.4825
26,1.04480610809725,0.4875
29,1.16536065903154,0.4925
41,1.64757886276873,0.4975
41,1.64757886276873,0.5025
30,1.20554550934298,0.5075
33,1.32610006027727,0.5125
38,1.52702431183444,0.5175
36,1.44665461121157,0.5225
39,1.56720916214587,0.5275
22,0.884066706851516,0.5325
27,1.08499095840868,0.5375
35,1.40646976090014,0.5425
45,1.80831826401446,0.5475
45,1.80831826401451,0.5525
41,1.6475788627687,0.5575
39,1.5672091621459,0.5625
39,1.56720916214583,0.5675
34,1.36628491058874,0.5725
47,1.88868796463733,0.5775
29,1.16536065903154,0.5825
35,1.40646976090014,0.5875
37,1.486839461523,0.5925
43,1.7279485633916,0.5975
37,1.486839461523,0.6025
47,1.88868796463733,0.6075
46,1.8485031143259,0.6125
41,1.64757886276873,0.6175
37,1.486839461523,0.6225
39,1.56720916214587,0.6275
45,1.80831826401446,0.6325
46,1.8485031143259,0.6375
36,1.44665461121157,0.6425
45,1.80831826401446,0.6475
48,1.92887281494876,0.6525
46,1.84850311432594,0.6575
33,1.32610006027724,0.6625
41,1.64757886276877,0.6675
48,1.92887281494872,0.6725
57,2.29053646775171,0.6775
41,1.6475788627687,0.6825
56,2.25035161744027,0.6875
54,2.16998191681731,0.6925
46,1.84850311432594,0.6975
57,2.2905364677516,0.7025
57,2.29053646775171,0.7075
55,2.21016676712874,0.7125
61,2.45127586899744,0.7175
74,2.97367892304601,0.7225
73,2.93349407273458,0.7275
72,2.89330922242314,0.7325
80,3.2147880249146,0.7375
64,2.57183041993168,0.7425
72,2.89330922242314,0.7475
67,2.69238497086598,0.7525
57,2.29053646775166,0.7575
64,2.57183041993168,0.7625
90,3.61663652802893,0.7675
69,2.77275467148885,0.7725
73,2.93349407273458,0.7775
74,2.97367892304601,0.7825
59,2.37090616837452,0.7875
72,2.89330922242321,0.7925
70,2.81293952180022,0.7975
73,2.93349407273464,0.8025
62,2.49146071930876,0.8075
88,3.53626682740614,0.8125
74,2.97367892304594,0.8175
64,2.57183041993174,0.8225
67,2.69238497086592,0.8275
66,2.65220012055461,0.8325
61,2.45127586899733,0.8375
64,2.57183041993174,0.8425
57,2.29053646775166,0.8475
44,1.76813341370303,0.8525
39,1.56720916214587,0.8575
45,1.80831826401446,0.8625
41,1.64757886276873,0.8675
27,1.08499095840868,0.8725
34,1.36628491058871,0.8775
40,1.6073940124573,0.8825
40,1.6073940124573,0.8875
31,1.24573035965441,0.8925
32,1.28591520996584,0.8975
27,1.08499095840868,0.9025
19,0.763512155917219,0.9075
15,0.602772754671488,0.9125
19,0.763512155917219,0.9175
17,0.683142455294353,0.9225
14,0.562587904360056,0.9275
10,0.401848503114326,0.9325
9,0.361663652802893,0.9375
6,0.241109101868595,0.9425
6,0.241109101868601,0.9475
8,0.32147880249146,0.9525
9,0.361663652802893,0.9575
11,0.442033353425758,0.9625
5,0.200924251557163,0.9675
4,0.16073940124573,0.9725
3,0.120554550934298,0.9775
4,0.16073940124573,0.9825
3,0.120554550934298,0.9875
2,0.0803697006228651,0.9925
4,0.16073940124573,0.9975
4,0.160739401245734,1.0025
4,0.160739401245727,1.0075
2,0.0803697006228633,1.0125
5,0.200924251557167,1.0175
2,0.0803697006228669,1.0225
2,0.0803697006228633,1.0275
6,0.24110910186859,1.0325
4,0.160739401245734,1.0375
4,0.160739401245734,1.0425
4,0.160739401245727,1.0475
3,0.120554550934295,1.0525
6,0.241109101868601,1.0575
2,0.0803697006228669,1.0625
10,0.401848503114317,1.0675
4,0.160739401245734,1.0725
4,0.160739401245727,1.0775
7,0.281293952180034,1.0825
4,0.160739401245734,1.0875
2,0.0803697006228633,1.0925
4,0.160739401245727,1.0975
4,0.160739401245734,1.1025
2,0.0803697006228669,1.1075
0,0,1.1125
4,0.160739401245727,1.1175
4,0.160739401245734,1.1225
4,0.160739401245734,1.1275
3,0.120554550934295,1.1325
1,0.0401848503114317,1.1375
5,0.200924251557167,1.1425
7,0.281293952180034,1.1475
4,0.160739401245727,1.1525
3,0.120554550934295,1.1575
0,0,1.1625
1,0.0401848503114334,1.1675
4,0.160739401245727,1.1725
7,0.281293952180022,1.1775
5,0.200924251557167,1.1825
1,0.0401848503114334,1.1875
1,0.0401848503114317,1.1925
0,0,1.1975
2,0.0803697006228669,1.2025
1,0.0401848503114334,1.2075
2,0.0803697006228669,1.2125
1,0.0401848503114317,1.2175
2,0.0803697006228633,1.2225
1,0.0401848503114334,1.2275
1,0.0401848503114334,1.2325
1,0.0401848503114317,1.2375
0,0,1.2425
0,0,1.2475
0,0,1.2525
0,0,1.2575
0,0,1.2625
0,0,1.2675
0,0,1.2725
0,0,1.2775
0,0,1.2825
0,0,1.2875
