"counts","density","mids"
0,0,0.3725
0,0,0.3775
0,0,0.3825
0,0,0.3875
0,0,0.3925
0,0,0.3975
0,0,0.4025
1,0.0391159788773718,0.4075
3,0.117347936632114,0.4125
3,0.117347936632114,0.4175
7,0.2738118521416,0.4225
9,0.352043809896342,0.4275
12,0.469391746528456,0.4325
23,0.899667514179541,0.4375
11,0.430275767651085,0.4425
13,0.508507725405828,0.4475
29,1.13436338744377,0.4525
15,0.586739683160577,0.4575
21,0.821435556424799,0.4625
26,1.01701545081166,0.4675
24,0.938783493056913,0.4725
22,0.86055153530217,0.4775
23,0.899667514179541,0.4825
16,0.625855662037942,0.4875
28,1.0952474085664,0.4925
25,0.977899471934284,0.4975
23,0.899667514179541,0.5025
24,0.938783493056913,0.5075
29,1.13436338744377,0.5125
26,1.01701545081166,0.5175
23,0.899667514179541,0.5225
17,0.664971640915313,0.5275
35,1.369059260708,0.5325
29,1.13436338744377,0.5375
26,1.01701545081166,0.5425
42,1.6428711128496,0.5475
31,1.21259534519854,0.5525
31,1.21259534519849,0.5575
29,1.1343633874438,0.5625
38,1.48640719734008,0.5675
22,0.860551535302189,0.5725
29,1.13436338744377,0.5775
30,1.17347936632114,0.5825
31,1.21259534519851,0.5875
23,0.899667514179541,0.5925
33,1.29082730295326,0.5975
33,1.29082730295326,0.6025
38,1.48640719734011,0.6075
35,1.369059260708,0.6125
43,1.68198709172697,0.6175
44,1.72110307060434,0.6225
36,1.40817523958537,0.6275
33,1.29082730295326,0.6325
23,0.899667514179541,0.6375
34,1.32994328183063,0.6425
30,1.17347936632114,0.6475
45,1.76021904948171,0.6525
33,1.29082730295328,0.6575
36,1.40817523958534,0.6625
52,2.03403090162336,0.6675
33,1.29082730295323,0.6725
48,1.87756698611387,0.6775
41,1.60375513397219,0.6825
45,1.76021904948175,0.6875
39,1.52552317621745,0.6925
48,1.87756698611387,0.6975
43,1.68198709172693,0.7025
47,1.8384510072365,0.7075
59,2.30784275376486,0.7125
50,1.95579894386861,0.7175
53,2.07314688050068,0.7225
52,2.03403090162331,0.7275
45,1.76021904948171,0.7325
60,2.34695873264228,0.7375
59,2.30784275376491,0.7425
67,2.62077058478388,0.7475
59,2.30784275376491,0.7525
79,3.09016233131234,0.7575
70,2.738118521416,0.7625
60,2.34695873264228,0.7675
78,3.05104635243497,0.7725
61,2.38607471151965,0.7775
70,2.738118521416,0.7825
87,3.40309016233131,0.7875
71,2.77723450029343,0.7925
75,2.93369841580279,0.7975
79,3.09016233131241,0.8025
87,3.40309016233123,0.8075
86,3.36397418345401,0.8125
103,4.02894582436916,0.8175
96,3.75513397222774,0.8225
89,3.48132212008597,0.8275
75,2.93369841580292,0.8325
113,4.42010561314287,0.8375
107,4.18540973987883,0.8425
105,4.10717778212399,0.8475
110,4.30275767651085,0.8525
120,4.69391746528456,0.8575
102,3.98982984549188,0.8625
93,3.63778603559554,0.8675
91,3.5595540778408,0.8725
67,2.62077058478388,0.8775
58,2.26872677488754,0.8825
74,2.89458243692548,0.8875
55,2.15137883825543,0.8925
59,2.30784275376491,0.8975
58,2.26872677488754,0.9025
40,1.56463915509485,0.9075
37,1.44729121846274,0.9125
34,1.32994328183063,0.9175
31,1.21259534519851,0.9225
26,1.01701545081166,0.9275
31,1.21259534519851,0.9325
23,0.899667514179541,0.9375
20,0.782319577547427,0.9425
9,0.35204380989635,0.9475
10,0.391159788773714,0.9525
15,0.586739683160571,0.9575
7,0.2738118521416,0.9625
12,0.469391746528456,0.9675
5,0.195579894386857,0.9725
8,0.312927831018971,0.9775
7,0.2738118521416,0.9825
6,0.234695873264228,0.9875
8,0.312927831018971,0.9925
7,0.2738118521416,0.9975
1,0.0391159788773722,1.0025
3,0.117347936632112,1.0075
2,0.078231957754741,1.0125
3,0.117347936632117,1.0175
3,0.117347936632117,1.0225
2,0.078231957754741,1.0275
0,0,1.0325
2,0.0782319577547445,1.0375
3,0.117347936632117,1.0425
4,0.156463915509482,1.0475
4,0.156463915509482,1.0525
1,0.0391159788773722,1.0575
2,0.0782319577547445,1.0625
0,0,1.0675
1,0.0391159788773722,1.0725
0,0,1.0775
1,0.0391159788773722,1.0825
2,0.0782319577547445,1.0875
2,0.078231957754741,1.0925
3,0.117347936632112,1.0975
1,0.0391159788773722,1.1025
1,0.0391159788773722,1.1075
1,0.0391159788773705,1.1125
0,0,1.1175
1,0.0391159788773722,1.1225
0,0,1.1275
2,0.078231957754741,1.1325
2,0.078231957754741,1.1375
2,0.0782319577547445,1.1425
2,0.0782319577547445,1.1475
2,0.078231957754741,1.1525
0,0,1.1575
0,0,1.1625
0,0,1.1675
0,0,1.1725
0,0,1.1775
1,0.0391159788773722,1.1825
0,0,1.1875
0,0,1.1925
0,0,1.1975
0,0,1.2025
0,0,1.2075
0,0,1.2125
0,0,1.2175
0,0,1.2225
0,0,1.2275
0,0,1.2325
0,0,1.2375
0,0,1.2425
0,0,1.2475
0,0,1.2525
0,0,1.2575
0,0,1.2625
0,0,1.2675
0,0,1.2725
0,0,1.2775
0,0,1.2825
0,0,1.2875
