"counts","density","mids"
0,0,0.3725
0,0,0.3775
2,0.072463768115942,0.3825
2,0.072463768115942,0.3875
4,0.144927536231884,0.3925
4,0.144927536231884,0.3975
4,0.144927536231884,0.4025
12,0.434782608695657,0.4075
7,0.253623188405797,0.4125
18,0.652173913043478,0.4175
12,0.434782608695652,0.4225
19,0.688405797101449,0.4275
27,0.978260869565217,0.4325
24,0.869565217391304,0.4375
28,1.01449275362319,0.4425
33,1.19565217391304,0.4475
36,1.30434782608696,0.4525
28,1.0144927536232,0.4575
43,1.55797101449275,0.4625
32,1.15942028985507,0.4675
33,1.19565217391304,0.4725
32,1.15942028985507,0.4775
42,1.52173913043478,0.4825
52,1.88405797101449,0.4875
36,1.30434782608696,0.4925
33,1.19565217391304,0.4975
30,1.08695652173913,0.5025
33,1.19565217391304,0.5075
36,1.30434782608696,0.5125
26,0.942028985507246,0.5175
29,1.05072463768116,0.5225
41,1.48550724637681,0.5275
37,1.34057971014493,0.5325
31,1.1231884057971,0.5375
38,1.3768115942029,0.5425
22,0.797101449275362,0.5475
39,1.4130434782609,0.5525
44,1.59420289855069,0.5575
36,1.30434782608698,0.5625
38,1.37681159420287,0.5675
46,1.6666666666667,0.5725
37,1.34057971014493,0.5775
37,1.34057971014493,0.5825
43,1.55797101449275,0.5875
50,1.81159420289855,0.5925
48,1.73913043478261,0.5975
45,1.63043478260869,0.6025
55,1.9927536231884,0.6075
59,2.13768115942029,0.6125
41,1.48550724637681,0.6175
40,1.44927536231884,0.6225
39,1.41304347826087,0.6275
42,1.52173913043478,0.6325
49,1.77536231884058,0.6375
50,1.81159420289855,0.6425
67,2.42753623188406,0.6475
61,2.21014492753623,0.6525
53,1.9202898550725,0.6575
54,1.95652173913039,0.6625
62,2.24637681159425,0.6675
41,1.48550724637678,0.6725
61,2.21014492753628,0.6775
74,2.68115942028979,0.6825
51,1.84782608695656,0.6875
61,2.21014492753618,0.6925
72,2.60869565217397,0.6975
49,1.77536231884054,0.7025
55,1.99275362318845,0.7075
54,1.95652173913039,0.7125
60,2.17391304347831,0.7175
60,2.17391304347826,0.7225
69,2.5,0.7275
58,2.10144927536232,0.7325
77,2.78985507246377,0.7375
73,2.64492753623188,0.7425
82,2.97101449275362,0.7475
70,2.53623188405797,0.7525
80,2.89855072463768,0.7575
91,3.29710144927536,0.7625
77,2.78985507246377,0.7675
85,3.07971014492753,0.7725
75,2.71739130434782,0.7775
87,3.15217391304348,0.7825
77,2.78985507246377,0.7875
101,3.65942028985515,0.7925
85,3.07971014492747,0.7975
87,3.15217391304355,0.8025
88,3.18840579710138,0.8075
76,2.75362318840586,0.8125
80,2.89855072463761,0.8175
85,3.0797101449276,0.8225
79,2.86231884057964,0.8275
100,3.62318840579718,0.8325
82,2.97101449275355,0.8375
101,3.65942028985515,0.8425
102,3.69565217391304,0.8475
91,3.29710144927536,0.8525
78,2.82608695652174,0.8575
67,2.42753623188406,0.8625
81,2.93478260869565,0.8675
52,1.88405797101449,0.8725
56,2.02898550724638,0.8775
38,1.3768115942029,0.8825
40,1.44927536231884,0.8875
34,1.23188405797101,0.8925
34,1.23188405797101,0.8975
22,0.797101449275362,0.9025
25,0.905797101449275,0.9075
20,0.72463768115942,0.9125
19,0.688405797101449,0.9175
17,0.615942028985507,0.9225
19,0.688405797101449,0.9275
13,0.471014492753623,0.9325
8,0.289855072463768,0.9375
12,0.434782608695652,0.9425
6,0.217391304347831,0.9475
8,0.289855072463768,0.9525
11,0.398550724637681,0.9575
1,0.036231884057971,0.9625
8,0.289855072463768,0.9675
2,0.072463768115942,0.9725
5,0.181159420289855,0.9775
4,0.144927536231884,0.9825
3,0.108695652173913,0.9875
1,0.036231884057971,0.9925
3,0.108695652173913,0.9975
3,0.108695652173915,1.0025
1,0.0362318840579702,1.0075
1,0.0362318840579702,1.0125
1,0.0362318840579718,1.0175
0,0,1.0225
1,0.0362318840579702,1.0275
1,0.0362318840579702,1.0325
2,0.0724637681159436,1.0375
0,0,1.0425
0,0,1.0475
2,0.0724637681159404,1.0525
2,0.0724637681159436,1.0575
1,0.0362318840579718,1.0625
0,0,1.0675
1,0.0362318840579718,1.0725
0,0,1.0775
0,0,1.0825
0,0,1.0875
0,0,1.0925
0,0,1.0975
0,0,1.1025
0,0,1.1075
0,0,1.1125
0,0,1.1175
0,0,1.1225
0,0,1.1275
0,0,1.1325
0,0,1.1375
0,0,1.1425
0,0,1.1475
0,0,1.1525
0,0,1.1575
0,0,1.1625
0,0,1.1675
0,0,1.1725
0,0,1.1775
0,0,1.1825
0,0,1.1875
0,0,1.1925
0,0,1.1975
0,0,1.2025
0,0,1.2075
0,0,1.2125
0,0,1.2175
0,0,1.2225
0,0,1.2275
0,0,1.2325
0,0,1.2375
0,0,1.2425
0,0,1.2475
0,0,1.2525
0,0,1.2575
0,0,1.2625
0,0,1.2675
0,0,1.2725
0,0,1.2775
0,0,1.2825
0,0,1.2875
