"FITC-A","mCherry-A"
776,866
857,851
835,866
718,774
903,885
846,872
722,785
909,911
901,896
755,879
644,726
788,720
660,807
654,806
665,832
776,729
780,836
835,862
825,772
740,720
830,808
890,855
673,845
775,741
758,780
716,795
801,830
787,802
893,889
881,842
712,877
795,768
836,856
850,859
817,846
794,780
681,863
823,831
752,796
846,826
883,899
741,833
878,867
781,811
692,829
648,713
865,878
724,731
806,830
676,853
791,865
719,745
835,842
833,799
828,835
827,861
661,802
810,811
689,764
668,833
903,908
838,793
781,859
847,866
703,879
847,883
835,863
753,786
758,861
874,894
833,862
659,706
776,759
754,800
737,856
855,876
875,908
891,892
736,782
869,895
805,844
794,823
663,727
888,901
875,866
707,813
905,891
820,790
859,794
823,763
825,831
803,878
817,762
850,863
713,719
731,832
905,902
828,842
900,891
741,798
756,749
771,793
859,883
898,908
801,850
763,792
822,807
779,855
682,706
681,713
883,909
809,876
805,821
842,858
704,826
731,754
706,787
779,805
826,835
775,823
731,802
698,740
710,837
859,800
665,853
834,828
901,892
837,870
856,793
807,792
723,823
675,789
699,780
827,802
890,883
817,785
878,876
810,845
838,827
813,841
772,793
734,768
837,814
728,877
735,769
681,758
743,839
795,827
831,842
769,834
891,884
809,790
659,735
674,806
898,878
755,835
858,833
804,736
779,814
784,859
745,788
658,781
859,855
876,888
819,822
846,882
783,834
867,850
835,791
880,860
653,747
651,751
891,892
866,862
765,878
790,745
822,817
749,693
769,820
712,810
830,852
715,766
671,742
826,856
877,872
805,833
740,779
689,809
818,832
771,826
750,820
841,809
858,853
814,803
839,863
857,841
883,903
720,821
886,909
757,782
852,900
648,774
884,892
688,750
810,854
784,827
841,819
864,879
804,807
848,809
808,810
844,862
813,800
892,897
810,815
653,849
836,857
823,843
885,893
763,884
824,794
656,709
817,773
855,847
790,842
745,737
751,782
773,749
906,910
812,801
733,734
898,904
686,785
828,805
809,839
659,757
839,848
782,813
887,898
784,804
716,774
849,862
872,857
751,799
811,852
752,763
818,802
895,860
780,808
761,744
888,887
732,746
648,842
806,878
822,883
881,852
744,787
768,833
843,777
909,909
802,819
747,817
868,876
887,861
694,775
706,708
710,730
827,826
768,805
819,831
694,719
813,829
854,815
879,886
810,800
774,770
822,756
733,809
848,844
711,772
799,765
751,821
814,837
848,897
713,879
649,693
725,875
870,892
788,756
790,812
832,832
843,861
735,809
868,897
883,888
774,767
823,786
702,813
780,783
809,857
808,812
782,762
735,743
