"counts","density","mids"
0,0,0.743
1,0.0312695434646654,0.745
0,0,0.747
1,0.0312695434646654,0.749
2,0.0625390869293308,0.751
2,0.0625390869293308,0.753
2,0.0625390869293308,0.755
7,0.218886804252658,0.757
6,0.187617260787992,0.759
6,0.187617260787992,0.761
9,0.281425891181988,0.763
11,0.343964978111319,0.765
10,0.312695434646654,0.767
10,0.312695434646654,0.769
15,0.469043151969981,0.771
14,0.437773608505315,0.773
11,0.343964978111319,0.775
17,0.531582238899312,0.777
14,0.437773608505315,0.779
9,0.281425891181988,0.781
19,0.594121325828642,0.783
16,0.500312695434646,0.785
22,0.687929956222639,0.787
26,0.8130081300813,0.789
27,0.844277673545966,0.791
34,1.06316447779862,0.793
35,1.09443402126329,0.795
33,1.03189493433396,0.797
46,1.43839899937461,0.799
27,0.844277673545966,0.801
40,1.25078173858662,0.803
40,1.25078173858662,0.805
26,0.8130081300813,0.807
40,1.25078173858662,0.809
33,1.03189493433396,0.811
42,1.31332082551595,0.813
48,1.50093808630394,0.815
50,1.56347717323327,0.817
50,1.56347717323327,0.819
44,1.37585991244528,0.821
49,1.5322076297686,0.823
54,1.68855534709193,0.825
68,2.12632895559725,0.827
44,1.37585991244528,0.829
57,1.78236397748593,0.831
51,1.59474671669793,0.833
55,1.7198248905566,0.835
51,1.59474671669793,0.837
58,1.81363352095069,0.839
67,2.09505941213258,0.841
84,2.62664165103189,0.843
57,1.78236397748593,0.845
69,2.15759849906191,0.847
60,1.87617260787992,0.849
89,2.78298936835522,0.851
78,2.4390243902439,0.853
84,2.62664165103189,0.855
83,2.59537210756723,0.857
78,2.4390243902439,0.859
68,2.12632895559725,0.861
82,2.56410256410256,0.863
73,2.28267667292057,0.865
86,2.68918073796122,0.867
83,2.59537210756723,0.869
83,2.59537210756723,0.871
86,2.68918073796122,0.873
92,2.87679799874922,0.875
92,2.87679799874922,0.877
102,3.18949343339587,0.879
106,3.31457160725453,0.881
96,3.00187617260788,0.883
112,3.50218886804252,0.885
100,3.12695434646654,0.887
110,3.43964978111319,0.889
105,3.28330206378987,0.891
103,3.22076297686053,0.893
106,3.31457160725453,0.895
114,3.56472795497185,0.897
126,3.93996247654784,0.899
97,3.03314571607254,0.901
107,3.3458411507192,0.903
116,3.62726704190118,0.905
122,3.81488430268918,0.907
136,4.25265791119449,0.909
114,3.56472795497185,0.911
127,3.9712320200125,0.913
128,4.00250156347717,0.915
127,3.9712320200125,0.917
123,3.84615384615384,0.919
139,4.34646654158849,0.921
138,4.31519699812382,0.923
146,4.56535334584115,0.925
150,4.69043151969981,0.927
154,4.81550969355847,0.929
148,4.62789243277048,0.931
175,5.47217010631644,0.933
150,4.69043151969981,0.935
158,4.94058786741713,0.937
140,4.37773608505315,0.939
190,5.94121325828642,0.941
160,5.00312695434646,0.943
174,5.44090056285178,0.945
171,5.34709193245778,0.947
192,6.00375234521575,0.949
159,4.9718574108818,0.951
171,5.34709193245778,0.953
162,5.06566604127579,0.955
183,5.72232645403377,0.957
176,5.50343964978111,0.959
208,6.5040650406504,0.961
201,6.28517823639774,0.963
195,6.09756097560975,0.965
187,5.84740462789243,0.967
197,6.16010006253908,0.969
198,6.19136960600375,0.971
208,6.5040650406504,0.973
212,6.62914321450906,0.975
203,6.34771732332743,0.977
171,5.34709193245778,0.979
205,6.4102564102564,0.981
184,5.75359599749843,0.983
193,6.03502188868042,0.985
169,5.28455284552845,0.987
173,5.40963101938711,0.989
187,5.84740462789243,0.991
211,6.5978736710444,0.993
206,6.44152595372107,0.995
209,6.53533458411507,0.997
217,6.78549093183239,0.999
89,2.78298936835522,1.001
199,6.22263914946841,1.003
168,5.25328330206379,1.005
160,5.00312695434646,1.007
158,4.94058786741713,1.009
160,5.00312695434646,1.011
136,4.25265791119449,1.013
148,4.62789243277048,1.015
125,3.90869293308317,1.017
117,3.65853658536585,1.019
117,3.65853658536585,1.021
97,3.03314571607254,1.023
106,3.31457160725453,1.025
89,2.78298936835522,1.027
82,2.56410256410256,1.029
95,2.97060662914321,1.031
87,2.72045028142589,1.033
82,2.56410256410256,1.035
78,2.4390243902439,1.037
72,2.25140712945591,1.039
63,1.96998123827392,1.041
51,1.59474671669793,1.043
44,1.37585991244528,1.045
60,1.87617260787992,1.047
69,2.15759849906191,1.049
60,1.87617260787992,1.051
67,2.09505941213258,1.053
54,1.68855534709193,1.055
55,1.7198248905566,1.057
41,1.28205128205128,1.059
43,1.34459036898061,1.061
53,1.65728580362727,1.063
50,1.56347717323327,1.065
36,1.12570356472795,1.067
45,1.40712945590994,1.069
38,1.18824265165728,1.071
68,2.12632895559725,1.073
36,1.12570356472795,1.075
46,1.43839899937461,1.077
39,1.21951219512195,1.079
51,1.59474671669793,1.081
25,0.781738586616635,1.083
27,0.844277673545966,1.085
24,0.750469043151969,1.087
20,0.625390869293308,1.089
24,0.750469043151969,1.091
20,0.625390869293308,1.093
16,0.500312695434646,1.095
10,0.312695434646654,1.097
8,0.250156347717323,1.099
6,0.187617260787992,1.101
0,0,1.103
1,0.0312695434646654,1.105
2,0.0625390869293308,1.107
0,0,1.109
