"counts","density","mids"
1,0.0502462064114159,0.743
0,0,0.745
0,0,0.747
1,0.0502462064114159,0.749
2,0.100492412822832,0.751
2,0.100492412822832,0.753
4,0.200984825645664,0.755
6,0.301477238468495,0.757
11,0.552708270525575,0.759
9,0.452215857702743,0.761
7,0.351723444879911,0.763
7,0.351723444879911,0.765
15,0.753693096171238,0.767
10,0.502462064114159,0.769
9,0.452215857702743,0.771
17,0.85418550899407,0.773
7,0.351723444879911,0.775
8,0.401969651291327,0.777
16,0.803939302582654,0.779
15,0.753693096171238,0.781
17,0.85418550899407,0.783
19,0.954677921816902,0.785
18,0.904431715405486,0.787
10,0.502462064114159,0.789
24,1.20590895387398,0.791
21,1.05517033463973,0.793
22,1.10541654105115,0.795
26,1.30640136669681,0.797
26,1.30640136669681,0.799
19,0.954677921816902,0.801
29,1.45713998593106,0.803
29,1.45713998593106,0.805
27,1.35664757310823,0.807
32,1.60787860516531,0.809
29,1.45713998593106,0.811
36,1.80886343081097,0.813
50,2.51231032057079,0.815
42,2.11034066927947,0.817
40,2.00984825645664,0.819
46,2.31132549492513,0.821
44,2.2108330821023,0.823
50,2.51231032057079,0.825
53,2.66304893980504,0.827
39,1.95960205004522,0.829
48,2.41181790774796,0.831
42,2.11034066927947,0.833
47,2.36157170133655,0.835
59,2.96452617827354,0.837
55,2.76354135262803,0.839
57,2.86403376545071,0.841
59,2.96452617827354,0.843
70,3.51723444879911,0.845
58,2.91427997186212,0.847
51,2.56255652698221,0.849
66,3.31624962315345,0.851
76,3.81871168726761,0.853
90,4.52215857702743,0.855
89,4.47191237061601,0.857
71,3.56748065521053,0.859
84,4.22068133855893,0.861
81,4.06994271932469,0.863
94,4.72314340267309,0.865
82,4.1201889257361,0.867
89,4.47191237061601,0.869
87,4.37141995779318,0.871
101,5.074866847553,0.873
99,4.97437443473017,0.875
104,5.22560546678725,0.877
100,5.02462064114159,0.879
99,4.97437443473017,0.881
113,5.67782132449,0.883
113,5.67782132449,0.885
99,4.97437443473017,0.887
98,4.92412822831876,0.889
110,5.52708270525575,0.891
102,5.12511305396442,0.893
119,5.97929856295849,0.895
105,5.27585167319867,0.897
118,5.92905235654707,0.899
88,4.4216661642046,0.901
100,5.02462064114159,0.903
129,6.48176062707265,0.905
118,5.92905235654707,0.907
115,5.77831373731283,0.909
100,5.02462064114159,0.911
110,5.52708270525575,0.913
105,5.27585167319867,0.915
89,4.47191237061601,0.917
119,5.97929856295849,0.919
107,5.3763440860215,0.921
117,5.87880615013566,0.923
112,5.62757511807858,0.925
99,4.97437443473017,0.927
100,5.02462064114159,0.929
96,4.82363581549593,0.931
96,4.82363581549593,0.933
111,5.57732891166716,0.935
113,5.67782132449,0.937
94,4.72314340267309,0.939
87,4.37141995779318,0.941
104,5.22560546678725,0.943
81,4.06994271932469,0.945
98,4.92412822831876,0.947
104,5.22560546678725,0.949
115,5.77831373731283,0.951
104,5.22560546678725,0.953
106,5.32609787961008,0.955
89,4.47191237061601,0.957
111,5.57732891166716,0.959
100,5.02462064114159,0.961
86,4.32117375138177,0.963
90,4.52215857702743,0.965
83,4.17043513214752,0.967
98,4.92412822831876,0.969
81,4.06994271932469,0.971
84,4.22068133855893,0.973
81,4.06994271932469,0.975
78,3.91920410009066,0.977
105,5.27585167319867,0.979
73,3.66797306803336,0.981
86,4.32117375138177,0.983
94,4.72314340267309,0.985
82,4.1201889257361,0.987
74,3.71821927444478,0.989
77,3.86895789367902,0.991
61,3.06501859109637,0.993
85,4.27092754497035,0.995
68,3.41674203597628,0.997
94,4.72314340267309,0.999
39,1.95960205004522,1.001
66,3.31624962315345,1.003
56,2.81378755903929,1.005
61,3.06501859109637,1.007
48,2.41181790774796,1.009
44,2.2108330821023,1.011
43,2.16058687569088,1.013
43,2.16058687569088,1.015
35,1.75861722439956,1.017
34,1.70837101798814,1.019
37,1.85910963722239,1.021
44,2.2108330821023,1.023
33,1.65812481157672,1.025
40,2.00984825645664,1.027
26,1.30640136669681,1.029
45,2.26107928851372,1.031
30,1.50738619234248,1.033
23,1.15566274746257,1.035
38,1.9093558436338,1.037
29,1.45713998593106,1.039
20,1.00492412822832,1.041
37,1.85910963722239,1.043
27,1.35664757310823,1.045
30,1.50738619234248,1.047
28,1.40689377951965,1.049
31,1.55763239875389,1.051
20,1.00492412822832,1.053
24,1.20590895387398,1.055
24,1.20590895387398,1.057
21,1.05517033463973,1.059
13,0.653200683348407,1.061
23,1.15566274746257,1.063
17,0.85418550899407,1.065
16,0.803939302582654,1.067
21,1.05517033463973,1.069
20,1.00492412822832,1.071
20,1.00492412822832,1.073
16,0.803939302582654,1.075
14,0.703446889759823,1.077
15,0.753693096171238,1.079
5,0.251231032057079,1.081
13,0.653200683348407,1.083
12,0.602954476936991,1.085
7,0.351723444879911,1.087
7,0.351723444879911,1.089
9,0.452215857702743,1.091
5,0.251231032057079,1.093
2,0.100492412822832,1.095
3,0.150738619234248,1.097
4,0.200984825645664,1.099
2,0.100492412822832,1.101
2,0.100492412822832,1.103
1,0.0502462064114159,1.105
1,0.0502462064114159,1.107
0,0,1.109
