"counts","density","mids"
3,0.111028867505551,0.743
1,0.0370096225018504,0.745
1,0.0370096225018504,0.747
2,0.0740192450037009,0.749
2,0.0740192450037009,0.751
2,0.0740192450037009,0.753
2,0.0740192450037009,0.755
4,0.148038490007402,0.757
5,0.185048112509252,0.759
3,0.111028867505551,0.761
3,0.111028867505551,0.763
6,0.222057735011103,0.765
8,0.296076980014804,0.767
11,0.407105847520355,0.769
18,0.666173205033308,0.771
9,0.333086602516654,0.773
12,0.444115470022205,0.775
10,0.370096225018504,0.777
7,0.259067357512953,0.779
21,0.777202072538859,0.781
19,0.703182827535158,0.783
17,0.629163582531458,0.785
22,0.81421169504071,0.787
18,0.666173205033308,0.789
25,0.925240562546261,0.791
29,1.07327905255366,0.793
21,0.777202072538859,0.795
23,0.85122131754256,0.797
29,1.07327905255366,0.799
31,1.14729829755736,0.801
24,0.888230940044411,0.803
38,1.40636565507032,0.805
39,1.44337527757217,0.807
25,0.925240562546261,0.809
38,1.40636565507032,0.811
42,1.55440414507772,0.813
32,1.18430792005921,0.815
38,1.40636565507032,0.817
43,1.59141376757957,0.819
28,1.03626943005181,0.821
45,1.66543301258327,0.823
42,1.55440414507772,0.825
47,1.73945225758697,0.827
57,2.10954848260548,0.829
52,1.92450037009622,0.831
36,1.33234641006662,0.833
49,1.81347150259067,0.835
56,2.07253886010362,0.837
62,2.29459659511486,0.839
59,2.18356772760918,0.841
43,1.59141376757957,0.843
57,2.10954848260548,0.845
52,1.92450037009622,0.847
67,2.47964470762398,0.849
63,2.33160621761658,0.851
66,2.44263508512213,0.853
62,2.29459659511473,0.855
67,2.47964470762398,0.857
57,2.10954848260548,0.859
67,2.47964470762398,0.861
58,2.14655810510733,0.863
87,3.21983715766099,0.865
70,2.59067357512953,0.867
76,2.81273131014063,0.869
78,2.88675055514434,0.871
69,2.55366395262768,0.873
93,3.44189489267209,0.875
75,2.77572168763878,0.877
74,2.73871206513693,0.879
94,3.47890451517394,0.881
84,3.10880829015544,0.883
77,2.84974093264248,0.885
90,3.33086602516654,0.887
92,3.40488527017024,0.889
71,2.62768319763138,0.891
95,3.51591413767579,0.893
106,3.92301998519615,0.895
74,2.73871206513693,0.897
69,2.55366395262768,0.899
121,4.4781643227239,0.901
111,4.1080680977054,0.903
118,4.36713545521835,0.905
103,3.8119911176906,0.907
103,3.8119911176906,0.909
110,4.07105847520355,0.911
106,3.92301998519615,0.913
112,4.14507772020725,0.915
121,4.4781643227239,0.917
128,4.73723168023686,0.919
126,4.66321243523316,0.921
115,4.2561065877128,0.923
127,4.70022205773501,0.925
123,4.5521835677276,0.927
132,4.88527017024426,0.929
125,4.62620281273131,0.931
128,4.73723168023686,0.933
136,5.03330866025166,0.935
136,5.03330866025166,0.937
126,4.66321243523316,0.939
148,5.47742413027387,0.941
134,4.95928941524796,0.943
148,5.47742413027387,0.945
166,6.14359733530717,0.947
129,4.77424130273871,0.949
161,5.95854922279792,0.951
162,5.99555884529977,0.953
145,5.36639526276831,0.955
149,5.51443375277572,0.957
144,5.32938564026646,0.959
156,5.77350111028867,0.961
167,6.18060695780903,0.963
163,6.03256846780162,0.965
166,6.14359733530717,0.967
172,6.36565507031828,0.969
162,5.99555884529977,0.971
177,6.55070318282753,0.973
180,6.66173205033308,0.975
155,5.73649148778714,0.977
156,5.77350111028867,0.979
154,5.69948186528497,0.981
203,7.51295336787564,0.983
178,6.58771280532938,0.985
186,6.88378978534418,0.987
160,5.92153960029607,0.989
175,6.47668393782383,0.991
166,6.14359733530717,0.993
168,6.21761658031088,0.995
200,7.40192450037009,0.997
190,7.03182827535159,0.999
91,3.36787564766839,1.001
162,5.99555884529977,1.003
142,5.25536639526276,1.005
134,4.95928941524796,1.007
132,4.88527017024426,1.009
120,4.44115470022205,1.011
88,3.25684678016284,1.013
76,2.81273131014063,1.015
118,4.36713545521835,1.017
104,3.84900074019245,1.019
81,2.99777942264989,1.021
77,2.84974093264248,1.023
55,2.03552923760177,1.025
84,3.10880829015544,1.027
62,2.29459659511473,1.029
68,2.51665433012583,1.031
71,2.62768319763138,1.033
58,2.14655810510733,1.035
58,2.14655810510733,1.037
59,2.18356772760918,1.039
64,2.36861584011843,1.041
56,2.07253886010362,1.043
41,1.51739452257587,1.045
47,1.73945225758697,1.047
49,1.81347150259067,1.049
55,2.03552923760177,1.051
40,1.48038490007402,1.053
51,1.88749074759437,1.055
42,1.55440414507772,1.057
39,1.44337527757217,1.059
33,1.22131754256106,1.061
42,1.55440414507772,1.063
31,1.14729829755736,1.065
48,1.77646188008882,1.067
34,1.25832716506292,1.069
32,1.18430792005921,1.071
36,1.33234641006662,1.073
30,1.11028867505551,1.075
32,1.18430792005921,1.077
29,1.07327905255366,1.079
21,0.777202072538859,1.081
24,0.888230940044411,1.083
25,0.925240562546261,1.085
30,1.11028867505551,1.087
15,0.555144337527757,1.089
14,0.518134715025906,1.091
10,0.370096225018504,1.093
8,0.296076980014804,1.095
6,0.222057735011103,1.097
6,0.222057735011103,1.099
0,0,1.101
2,0.0740192450037009,1.103
2,0.0740192450037009,1.105
0,0,1.107
0,0,1.109
