"counts","density","mids"
0,0,0.743
2,0.0575340889477015,0.745
1,0.0287670444738507,0.747
5,0.143835222369254,0.749
2,0.0575340889477015,0.751
4,0.115068177895403,0.753
2,0.0575340889477015,0.755
3,0.0863011334215522,0.757
4,0.115068177895403,0.759
10,0.287670444738507,0.761
5,0.143835222369254,0.763
8,0.230136355790806,0.765
7,0.201369311316955,0.767
13,0.37397157816006,0.769
18,0.517806800529313,0.771
21,0.604107933950865,0.773
18,0.517806800529313,0.775
20,0.575340889477015,0.777
14,0.40273862263391,0.779
19,0.546573845003164,0.781
21,0.604107933950865,0.783
28,0.80547724526782,0.785
23,0.661642022898567,0.787
29,0.834244289741671,0.789
19,0.546573845003164,0.791
33,0.949312467637074,0.793
43,1.23698291237558,0.795
34,0.978079512110925,0.797
34,0.978079512110925,0.799
42,1.20821586790173,0.801
33,0.949312467637074,0.803
31,0.891778378689373,0.805
32,0.920545423163223,0.807
40,1.15068177895403,0.809
30,0.863011334215522,0.811
51,1.46711926816639,0.813
47,1.35205109027098,0.815
41,1.17944882342788,0.817
47,1.35205109027098,0.819
35,1.00684655658478,0.821
56,1.61095449053564,0.823
51,1.46711926816639,0.825
55,1.58218744606179,0.827
57,1.63972153500949,0.829
58,1.66848857948334,0.831
65,1.8698578908003,0.833
61,1.75478971290489,0.835
58,1.66848857948334,0.837
66,1.89862493527425,0.839
56,1.61095449053564,0.841
59,1.69725562395719,0.843
64,1.84109084632645,0.845
67,1.927391979748,0.847
67,1.927391979748,0.849
71,2.0424601576434,0.851
76,2.18629538001266,0.853
72,2.07122720211725,0.855
88,2.53149991369886,0.857
90,2.58903400264657,0.859
83,2.38766469132961,0.861
81,2.33013060238191,0.863
87,2.50273286922501,0.865
80,2.30136355790806,0.867
92,2.64656809159427,0.869
102,2.93423853633277,0.871
86,2.47396582475116,0.873
106,3.04930671422818,0.875
93,2.67533513606812,0.877
104,2.99177262528048,0.879
93,2.67533513606812,0.881
121,3.48081238133594,0.883
106,3.04930671422818,0.885
96,2.76163626948967,0.887
113,3.25067602554513,0.889
103,2.96300558080663,0.891
121,3.48081238133594,0.893
104,2.99177262528048,0.895
130,3.7397157816006,0.897
150,4.31505667107761,0.899
107,3.07807375870203,0.901
127,3.65341464817904,0.903
121,3.48081238133594,0.905
112,3.22190898107128,0.907
120,3.45204533686209,0.909
117,3.36574420344054,0.911
132,3.7972498705483,0.913
136,3.9123180484437,0.915
124,3.56711351475749,0.917
158,4.54519302686842,0.919
128,3.68218169265289,0.921
132,3.7972498705483,0.923
137,3.94108509291755,0.925
161,4.63149416028997,0.927
169,4.86163051608077,0.929
147,4.22875553765606,0.931
160,4.60272711581612,0.933
115,3.30821011449283,0.935
178,5.12053391634543,0.937
161,4.63149416028997,0.939
173,4.97669869397618,0.941
181,5.20683504976698,0.943
184,5.29313618318854,0.945
173,4.97669869397618,0.947
178,5.12053391634543,0.949
192,5.52327253897934,0.951
191,5.49450549450549,0.953
194,5.58080662792704,0.955
219,6.29998273977331,0.957
206,5.92601116161325,0.959
201,5.782175939244,0.961
218,6.27121569529946,0.963
206,5.92601116161325,0.965
236,6.78902249582877,0.967
194,5.58080662792704,0.969
232,6.67395431793337,0.971
242,6.96162476267188,0.973
216,6.21368160635176,0.975
213,6.12738047293055,0.977
239,6.87532362925033,0.979
235,6.76025545135492,0.981
233,6.70272136240722,0.983
224,6.44381796214256,0.985
233,6.70272136240722,0.987
227,6.53011909556412,0.989
203,5.8397100281917,0.991
213,6.12738047293021,0.993
239,6.87532362925033,0.995
287,8.25614176399516,0.997
244,7.01915885161958,0.999
124,3.56711351475749,1.001
207,5.9547782060871,1.003
194,5.58080662792704,1.005
191,5.49450549450549,1.007
183,5.26436913871468,1.009
185,5.32190322766239,1.011
161,4.63149416028997,1.013
148,4.25752258212991,1.015
131,3.76848282607445,1.017
157,4.51642598239456,1.019
143,4.11368735976065,1.021
111,3.19314193659743,1.023
119,3.42327829238824,1.025
129,3.71094873712674,1.027
104,2.99177262528048,1.029
77,2.21506242448651,1.031
91,2.61780104712042,1.033
96,2.76163626948967,1.035
70,2.01369311316955,1.037
85,2.44519878027731,1.039
69,1.9849260686957,1.041
71,2.0424601576434,1.043
72,2.07122720211725,1.045
64,1.84109084632645,1.047
72,2.07122720211725,1.049
54,1.55342040158794,1.051
70,2.01369311316955,1.053
74,2.12876129106495,1.055
68,1.95615902422185,1.057
45,1.29451700132328,1.059
55,1.58218744606179,1.061
55,1.58218744606179,1.063
55,1.58218744606179,1.065
39,1.12191473448018,1.067
56,1.61095449053564,1.069
49,1.40958517921869,1.071
48,1.38081813474484,1.073
44,1.26574995684943,1.075
37,1.06438064553248,1.077
45,1.29451700132328,1.079
33,0.949312467637074,1.081
29,0.834244289741671,1.083
33,0.949312467637074,1.085
18,0.517806800529313,1.087
20,0.575340889477015,1.089
17,0.489039756055462,1.091
18,0.517806800529313,1.093
13,0.37397157816006,1.095
18,0.517806800529313,1.097
5,0.143835222369254,1.099
0,0,1.101
1,0.0287670444738507,1.103
0,0,1.105
1,0.0287670444738507,1.107
2,0.0575340889477015,1.109
