"counts","density","mids"
0,0,0.743
0,0,0.745
1,0.0266113151311938,0.747
3,0.0798339453935813,0.749
4,0.106445260524775,0.751
4,0.106445260524775,0.753
3,0.0798339453935813,0.755
10,0.266113151311938,0.757
6,0.159667890787163,0.759
13,0.345947096705519,0.761
16,0.4257810420991,0.763
11,0.292724466443131,0.765
9,0.239501836180744,0.767
16,0.4257810420991,0.769
22,0.585448932886263,0.771
14,0.372558411836713,0.773
18,0.479003672361488,0.775
19,0.505614987492681,0.777
29,0.771728138804619,0.779
19,0.505614987492681,0.781
24,0.63867156314865,0.783
30,0.798339453935813,0.785
35,0.931396029591782,0.787
28,0.745116823673425,0.789
25,0.665282878279844,0.791
39,1.03784129011656,0.793
33,0.878173399329394,0.795
41,1.09106392037894,0.797
39,1.03784129011656,0.799
43,1.14428655064133,0.801
43,1.14428655064133,0.803
56,1.49023364734685,0.805
59,1.57006759274043,0.807
41,1.09106392037894,0.809
51,1.35717707169088,0.811
41,1.09106392037894,0.813
58,1.54345627760924,0.815
47,1.25073181116611,0.817
56,1.49023364734685,0.819
70,1.86279205918356,0.821
65,1.72973548352759,0.823
67,1.78295811378998,0.825
80,2.1289052104955,0.827
49,1.30395444142849,0.829
59,1.57006759274043,0.831
67,1.78295811378998,0.833
67,1.78295811378998,0.835
90,2.39501836180744,0.837
74,1.96923731970845,0.839
62,1.64990153813401,0.841
76,2.02245994997073,0.843
81,2.15551652562669,0.845
84,2.23535047102028,0.847
85,2.26196178615147,0.849
108,2.87402203416893,0.851
96,2.5546862525946,0.853
104,2.76757677364415,0.855
89,2.36840704667624,0.857
99,2.63452019798818,0.859
102,2.71435414338176,0.861
96,2.5546862525946,0.863
101,2.68774282825057,0.865
104,2.76757677364415,0.867
113,3.0070786098249,0.869
90,2.39501836180744,0.871
118,3.14013518548086,0.873
106,2.82079940390654,0.875
108,2.87402203416893,0.877
106,2.82079940390654,0.879
131,3.48608228218638,0.881
114,3.03368992495609,0.883
144,3.8320293788919,0.885
124,3.29980307626803,0.887
127,3.37963702166161,0.889
105,2.79418808877534,0.891
144,3.8320293788919,0.893
137,3.64575017297355,0.895
141,3.75219543349832,0.897
133,3.53930491244877,0.899
130,3.45947096705519,0.901
145,3.8586406940231,0.903
142,3.77880674862951,0.905
118,3.14013518548086,0.907
136,3.61913885784235,0.909
160,4.257810420991,0.911
137,3.64575017297355,0.913
165,4.39086699664697,0.915
175,4.65698014795891,0.917
155,4.12475384533503,0.919
165,4.39086699664697,0.921
155,4.12475384533503,0.923
161,4.2844217361222,0.925
169,4.49731225717175,0.927
158,4.20458779072861,0.929
188,5.00292724466443,0.931
179,4.76342540848368,0.933
206,5.48193091702591,0.935
165,4.39086699664697,0.937
177,4.7102027782213,0.939
195,5.18920645058278,0.941
190,5.05614987492682,0.943
178,4.73681409335249,0.945
214,5.69482143807546,0.947
190,5.05614987492682,0.949
187,4.97631592953323,0.951
197,5.24242908084517,0.953
231,6.14721379530576,0.955
211,5.61498749268188,0.957
230,6.12060248017456,0.959
244,6.49316089201128,0.961
238,6.33349300122411,0.963
223,5.93432327425621,0.965
280,7.45116823673425,0.967
233,6.20043642556815,0.969
267,7.10522114002873,0.971
270,7.18505508542232,0.973
260,6.91894193411038,0.975
242,6.43993826174925,0.977
232,6.17382511043695,0.979
264,7.02538719463515,0.981
267,7.10522114002873,0.983
271,7.21166640055351,0.985
267,7.10522114002873,0.987
273,7.2648890308159,0.989
249,6.62621746766725,0.991
240,6.3867156314865,0.993
267,7.10522114002873,0.995
256,6.8124966735856,0.997
289,7.690670072915,0.999
132,3.51269359731758,1.001
233,6.20043642556815,1.003
180,4.79003672361488,1.005
160,4.257810420991,1.007
154,4.09814253020384,1.009
145,3.8586406940231,1.011
110,2.92724466443131,1.013
143,3.80541806376071,1.015
116,3.08691255521848,1.017
126,3.35302570653041,1.019
90,2.39501836180744,1.021
105,2.79418808877534,1.023
87,2.31518441641386,1.025
88,2.34179573154505,1.027
95,2.52807493746341,1.029
91,2.42162967693863,1.031
60,1.59667890787163,1.033
83,2.20873915588908,1.035
82,2.18212784075789,1.037
75,1.99584863483953,1.039
85,2.26196178615147,1.041
61,1.62329022300282,1.043
54,1.43701101708446,1.045
46,1.22412049603491,1.047
56,1.49023364734685,1.049
57,1.51684496247804,1.051
53,1.41039970195327,1.053
47,1.25073181116611,1.055
57,1.51684496247804,1.057
61,1.62329022300282,1.059
41,1.09106392037894,1.061
40,1.06445260524775,1.063
47,1.25073181116611,1.065
47,1.25073181116611,1.067
34,0.904784714460588,1.069
45,1.19750918090372,1.071
32,0.8515620841982,1.073
30,0.798339453935813,1.075
42,1.11767523551014,1.077
42,1.11767523551014,1.079
27,0.718505508542232,1.081
33,0.878173399329394,1.083
23,0.612060248017457,1.085
23,0.612060248017457,1.087
18,0.479003672361488,1.089
14,0.372558411836713,1.091
14,0.372558411836713,1.093
17,0.452392357230294,1.095
11,0.292724466443131,1.097
7,0.186279205918356,1.099
0,0,1.101
3,0.0798339453935813,1.103
1,0.0266113151311938,1.105
2,0.0532226302623875,1.107
1,0.0266113151311938,1.109
