"counts","density","mids"
0,0,0.743
0,0,0.745
0,0,0.747
1,0.0721813194745199,0.749
0,0,0.751
0,0,0.753
0,0,0.755
2,0.14436263894904,0.757
3,0.21654395842356,0.759
1,0.0721813194745199,0.761
3,0.21654395842356,0.763
5,0.3609065973726,0.765
1,0.0721813194745199,0.767
4,0.28872527789808,0.769
4,0.28872527789808,0.771
7,0.50526923632164,0.773
11,0.793994514219719,0.775
6,0.43308791684712,0.777
7,0.50526923632164,0.779
8,0.57745055579616,0.781
6,0.43308791684712,0.783
15,1.0827197921178,0.785
12,0.866175833694239,0.787
10,0.721813194745199,0.789
7,0.50526923632164,0.791
8,0.57745055579616,0.793
14,1.01053847264328,0.795
25,1.804532986863,0.797
19,1.37144507001588,0.799
16,1.15490111159232,0.801
11,0.793994514219719,0.803
14,1.01053847264328,0.805
11,0.793994514219719,0.807
13,0.938357153168759,0.809
26,1.87671430633752,0.811
20,1.4436263894904,0.813
24,1.73235166738848,0.815
28,2.02107694528656,0.817
19,1.37144507001588,0.819
22,1.58798902843944,0.821
19,1.37144507001588,0.823
24,1.73235166738848,0.825
24,1.73235166738848,0.827
23,1.66017034791396,0.829
29,2.09325826476108,0.831
25,1.804532986863,0.833
17,1.22708243106684,0.835
22,1.58798902843944,0.837
34,2.45416486213381,0.839
25,1.804532986863,0.841
33,2.38198354265916,0.843
31,2.23762090371012,0.845
31,2.23762090371012,0.847
27,1.94889562581204,0.849
19,1.37144507001588,0.851
34,2.45416486213368,0.853
34,2.45416486213368,0.855
36,2.59852750108272,0.857
38,2.74289014003176,0.859
28,2.02107694528656,0.861
37,2.67070882055724,0.863
37,2.67070882055724,0.865
28,2.02107694528656,0.867
38,2.74289014003176,0.869
46,3.32034069582792,0.871
38,2.74289014003176,0.873
36,2.59852750108272,0.875
33,2.38198354265916,0.877
38,2.74289014003176,0.879
39,2.81507145950628,0.881
33,2.38198354265916,0.883
42,3.03161541792984,0.885
37,2.67070882055724,0.887
44,3.17597805687888,0.889
42,3.03161541792984,0.891
34,2.45416486213368,0.893
37,2.67070882055724,0.895
34,2.45416486213368,0.897
40,2.8872527789808,0.899
42,3.03161541792984,0.901
59,4.25869784899668,0.903
37,2.67070882055724,0.905
43,3.10379673740436,0.907
38,2.74289014003176,0.909
36,2.59852750108272,0.911
55,3.9699725710986,0.913
40,2.8872527789808,0.915
53,3.82560993214956,0.917
47,3.39252201530244,0.919
50,3.609065973726,0.921
53,3.82560993214956,0.923
47,3.39252201530244,0.925
61,4.40306048794572,0.927
52,3.75342861267504,0.929
52,3.75342861267504,0.931
45,3.2481593763534,0.933
66,4.76396708531832,0.935
57,4.11433521004764,0.937
51,3.68124729320052,0.939
70,5.0526923632164,0.941
62,4.47524180742024,0.943
59,4.25869784899668,0.945
54,3.89779125162408,0.947
56,4.04215389057312,0.949
70,5.0526923632164,0.951
70,5.0526923632164,0.953
78,5.63014291901256,0.955
70,5.0526923632164,0.957
66,4.76396708531832,0.959
85,6.13541215533419,0.961
76,5.48578028006351,0.963
86,6.20759347480871,0.965
79,5.70232423848707,0.967
69,4.98051104374188,0.969
75,5.413598960589,0.971
70,5.0526923632164,0.973
82,5.91886819691063,0.975
96,6.9294066695543,0.977
89,6.42413743323227,0.979
95,6.85722535007939,0.981
96,6.92940666955391,0.983
95,6.85722535007939,0.985
77,5.55796159953803,0.987
80,5.7745055579616,0.989
81,5.84668687743611,0.991
87,6.27977479428323,0.993
85,6.13541215533419,0.995
96,6.92940666955391,0.997
111,8.01212646167171,0.999
51,3.68124729320052,1.001
106,7.65121986429911,1.003
72,5.19705500216544,1.005
75,5.413598960589,1.007
72,5.19705500216544,1.009
80,5.7745055579616,1.011
74,5.34141764111448,1.013
79,5.70232423848707,1.015
59,4.25869784899668,1.017
62,4.47524180742024,1.019
60,4.3308791684712,1.021
64,4.61960444636928,1.023
48,3.46470333477696,1.025
65,4.6917857658438,1.027
52,3.75342861267504,1.029
49,3.53688465425148,1.031
51,3.68124729320052,1.033
51,3.68124729320052,1.035
32,2.30980222318464,1.037
44,3.17597805687888,1.039
34,2.45416486213368,1.041
39,2.81507145950628,1.043
35,2.5263461816082,1.045
41,2.95943409845532,1.047
33,2.38198354265916,1.049
35,2.5263461816082,1.051
36,2.59852750108272,1.053
32,2.30980222318464,1.055
35,2.5263461816082,1.057
27,1.94889562581204,1.059
35,2.5263461816082,1.061
16,1.15490111159232,1.063
22,1.58798902843944,1.065
24,1.73235166738848,1.067
23,1.66017034791396,1.069
29,2.09325826476108,1.071
22,1.58798902843944,1.073
20,1.4436263894904,1.075
13,0.938357153168759,1.077
28,2.02107694528656,1.079
18,1.29926375054136,1.081
25,1.804532986863,1.083
14,1.01053847264328,1.085
10,0.721813194745199,1.087
3,0.21654395842356,1.089
11,0.793994514219719,1.091
10,0.721813194745199,1.093
5,0.3609065973726,1.095
4,0.28872527789808,1.097
3,0.21654395842356,1.099
1,0.0721813194745199,1.101
0,0,1.103
0,0,1.105
0,0,1.107
0,0,1.109
