"counts","density","mids"
0,0,0.743
0,0,0.745
0,0,0.747
0,0,0.749
0,0,0.751
2,0.141402714932127,0.753
3,0.21210407239819,0.755
3,0.21210407239819,0.757
6,0.42420814479638,0.759
2,0.141402714932127,0.761
1,0.0707013574660633,0.763
2,0.141402714932127,0.765
6,0.42420814479638,0.767
6,0.42420814479638,0.769
10,0.707013574660633,0.771
2,0.141402714932127,0.773
7,0.494909502262443,0.775
15,1.06052036199095,0.777
8,0.565610859728506,0.779
3,0.21210407239819,0.781
14,0.989819004524886,0.783
11,0.777714932126696,0.785
16,1.13122171945701,0.787
5,0.353506787330316,0.789
11,0.777714932126696,0.791
10,0.707013574660633,0.793
10,0.707013574660633,0.795
10,0.707013574660633,0.797
14,0.989819004524886,0.799
14,0.989819004524886,0.801
11,0.777714932126696,0.803
13,0.919117647058823,0.805
11,0.777714932126696,0.807
11,0.777714932126696,0.809
12,0.848416289592759,0.811
17,1.20192307692308,0.813
11,0.777714932126696,0.815
17,1.20192307692308,0.817
20,1.41402714932127,0.819
11,0.777714932126696,0.821
14,0.989819004524886,0.823
17,1.20192307692308,0.825
19,1.3433257918552,0.827
17,1.20192307692308,0.829
16,1.13122171945701,0.831
19,1.3433257918552,0.833
20,1.41402714932127,0.835
21,1.48472850678733,0.837
32,2.26244343891415,0.839
17,1.20192307692308,0.841
21,1.48472850678733,0.843
24,1.69683257918552,0.845
25,1.76753393665158,0.847
29,2.05033936651584,0.849
24,1.69683257918552,0.851
31,2.19174208144796,0.853
28,1.97963800904977,0.855
25,1.76753393665158,0.857
30,2.1210407239819,0.859
37,2.61595022624434,0.861
26,1.83823529411765,0.863
30,2.1210407239819,0.865
27,1.90893665158371,0.867
30,2.1210407239819,0.869
30,2.1210407239819,0.871
25,1.76753393665158,0.873
42,2.96945701357466,0.875
33,2.33314479638009,0.877
31,2.19174208144796,0.879
28,1.97963800904977,0.881
37,2.61595022624434,0.883
50,3.53506787330316,0.885
37,2.61595022624434,0.887
37,2.61595022624434,0.889
50,3.53506787330316,0.891
47,3.32296380090497,0.893
27,1.90893665158371,0.895
41,2.89875565610859,0.897
43,3.04015837104072,0.899
45,3.18156108597285,0.901
51,3.60576923076923,0.903
38,2.6866515837104,0.905
39,2.75735294117647,0.907
53,3.74717194570135,0.909
47,3.32296380090497,0.911
46,3.25226244343891,0.913
43,3.04015837104072,0.915
38,2.6866515837104,0.917
49,3.4643665158371,0.919
59,4.17138009049773,0.921
53,3.74717194570135,0.923
51,3.60576923076923,0.925
54,3.81787330316742,0.927
62,4.38348416289592,0.929
50,3.53506787330316,0.931
45,3.18156108597285,0.933
58,4.10067873303167,0.935
48,3.39366515837104,0.937
61,4.31278280542986,0.939
58,4.10067873303167,0.941
75,5.30260180995475,0.943
68,4.8076923076923,0.945
61,4.31278280542986,0.947
72,5.09049773755656,0.949
71,5.01979638009049,0.951
64,4.52488687782805,0.953
70,4.94909502262443,0.955
66,4.66628959276018,0.957
75,5.30260180995475,0.959
67,4.73699095022624,0.961
74,5.23190045248868,0.963
85,6.00961538461538,0.965
90,6.3631221719457,0.967
88,6.22171945701357,0.969
97,6.85803167420814,0.971
91,6.43382352941176,0.973
97,6.85803167420814,0.975
87,6.15101809954785,0.977
93,6.57522624434389,0.979
112,7.91855203619909,0.981
98,6.9287330316742,0.983
93,6.57522624434389,0.985
107,7.56504524886877,0.987
85,6.00961538461538,0.989
85,6.00961538461538,0.991
89,6.29242081447963,0.993
93,6.57522624434389,0.995
115,8.13065610859728,0.997
122,8.62556561085972,0.999
63,4.45418552036199,1.001
115,8.13065610859728,1.003
83,5.86821266968325,1.005
82,5.79751131221719,1.007
79,5.585407239819,1.009
82,5.79751131221719,1.011
83,5.86821266968325,1.013
62,4.38348416289592,1.015
67,4.73699095022624,1.017
84,5.93891402714932,1.019
75,5.30260180995475,1.021
53,3.74717194570135,1.023
49,3.4643665158371,1.025
56,3.95927601809954,1.027
57,4.02997737556561,1.029
61,4.31278280542986,1.031
43,3.04015837104072,1.033
42,2.96945701357466,1.035
52,3.67647058823529,1.037
32,2.26244343891403,1.039
54,3.81787330316742,1.041
38,2.6866515837104,1.043
35,2.47454751131222,1.045
41,2.89875565610859,1.047
44,3.11085972850678,1.049
32,2.26244343891403,1.051
35,2.47454751131222,1.053
43,3.04015837104072,1.055
32,2.26244343891403,1.057
32,2.26244343891403,1.059
32,2.26244343891403,1.061
23,1.62613122171946,1.063
27,1.90893665158371,1.065
35,2.47454751131222,1.067
19,1.3433257918552,1.069
22,1.55542986425339,1.071
23,1.62613122171946,1.073
19,1.3433257918552,1.075
25,1.76753393665158,1.077
23,1.62613122171946,1.079
31,2.19174208144796,1.081
13,0.919117647058823,1.083
13,0.919117647058823,1.085
14,0.989819004524886,1.087
7,0.494909502262443,1.089
17,1.20192307692308,1.091
11,0.777714932126696,1.093
6,0.42420814479638,1.095
2,0.141402714932127,1.097
3,0.21210407239819,1.099
0,0,1.101
1,0.0707013574660633,1.103
0,0,1.105
0,0,1.107
0,0,1.109
