"counts","density","mids"
1,0.0286073921501316,0.743
0,0,0.745
0,0,0.747
1,0.0286073921501316,0.749
0,0,0.751
2,0.0572147843002631,0.753
7,0.200251745050921,0.755
4,0.114429568600526,0.757
6,0.171644352900789,0.759
4,0.114429568600526,0.761
12,0.343288705801579,0.763
9,0.257466529351184,0.765
12,0.343288705801579,0.767
10,0.286073921501316,0.769
12,0.343288705801579,0.771
19,0.5435404508525,0.773
15,0.429110882251974,0.775
18,0.514933058702368,0.777
13,0.37189609795171,0.779
19,0.5435404508525,0.781
10,0.286073921501316,0.783
29,0.829614372353816,0.785
20,0.572147843002631,0.787
22,0.629362627302894,0.789
24,0.686577411603158,0.791
28,0.801006980203684,0.793
29,0.829614372353816,0.795
32,0.91543654880421,0.797
24,0.686577411603158,0.799
29,0.829614372353816,0.801
45,1.28733264675592,0.803
25,0.715184803753289,0.805
32,0.91543654880421,0.807
42,1.20151047030553,0.809
32,0.91543654880421,0.811
41,1.17290307815539,0.813
34,0.972651333104473,0.815
49,1.40176221535645,0.817
37,1.05847350955487,0.819
46,1.31594003890605,0.821
58,1.65922874470763,0.823
48,1.37315482320632,0.825
54,1.5447991761071,0.827
59,1.68783613685776,0.829
59,1.68783613685776,0.831
64,1.83087309760842,0.833
57,1.6306213525575,0.835
59,1.68783613685776,0.837
68,1.94530266620905,0.839
56,1.60201396040737,0.841
70,2.00251745050921,0.843
66,1.88808788190868,0.845
61,1.74505092115803,0.847
52,1.48758439180684,0.849
64,1.83087309760842,0.851
60,1.71644352900789,0.853
78,2.23137658771026,0.855
84,2.40302094061105,0.857
65,1.85948048975855,0.859
77,2.20276919556013,0.861
88,2.51745050921158,0.863
79,2.25998397986039,0.865
76,2.17416180341,0.867
81,2.31719876416066,0.869
93,2.66048746996224,0.871
90,2.57466529351184,0.873
100,2.86073921501316,0.875
94,2.68909486211237,0.877
102,2.91795399931342,0.879
94,2.68909486211237,0.881
85,2.43162833276118,0.883
106,3.03238356791395,0.885
120,3.43288705801579,0.887
103,2.94656139146355,0.889
115,3.28985009726513,0.891
119,3.40427966586566,0.893
121,3.46149445016592,0.895
117,3.34706488156539,0.897
128,3.66174619521684,0.899
114,3.261242705115,0.901
112,3.20402792081474,0.903
123,3.51870923446618,0.905
131,3.74756837166724,0.907
116,3.31845748941526,0.909
107,3.06099096006408,0.911
136,3.89060533241789,0.913
134,3.83339054811763,0.915
144,4.11946446961895,0.917
165,4.72021970477171,0.919
149,4.2625014303696,0.921
161,4.60579013617118,0.923
153,4.37693099897013,0.925
140,4.00503490101842,0.927
155,4.43414578327039,0.929
132,3.77617576381737,0.931
158,4.51996795972079,0.933
158,4.51996795972079,0.935
168,4.8060418812221,0.937
151,4.31971621466987,0.939
174,4.97768623412289,0.941
162,4.63439752832131,0.943
187,5.3495823320746,0.945
182,5.20654537132395,0.947
199,5.69287103787618,0.949
184,5.26376015562421,0.951
194,5.54983407712552,0.953
217,6.20780409657855,0.955
205,5.86451539077697,0.957
225,6.4366632337796,0.959
223,6.37944844947934,0.961
197,5.63565625357592,0.963
219,6.26501888087881,0.965
246,7.03741846893237,0.967
212,6.06476713582789,0.969
207,5.92173017507723,0.971
208,5.95033756722737,0.973
257,7.35209978258381,0.975
226,6.46527062593009,0.977
255,7.29488499828355,0.979
206,5.8931227829271,0.981
236,6.75134454743105,0.983
240,6.86577411603158,0.985
230,6.57970019453026,0.987
275,7.86703284128618,0.989
213,6.09337452797802,0.991
232,6.63691497883052,0.993
225,6.4366632337796,0.995
262,7.49513674333447,0.997
282,8.0672845863371,0.999
121,3.46149445016592,1.001
220,6.29362627302894,1.003
160,4.57718274402105,1.005
182,5.20654537132395,1.007
176,5.03490101842316,1.009
195,5.57844146927566,1.011
143,4.09085707746881,1.013
156,4.46275317542052,1.015
139,3.97642750886829,1.017
130,3.7189609795171,1.019
130,3.7189609795171,1.021
122,3.49010184231605,1.023
116,3.31845748941526,1.025
123,3.51870923446618,1.027
110,3.14681313651447,1.029
104,2.97516878361368,1.031
108,3.08959835221421,1.033
88,2.51745050921158,1.035
94,2.68909486211237,1.037
98,2.80352443071289,1.039
81,2.31719876416066,1.041
81,2.31719876416066,1.043
71,2.03112484265934,1.045
70,2.00251745050921,1.047
67,1.91669527405882,1.049
84,2.40302094061105,1.051
69,1.97391005835908,1.053
50,1.43036960750658,1.055
69,1.97391005835908,1.057
59,1.68783613685776,1.059
66,1.88808788190868,1.061
56,1.60201396040737,1.063
52,1.48758439180684,1.065
37,1.05847350955487,1.067
57,1.6306213525575,1.069
53,1.51619178395697,1.071
51,1.45897699965671,1.073
44,1.25872525460579,1.075
34,0.972651333104473,1.077
46,1.31594003890605,1.079
35,1.0012587252546,1.081
32,0.91543654880421,1.083
28,0.801006980203684,1.085
14,0.400503490101842,1.087
22,0.629362627302894,1.089
29,0.829614372353816,1.091
21,0.600755235152763,1.093
12,0.343288705801579,1.095
9,0.257466529351184,1.097
2,0.0572147843002631,1.099
1,0.0286073921501316,1.101
3,0.0858221764503947,1.103
3,0.0858221764503947,1.105
2,0.0572147843002631,1.107
2,0.0572147843002631,1.109
