"counts","density","mids"
0,0,0.743
0,0,0.745
0,0,0.747
5,0.138896605366965,0.749
2,0.0555586421467859,0.751
2,0.0555586421467859,0.753
3,0.0833379632201788,0.755
3,0.0833379632201788,0.757
7,0.194455247513751,0.759
11,0.305572531807322,0.761
8,0.222234568587144,0.763
8,0.222234568587144,0.765
12,0.333351852880715,0.767
12,0.333351852880715,0.769
13,0.361131173954108,0.771
13,0.361131173954108,0.773
9,0.250013889660536,0.775
23,0.638924384688038,0.777
14,0.388910495027501,0.779
26,0.722262347908216,0.781
23,0.638924384688038,0.783
30,0.833379632201788,0.785
22,0.611145063614645,0.787
27,0.750041668981609,0.789
26,0.722262347908216,0.791
34,0.94449691649536,0.793
25,0.694483026834824,0.795
32,0.888938274348574,0.797
17,0.47224845824768,0.799
34,0.94449691649536,0.801
32,0.888938274348574,0.803
30,0.833379632201788,0.805
33,0.916717595421967,0.807
42,1.1667314850825,0.809
40,1.11117284293572,0.811
49,1.36118673259625,0.813
47,1.30562809044947,0.815
45,1.25006944830268,0.817
51,1.41674537474304,0.819
59,1.63897994333018,0.821
67,1.86121451191733,0.823
63,1.75009722762376,0.825
39,1.08339352186232,0.827
53,1.47230401688983,0.829
54,1.50008333796322,0.831
58,1.61120062225679,0.833
56,1.55564198011,0.835
65,1.80565586977054,0.837
71,1.97233179621101,0.839
72,2.00011111728429,0.841
61,1.69453858547697,0.843
61,1.69453858547697,0.845
63,1.75009722762376,0.847
71,1.9723317962109,0.849
76,2.11122840157786,0.851
80,2.22234568587144,0.853
75,2.08344908050447,0.855
87,2.41680093338519,0.857
86,2.38902161231179,0.859
73,2.02789043835768,0.861
81,2.25012500694483,0.863
96,2.66681482304572,0.865
79,2.19456636479804,0.867
95,2.63903550197233,0.869
83,2.30568364909161,0.871
96,2.66681482304572,0.873
75,2.08344908050447,0.875
120,3.33351852880715,0.877
92,2.55569753875215,0.879
91,2.52791821767876,0.881
104,2.88904939163287,0.883
116,3.22240124451358,0.885
113,3.1390632812934,0.887
106,2.94460803377965,0.889
111,3.08350463914662,0.891
117,3.25018056558697,0.893
106,2.94460803377965,0.895
108,3.00016667592644,0.897
115,3.19462192344019,0.899
116,3.22240124451358,0.901
142,3.9446635924218,0.903
122,3.38907717095394,0.905
113,3.1390632812934,0.907
117,3.25018056558697,0.909
128,3.5557530973943,0.911
144,4.00022223456858,0.913
132,3.66687038168787,0.915
109,3.02794599699983,0.917
153,4.25023612422912,0.919
124,3.44463581310072,0.921
136,3.77798766598144,0.923
139,3.86132562920162,0.925
139,3.86132562920162,0.927
148,4.11133951886216,0.929
168,4.66692594033001,0.931
165,4.58358797710984,0.933
150,4.16689816100894,0.935
143,3.97244291349519,0.937
151,4.19467748208233,0.939
165,4.58358797710984,0.941
160,4.44469137174287,0.943
205,5.69476082004555,0.945
169,4.69470526140341,0.947
159,4.41691205066948,0.949
193,5.36140896716484,0.951
190,5.27807100394466,0.953
197,5.47252625145841,0.955
204,5.66698149897216,0.957
218,6.05589199399966,0.959
215,5.97255403077948,0.961
223,6.19478859936663,0.963
221,6.13922995721984,0.965
203,5.63920217789877,0.967
226,6.2781265625868,0.969
219,6.08367131507305,0.971
259,7.19484415800877,0.973
282,7.83376854269681,0.975
237,6.58369909439449,0.977
241,6.6948163786877,0.979
264,7.33374076337574,0.981
244,6.77815434190788,0.983
247,6.86149230512806,0.985
252,7.00038891049502,0.987
236,6.55591977332073,0.989
251,6.97260958942163,0.991
242,6.72259569976109,0.993
233,6.47258181010056,0.995
263,7.30596144230234,0.997
280,7.77820990055002,0.999
146,4.05578087671537,1.001
251,6.97260958942163,1.003
209,5.80587810433912,1.005
193,5.36140896716484,1.007
168,4.66692594033001,1.009
189,5.25029168287127,1.011
182,5.05583643535752,1.013
158,4.38913272959608,1.015
140,3.88910495027501,1.017
157,4.36135340852269,1.019
172,4.77804322462359,1.021
129,3.58353241846769,1.023
112,3.11128396022001,1.025
123,3.41685649202733,1.027
95,2.63903550197233,1.029
107,2.97238735485304,1.031
100,2.77793210733929,1.033
101,2.80571142841269,1.035
91,2.52791821767876,1.037
81,2.25012500694483,1.039
94,2.61125618089894,1.041
82,2.27790432801822,1.043
94,2.61125618089894,1.045
82,2.27790432801822,1.047
74,2.05566975943108,1.049
73,2.02789043835768,1.051
69,1.91677315406411,1.053
74,2.05566975943108,1.055
46,1.27784876937608,1.057
67,1.86121451191733,1.059
53,1.47230401688983,1.061
56,1.55564198011,1.063
56,1.55564198011,1.065
46,1.27784876937608,1.067
47,1.30562809044947,1.069
68,1.88899383299072,1.071
66,1.83343519084393,1.073
57,1.5834213011834,1.075
50,1.38896605366965,1.077
42,1.1667314850825,1.079
46,1.27784876937608,1.081
29,0.805600311128395,1.083
27,0.750041668981609,1.085
29,0.805600311128395,1.087
20,0.555586421467859,1.089
25,0.694483026834824,1.091
23,0.638924384688038,1.093
25,0.694483026834824,1.095
16,0.444469137174287,1.097
10,0.277793210733929,1.099
1,0.0277793210733929,1.101
3,0.0833379632201788,1.103
2,0.0555586421467859,1.105
1,0.0277793210733929,1.107
1,0.0277793210733929,1.109
